"Rank","Player","Position","Team","Drafts","ADP","PosADP","RVRank","RVPosRk","Earliest","Latest","StdDev"
1,"Josh Allen","QB","BUF",58,1.21,1,1,1,1,2,0.41
2,"Patrick Mahomes","QB","KC",58,2.45,2,4,3,1,4,0.8
3,"Justin Herbert","QB","LAC",58,2.81,3,17,8,1,5,0.85
4,"Joe Burrow","QB","CIN",58,5.43,4,16,7,4,11,1.72
5,"Ja'Marr Chase","WR","CIN",58,6.17,1,5,2,1,12,2.44
6,"Lamar Jackson","QB","BAL",58,6.52,5,8,5,4,10,1.52
7,"Jonathan Taylor","RB","IND",58,6.83,1,38,7,1,12,2.54
8,"Kyler Murray","QB","ARI",58,7.26,6,18,9,3,11,1.98
9,"Justin Jefferson","WR","MIN",58,7.78,2,3,1,4,11,1.75
10,"Kyle Pitts","TE","ATL",58,10.43,1,61,6,6,19,2.26
11,"Dak Prescott","QB","DAL",58,12.31,7,39,14,6,18,2.43
12,"CeeDee Lamb","WR","DAL",58,14.33,3,6,3,10,20,2.38
13,"Trey Lance","QB","SF",58,14.95,8,197,37,7,32,4.29
14,"Najee Harris","RB","PIT",58,15.5,2,78,18,9,27,4.24
15,"Javonte Williams","RB","DEN",58,17.59,3,82,20,7,28,4.57
16,"Russell Wilson","QB","DEN",58,17.83,9,135,28,7,31,4.25
17,"Trevor Lawrence","QB","JAC",58,18.84,10,52,15,10,30,4.77
18,"Deshaun Watson","QB","CLE",58,19.07,11,60,18,5,51,8.22
19,"Mark Andrews","TE","BAL",58,19.47,2,51,4,13,29,3.74
20,"Jalen Hurts","QB","PHI",58,20.5,12,2,2,10,40,7.61
21,"D'Andre Swift","RB","DET",58,21.81,4,76,17,13,32,3.84
22,"Christian McCaffrey","RB","CAR",58,21.91,5,23,5,10,35,4.59
23,"Cooper Kupp","WR","LAR",58,22.12,4,72,32,11,32,4.61
24,"A.J. Brown","WR","PHI",58,22.43,5,22,7,9,36,5.63
25,"Breece Hall","RB","NYJ",58,22.83,6,12,1,13,30,4.11
26,"Tee Higgins","WR","CIN",58,25.74,6,36,16,12,38,4.7
27,"Jaylen Waddle","WR","MIA",58,28.66,7,33,13,19,37,3.68
28,"Deebo Samuel","WR","SF",58,28.81,8,46,22,20,40,4.55
28,"Justin Fields","QB","CHI",58,28.81,13,20,10,16,41,6.06
30,"Matthew Stafford","QB","LAR",58,30.52,14,92,21,18,48,6.11
31,"DK Metcalf","WR","SEA",58,34.19,9,45,21,21,49,6.1
32,"Stefon Diggs","WR","BUF",58,34.24,10,69,30,24,46,4.45
33,"Davante Adams","WR","LV",58,34.71,11,65,28,12,44,5.32
34,"Austin Ekeler","RB","LAC",58,36.52,7,115,33,20,56,7.88
35,"Joe Mixon","RB","CIN",58,36.64,8,112,31,23,55,7.13
36,"DJ Moore","WR","CAR",58,37.47,12,25,9,28,47,4.81
