"Rank","Player","Position","Team","Drafts","ADP","PosADP","RVRank","RVPosRk","Earliest","Latest","StdDev"
1,"Patrick Mahomes","QB","KC",70,1.03,1,4,3,1,3,0.24
2,"Josh Allen","QB","BUF",70,2.36,2,1,1,2,4,0.57
3,"Jalen Hurts","QB","PHI",70,3.01,3,2,2,2,7,0.97
4,"Joe Burrow","QB","CIN",70,4.03,4,16,7,2,7,0.78
5,"Justin Herbert","QB","LAC",70,5.49,5,17,8,4,8,0.97
6,"Justin Jefferson","WR","MIN",70,7.13,1,3,1,1,12,1.83
7,"Trevor Lawrence","QB","JAC",70,7.19,6,52,15,3,11,1.65
8,"Lamar Jackson","QB","BAL",70,7.76,7,8,5,4,11,1.65
9,"Ja'Marr Chase","WR","CIN",70,8.76,2,5,2,4,14,1.81
10,"Justin Fields","QB","CHI",70,9.73,8,20,10,4,13,1.65
11,"Bijan Robinson","RB","ATL",70,11.1,1,14,3,5,15,2.27
12,"Deshaun Watson","QB","CLE",70,13.33,9,60,18,9,31,3.43
13,"CeeDee Lamb","WR","DAL",70,13.7,3,6,3,9,20,1.97
14,"Anthony Richardson","QB","IND",70,14.56,10,10,6,5,34,5.26
15,"Garrett Wilson","WR","NYJ",70,16.11,4,11,5,10,27,3.14
16,"A.J. Brown","WR","PHI",70,16.57,5,22,7,13,22,2.05
17,"Dak Prescott","QB","DAL",70,19.5,11,39,14,11,36,5.65
18,"Jaylen Waddle","WR","MIA",70,19.79,6,33,13,16,28,2.61
19,"Amon-Ra St. Brown","WR","DET",70,20.39,7,9,4,13,30,4.2
20,"Breece Hall","RB","NYJ",70,21.6,2,12,1,14,40,4.68
21,"Kyler Murray","QB","ARI",70,22.67,12,18,9,13,78,10.11
22,"Chris Olave","WR","NO",70,23.6,8,24,8,16,34,3.54
23,"Bryce Young","QB","CAR",70,24.76,13,59,17,13,46,6.17
24,"Jonathan Taylor","RB","IND",70,25.6,3,38,7,12,43,6.24
25,"Christian McCaffrey","RB","SF",70,25.7,4,23,5,11,39,5.82
26,"Kyle Pitts","TE","ATL",70,25.77,1,61,6,16,43,5.51
27,"Jahmyr Gibbs","RB","DET",70,29.43,5,13,2,14,52,6.62
28,"DeVonta Smith","WR","PHI",70,30.07,9,35,15,19,40,5.22
29,"Mark Andrews","TE","BAL",70,30.69,2,51,4,18,41,4.86
30,"C.J. Stroud","QB","HOU",70,31.04,14,7,4,16,82,10.67
31,"Tee Higgins","WR","CIN",70,31.71,10,36,16,22,42,4.49
32,"Travis Kelce","TE","KC",70,32.01,3,80,9,15,49,7.9
33,"Tua Tagovailoa","QB","MIA",70,32.11,15,37,13,21,56,5.9
34,"Tyreek Hill","WR","MIA",70,32.63,11,27,10,10,44,6.73
35,"Daniel Jones","QB","NYG",70,33.29,16,95,22,19,51,6.38
36,"Jaxon Smith-Njigba","WR","SEA",70,34.81,12,43,19,19,46,4.73
37,"Drake London","WR","ATL",70,35.81,13,34,14,25,46,4.44
38,"Stefon Diggs","WR","BUF",70,38.1,14,69,30,15,55,6.77
39,"Saquon Barkley","RB","NYG",70,38.17,6,57,11,18,48,5.92
40,"Cooper Kupp","WR","LAR",70,38.71,15,72,32,22,54,6.67
41,"DK Metcalf","WR","SEA",70,39.03,16,45,21,27,57,5
42,"T.J. Hockenson","TE","MIN",70,41.17,4,47,3,30,66,5.51
43,"Travis Etienne","RB","JAC",70,44.47,7,40,8,18,61,8.14
44,"Austin Ekeler","RB","LAC",70,45.74,8,115,33,25,60,7.46
45,"Davante Adams","WR","LV",70,47.17,17,65,28,34,61,5.48
46,"Kenneth Walker","RB","SEA",70,47.54,9,49,9,23,64,10.02
47,"Christian Watson","WR","GB",70,50.67,18,54,25,37,68,6.44
48,"Kirk Cousins","QB","MIN",70,51.93,17,73,19,33,84,11.68
49,"Josh Jacobs","RB","LV",70,52.04,10,66,13,30,65,6.19
50,"Jerry Jeudy","WR","DEN",70,52.36,19,116,43,39,73,7.02
51,"DJ Moore","WR","CHI",70,52.69,20,25,9,42,69,6.09
52,"Quentin Johnston","WR","LAC",70,53.67,21,129,51,32,80,9.69
53,"Najee Harris","RB","PIT",70,55.37,11,78,18,39,78,7.48
54,"Tony Pollard","RB","DAL",70,55.56,12,87,22,37,79,8.59
55,"Jordan Addison","WR","MIN",70,56.04,22,31,12,40,77,8.01
56,"Nick Chubb","RB","CLE",70,58.31,13,105,26,37,84,10.09
57,"Rhamondre Stevenson","RB","NE",70,58.44,14,75,16,47,77,6.82
58,"Jared Goff","QB","DET",70,60.17,18,58,16,27,100,11.83
59,"Kenny Pickett","QB","PIT",70,61.27,19,136,29,42,94,11.24
