"TE","Overall","Player","Team","Bye","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","7","Travis Kelce","KC","12","1","1","1","1","","1.0"
"2","22","Darren Waller","NYG","10","2","3","2","2","","2.0"
"3","26","George Kittle","SF","6","3","2","3","3","","3.0"
"4","46","Kyle Pitts","ATL","6","5","4","5","4","","4.3"
"5","49","Mark Andrews","BAL","8","4","5","4","5","","4.7"
"6","58","T.J. Hockenson","MIN","7 ","6","6","6","6","","6.0"
"7","80","Logan Thomas","WAS","9 ","7","12","9","7","","7.5"
"8","81","Noah Fant","SEA","9","8","7","8","8","","8.0"
"9","86","Robert Tonyan","CHI","10 ","9","11","7","9","","8.7"
"10","96","Dallas Goedert","PHI","14","11","8","10","10","","10.2"
"11","108","Mike Gesicki","NE","14","12","10","12","12","","11.8"
"12","111","Tyler Higbee","LAR","11 ","14","13","16","11","","12.3"
"13","121","Jonnu Smith","ATL","6","10","15","14","13","","13.2"
"14","125","Rob Gronkowski","","","13","9","11","15","","13.7"
"15","150","Hunter Henry","NE","14","16","14","20","14","","16.7"
"16","156","Evan Engram","JAC","7","18","18","19","16","","17.0"
"17","160","Zach Ertz","","","17","17","17","20","","17.3"
"18","161","Jared Cook","","","21","16","18","18","","18.0"
"19","177","Gerald Everett","LAC","7","23","23","15","17","","18.2"
"20","167","Austin Hooper","LV","8","15","19","21","19","","19.6"
"21","207","Anthony Firkser","DET","9","24","27","","22","","21.8"
"22","183","Cole Kmet","CHI","10","20","22","23","21","","22.0"
"23","209","Eric Ebron","","","19","25","22","23","","24.8"
"24","210","Blake Jarwin","","","25","26","25","25","","25.5"
"25","204","Pat Freiermuth","PIT","7","22","21","","24","","24.0"
"26","218","Adam Trautman","DEN","11","","24","","26","","21.5"
"27","248","O.J. Howard","","","26","29","","32","","30.0"
"28","284","Juwan Johnson","NO","6","","117","","31","","29.5"
"29","273","Jordan Akins","CLE","13","","","","","","20.0"
"30","261","Hayden Hurst","CAR","13","","","","38","","31.5"
"31","291","Tyler Kroft","MIA","14","","154","","34","","31.5"
"32","277","Giovanni Ricci","CAR","13","","","24","","","24.0"
"33","278","Dalton Schultz","HOU","10","","","","28","","32.0"
"34","285","Dawson Knox","BUF","7","","","","29","","33.0"
"35","300","Dan Arnold","","","","","","36","","33.5"
"36","324","Donald Parham Jr.","LAC","7","","","","27","","34.0"
"37","335","Chris Herndon IV","","","","","","30","","34.0"
"38","270","Jimmy Graham","NO","6","","","","35","","34.0"
"39","257","Tim Tebow","","","","28","","","","30.0"
"40","361","Tyler Conklin","NYJ","6","","136","","33","","39.5"
"41","370","Mo Alie-Cox","IND","14","","","","","","34.0"
"42","369","C.J. Uzomah","NYJ","6","","","","37","","38.0"
"43","380","Jack Doyle","","","","","","39","","41.5"
"44","403","Stephen Anderson","LAC","7","","","","","","40.0"
"45","328","David Njoku","CLE","13","","","","","","42.0"
"46","428","Foster Moreau","NO","6","","","","","","43.0"
"47","430","James O'Shaughnessy","","","","","","","","45.0"
"48","439","Albert Okwuegbunam","PHI","14","","","","","","47.0"
"49","457","Will Dissly","SEA","9","","","","","","48.0"
"50","459","Kylen Granson","IND","14","","","","","","49.0"
"51","461","Noah Gray","KC","12","","","","","","50.0"
"52","465","Charlie Woerner","SF","6","","69","","","","51.0"
"53","468","Kyle Rudolph","","","","","","","","52.0"
"54","470","Brandon Dillon","","","","","","","","53.0"
"55","475","Durham Smythe","MIA","14","","","","","","54.0"
"56","482","Drew Sample","CIN","10","","","","","","55.0"
"57","486","Harrison Bryant","CLE","13","","","","","","56.0"
"58","488","Jacob Hollister","","","","","","","","57.0"
""
""
