"WR","Overall","Player","Team","Bye","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","6","Davante Adams","LV","8","1","2","1","1","","1.0"
"2","13","Tyreek Hill","MIA","14","2","1","2","2","","2.0"
"3","14","Stefon Diggs","BUF","7","3","3","3","3","","3.0"
"4","16","DeAndre Hopkins","TEN","13","4","4","4","5","","4.2"
"5","19","Calvin Ridley","JAC","7","6","6","5","4","","5.4"
"6","20","DK Metcalf","SEA","9","5","5","6","6","","5.6"
"7","24","A.J. Brown","PHI","14","7","7","7","8","","7.6"
"8","23","Justin Jefferson","MIN","7","8","8","8","7","","7.6"
"9","27","Keenan Allen","LAC","7","10","9","10","11","","9.4"
"10","28","Terry McLaurin","WAS","9","9","10","12","9","","10.2"
"11","31","Allen Robinson II","PIT","7","12","11","9","12","","11.4"
"12","33","CeeDee Lamb","DAL","7","11","13","13","10","","12.0"
"13","35","Mike Evans","TB","9","13","12","14","14","","13.2"
"14","39","Robert Woods","HU","10 O","14","18","15","13","","14.2"
"15","41","Amari Cooper","CLE","13","15","15","17","16","","15.4"
"16","42","Chris Godwin","TB","9 ","18","16","16","15","","16.2"
"17","45","Julio Jones","PHI","14","20","14","11","21","","17.8"
"18","44","Cooper Kupp","LAR","11","19","17","20","17","","17.8"
"19","47","Tyler Lockett","SEA","9","17","21","19","18","","19.4"
"20","50","Adam Thielen","CAR","13","16","20","21","22","","19.8"
"21","51","Diontae Johnson","PIT","7","21","23","18","20","","20.4"
"22","52","DJ Moore","CHI","10","22","19","22","19","","20.8"
"23","61","Brandon Aiyuk","SF","6","23","24","24","23","","23.4"
"24","64","Tee Higgins","CIN","10","24","27","27","24","","25.2"
"25","66","Odell Beckham Jr.","BAL","8","25","26","25","30","","26.4"
"26","68","Chase Claypool","MIA","14","29","30","23","26","","27.6"
"27","69","JuJu Smith-Schuster","NE","14","26","29","26","27","","27.8"
"28","72","Jerry Jeudy","DEN","11","27","32","32","29","","29.2"
"29","73","Ja'Marr Chase","CIN","10","33","22","31","35","","29.4"
"30","74","Kenny Golladay","","","30","28","29","28","","30.2"
"31","75","DeVonta Smith","PHI","14","34","31","28","31","","31.0"
"32","77","Michael Thomas","N","6 O","39","25","30","36","","31.8"
"33","76","Robbie Chosen","MIA","14","28","34","33","32","","32.0"
"34","78","Courtland Sutton","DEN","11","31","35","34","25","","33.2"
"35","87","Tyler Boyd","CIN","10","35","42","38","38","","36.8"
"36","84","Deebo Samuel","SF","6","40","36","44","33","","37.2"
"37","90","Brandin Cooks","DAL","7","32","39","35","41","","37.4"
"38","89","Laviska Shenault Jr.","CAR","13","36","40","51","39","","39.2"
"39","93","Antonio Brown ","","","43","41","39","37","","39.2"
"40","94","Corey Davis ","","","41","43","48","34","","40.2"
"41","99","Jarvis Landry","","","42","38","43","45","","41.4"
"42","98","DJ Chark Jr.","CAR","13 ","47","33","42","43","","42.2"
"43","102","Michael Pittman Jr.","IND","14","51","44","36","40","","43.4"
"44","107","William Fuller V","","","37","46","37","46","","44.2"
"45","105","Jaylen Waddle","MIA","14","46","37","47","44","","44.6"
"46","115","Michael Gallup","DAL","7 ","38","49","46","49","","47.2"
"47","120","Mike Williams","LAC","7","48","45","45","55","","48.4"
