"QB","Overall","Player","Team","Bye","ESPN","Yahoo","CBS","Sleeper","RTSports","AVG"
"1","11","Patrick Mahomes II","KC","10","2","1","1","1","1","1.2"
"2","20","Jalen Hurts","PHI","10","1","2","2","3","3","2.3"
"3","18","Josh Allen","BUF","13","4","3","3","2","2","2.7"
"4","40","Lamar Jackson","BAL","13","3","4","5","4","7","4.7"
"5","43","Justin Herbert","LAC","5 ","5","7","6","6","4","5.8"
"6","39","Joe Burrow","CIN","7 ","13","5","4","5","5","6.0"
"7","50","Justin Fields","CHI","13","12","6","7","7","9","7.8"
"8","49","Trevor Lawrence","JAC","9","9","8","8","8","6","7.8"
"9","73","Tua Tagovailoa","MIA","10","7","12","13","11","8","10.2"
"10","95","Dak Prescott","DAL","7","8","9","12","10","14","10.7"
"11","90","Kirk Cousins","MIN","13 ","11","15","10","14","10","12.7"
"12","83","Deshaun Watson","CLE","5 ","34","11","9","9","12","14.0"
"13","124","Geno Smith","SEA","5","20","14","17","15","18","16.2"
"14","116","Jared Goff","DET","9","15","24","14","17","13","16.8"
"15","92","Anthony Richardson","IND","11 ","35","16","15","13","11","17.3"
"16","152","Brock Purdy","SF","9","10","21","19","18","20","18.2"
"17","120","Daniel Jones","NYG","13 ","","10","16","16","15","14.4"
"18","127","Aaron Rodgers","NYJ","7 ","25","13","11","12","","14.6"
"19","160","Matthew Stafford","LAR","10","23","25","23","26","19","22.5"
"20","191","Russell Wilson","DEN","9","14","28","18","19","","19.2"
"21","144","Derek Carr","NO","11","38","26","20","20","16","23.7"
"22","149","Jordan Love","GB","6","19","23","22","21","17","20.4"
"23","203","Bryce Young","CAR","7","27","20","24","22","","22.6"
"24","208","Kenny Pickett","PIT","6","26","22","21","23","","23.2"
"25","217","Kyler Murray","ARI","14","16","29","26","24","","23.6"
"26","227","C.J. Stroud","HOU","7","6","19","","27","","19.3"
"27","225","Sam Howell","WAS","14","18","27","27","25","","24.3"
"28","241","Jimmy Garoppolo","LV","13","","17","25","28","","23.3"
"29","285","Mac Jones","NE","11","31","18","","35","","28.0"
"30","277","Baker Mayfield","TB","5","17","","","33","","25.0"
"31","272","Tommy DeVito","NYG","13","24","","","32","","28.0"
"32","","Tom Brady","","","21","","","","","21.0"
"33","","Joshua Dobbs","MIN","13","22","","","","","22.0"
"34","","Cooper Rush","DAL","7","28","","","","","28.0"
"35","","Ben Roethlisberger","","","29","","","","","29.0"
"36","270","Matt Schaub","","","","","","30","","30.0"
"37","","Malik Cunningham","BAL","13","30","","","","","30.0"
"38","271","Ryan Tannehill","TEN","7","","","","31","","31.0"
"39","","Joe Flacco","CLE","5","32","","","","","32.0"
"40","","Stetson Bennett","LAR","10","33","","","","","33.0"
"41","279","Desmond Ridder","ATL","11","","","","34","","34.0"
"42","","Marcus Mariota","PHI","10","36","","","","","36.0"
"43","289","Trey Lance","DAL","7","","","","36","","36.0"
"44","292","Chad Henne","","","","","","37","","37.0"
"45","","Max Duggan","LAC","5","37","","","","","37.0"
"46","301","Matt Ryan","","","","","","38","","38.0"
"47","304","Josh Rosen","","","","","","39","","39.0"
"48","","Sam Darnold","SF","9","39","","","","","39.0"
"49","306","Mike Glennon","","","","","","40","","40.0"
"50","","Kevin Hogan","","","40","","","","","40.0"
"51","311","Ryan Fitzpatrick","","","","","","41","","41.0"
"52","","Cam Newton","","","41","","","","","41.0"
"53","","Jake Browning","CIN","7","42","","","","","42.0"
"54","312","Zach Wilson","NYJ","7","","","","42","","42.0"
"55","315","Philip Rivers","","","","","","43","","43.0"
"56","","Clayton Tune","ARI","14","43","","","","","43.0"
"57","","Teddy Bridgewater","","","44","","","","","44.0"
"58","317","Blaine Gabbert","KC","10","47","","","44","","45.5"
"59","","Kurt Benkert","","","45","","","","","45.0"
"60","320","Jake Luton","","","","","","45","","45.0"
"61","322","Kyle Sloter","","","","","","46","","46.0"
"62","","Will Levis","TEN","7","46","","","","","46.0"
"63","","Nick Foles","","","48","","","","","48.0"
"64","","Dorian Thompson-Robinson","CLE","5","49","","","","","49.0"
"65","","Carson Wentz","LAR","10","50","","","","","50.0"
""
""
