"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Jonathan Taylor","RB","IND","17.6","6.3","8.2","20.4","31.9","28.8","18","21.2","34","24.6","53.4","19.7","24.3","BYE","23","10.8","18.4","12.5","21.9","373.1"
"2","Austin Ekeler","RB","LAC","11.7","22.5","22.7","29.5","32.9","9.5","BYE","24.4","11.2","14.9","41.5","21.9","17.4","16.4","18.2","-","20.2","28.9","21.5","343.8"
"3","Najee Harris","RB","PIT","5.9","19.1","28.2","21.1","22.2","24.7","BYE","21","16.8","17.3","16.9","6.7","15.7","25.4","4.6","16","29.6","9.5","17.7","300.7"
"4","Joe Mixon","RB","CIN","25","8.1","10.4","13.7","10.5","26.3","11.9","25.1","28","BYE","24.3","32.3","9.4","8.8","7","31.5","15.6","-","18","287.9"
"5","James Conner","RB","ARI","5.3","2.6","18.3","20.6","10.7","8.1","12.4","14.2","40.3","15.4","20.9","BYE","19.1","33.5","9","-","-","27.3","17.2","257.7"
"6","Leonard Fournette","RB","FA","10.9","11.6","6.4","16.9","21","30.7","17","7.3","-","17.2","13.4","44.1","22.2","23.2","13.7","-","-","-","18.3","255.6"
"7","Ezekiel Elliott","RB","NE","5.9","17.7","26.6","20.3","25.2","18.9","-","11.3","12.6","20.8","12.8","16.9","6.7","9","16.2","17.2","4","10","14.8","252.1"
"8","Alvin Kamara","RB","NO","18.1","7","20.8","12","29.2","BYE","33.9","16.6","20.4","-","-","-","-","24.5","5.1","7.9","21","18.2","18.1","234.7"
"9","Cordarrelle Patterson","RB","ATL","8.7","23.9","16.2","34.6","18.4","BYE","14.1","18.2","19.6","4.9","-","27.5","12.6","13.9","4.3","8.3","7.2","2.2","14.7","234.6"
"10","Antonio Gibson","RB","WAS","11.8","9.3","17.4","15.5","21.2","4.4","7.6","8.4","BYE","21.8","7.5","23.6","22.1","4.1","18.5","13.8","-","22.1","14.3","229.1"
"11","Aaron Jones","RB","GB","4.2","41.5","17.6","10.9","14.9","21","8.9","24","5.3","12.6","-","2.3","BYE","21.5","15","13.7","15.6","-","15.3","229"
"12","Josh Jacobs","RB","LV","17","-","-","10.7","16.7","15.2","15.8","BYE","13.5","8.6","11.1","19.2","24","10","12.4","11.4","18","22.4","15.1","226"
"13","Nick Chubb","RB","CLE","22.1","16.8","8.4","11.5","24","-","-","7.9","30.3","-","22.4","5.9","BYE","9.5","16.3","27.4","5.8","7","15.4","215.3"
"14","Damien Harris","RB","BUF","11.7","13.4","3.1","4.6","9.8","17.8","25.3","14","10.3","-","7.5","12.2","17.1","-","-","28.3","17.7","17.3","14","210.1"
"15","D'Andre Swift","RB","PHI","24.4","11.8","23.7","8.9","22.4","17.7","28.4","8.1","-","16.5","22.6","3.9","-","BYE","-","-","5.9","14.6","16.1","208.9"
"16","Dalvin Cook","RB","BAL","20.4","16.8","-","6.4","-","22.3","-","7.8","15.2","20.8","22.5","14.3","-","35.2","11.1","-","4.3","9.2","15.9","206.3"
"17","Javonte Williams","RB","DEN","5.1","8.4","13.2","8.9","11.6","9.8","17.2","6.8","11.1","6.9","BYE","20.1","29.8","21.3","12.1","10","4.2","8.4","12.1","204.9"
"18","Devin Singletary","RB","HOU","11","17.1","3.6","9.6","3.3","9.3","-","3.9","12.9","11.9","7.3","5.8","3.6","14.9","16.6","18.8","23","25.2","11.6","197.8"
"19","David Montgomery","RB","DET","18.8","10.9","7.5","22.6","-","-","-","0","10","-","7.7","10.4","28.1","14.1","11.3","23.6","21.1","9.9","14","196"
"20","Darrel Williams","RB","FA","0.4","5.8","5.9","13.8","7.5","23.9","8","17","10.7","29.4","3.6","-","11","12.9","1.2","11.5","25.7","7.7","11.5","196"
"21","Melvin Gordon III","RB","FA","20.8","8.9","15.2","8.7","6.3","10.3","11.2","19.2","17.5","9.3","-","9.8","-","23.1","7.1","1","10.2","16.6","12.2","195.2"
"22","Derrick Henry","RB","TEN","10.7","47.7","19.4","25.7","31","35.6","16.4","6.8","-","-","-","-","BYE","-","-","-","-","-","24.2","193.3"
"23","AJ Dillon","RB","GB","3.6","3.6","4.6","10.7","17.9","5.9","-0.2","7.8","13","26.8","15.7","20","BYE","7.1","10.5","8.6","22.3","7.7","10.9","185.6"
"24","James Robinson","RB","NO","8.4","9.4","25.4","20.6","21.7","19.1","-","4.9","-","18.4","11.8","12.5","2.5","0.4","17.8","1","-","-","12.4","173.9"
"25","Myles Gaskin","RB","MIN","12.6","8.6","10.4","0.3","31.9","3.4","17.7","8.5","15.7","5.5","18.6","19.2","6.9","-","5.4","2.6","2.3","4","10.2","173.6"
"26","Elijah Mitchell","RB","SF","16.4","7.3","-","-","8.2","BYE","16.7","19.7","12.9","9.1","-","27.8","17.4","0","-","-","21","8.5","13.8","165"
