"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Mark Andrews","TE","BAL","5","10.7","15.9","11.7","41.7","17.8","7.8","BYE","9.4","18.3","15.3","16.5","9","28.5","35.6","26.5","14.9","16.5","17.7","301.1"
"2","Travis Kelce","TE","KC","25.6","23.9","17.4","6.3","17.7","17.9","13.5","4.7","17.8","19.9","18.8","BYE","5.7","5.7","41.1","-","13.4","13.4","16.4","262.8"
"3","Dalton Schultz","TE","HOU","10.5","3.8","26","17.8","13.9","12.9","-","3.1","9.4","2.4","11.3","15.6","9.3","1.4","20.7","22.2","11.4","17.1","12.3","208.8"
"4","George Kittle","TE","SF","11.8","5.7","17.1","8","-","BYE","-","-","20.1","16","13.4","2.3","39.6","34.1","15.3","4.1","4.5","6","14.1","198"
"5","Zach Ertz","TE","FA","5.4","1.6","15.3","12","1.7","12.9","16","8.2","5.7","8.6","28.8","-","2","9.2","13.4","13.4","11.1","15.4","10.6","180.7"
"6","Kyle Pitts","TE","ATL","7.1","12.3","5.5","9","26.9","BYE","23.3","3.3","9.2","10","5.9","4.6","8.8","11.1","11.7","16.2","8.9","2.8","10.4","176.6"
"7","Rob Gronkowski","TE","FA","29","19.9","9.5","-","-","-","-","0","-","-","13.1","19.3","21.8","11.2","4.9","3.3","18.5","20.7","14.3","171.2"
"8","Dallas Goedert","TE","PHI","14.2","4.4","8.6","16.6","4.8","-","12","13.2","7.3","4.8","11.2","1","28.5","BYE","20.5","4.8","13.1","-","11","165"
"8","Mike Gesicki","TE","NE","0","7.1","18.6","16.7","8.3","19.5","21.5","9.8","9.4","0","10","4.7","11.6","BYE","9.3","5.2","9.1","4.2","9.7","165"
"10","Hunter Henry","TE","NE","6.1","6.2","8.6","13.2","19.5","10.5","10.3","4.3","9.9","19.7","4.5","3.6","-","BYE","25.7","1.9","6.7","13.6","10.3","164.3"
"11","Dawson Knox","TE","BUF","8.1","9.7","14.9","20.7","20.7","7.5","BYE","-","-","2.7","14","18.2","3.4","19","7.8","9.1","0","8.3","10.9","164.1"
"12","Noah Fant","TE","SEA","12.2","13.3","3.5","16.6","5","24.7","8.9","2.8","BYE","10.9","-","4.2","7.3","9.1","10.7","6","21.2","2.6","9.9","159"
"13","Pat Freiermuth","TE","PIT","3.4","7.6","11.2","2.1","2.7","12.8","BYE","14.4","21.3","6.1","11.1","14","7.6","11.2","7.7","-","7.2","11.3","9.5","151.7"
"14","Tyler Higbee","TE","LAR","11.8","1.8","15","7.6","9.4","8.6","9.6","5.5","10.1","11","BYE","1.3","9.8","-","-","9.1","12.9","23.5","9.8","147"
"15","T.J. Hockenson","TE","MIN","25.7","20.6","3","8.2","4.2","15.4","10.8","18.9","-","0","11.1","12.5","14.9","-","-","-","-","-","12.1","145.3"
"16","Tyler Conklin","TE","NYJ","8.1","3.5","20","5.8","4.5","10.1","-","10.7","9.5","16.1","6.5","4.5","12.6","4","1.7","8.4","9.7","2.6","8.1","138.3"
"17","Darren Waller","TE","NYG","26.5","11.5","10.4","15","8.5","10.9","-","-","16.2","6.4","18.6","5.3","-","-","-","-","-","4.2","12.1","133.5"
"18","Jared Cook","TE","FA","10.6","5.8","4.7","19","3.9","12.5","-","4.5","10.8","2","5.8","10.5","5.9","8.8","6.2","9.4","-","12","8.3","132.4"
"19","C.J. Uzomah","TE","NYJ","5.5","2.4","0","26.5","3.6","10.5","24.1","7.3","6.4","-","2.9","3.9","5","9.6","4.8","8.6","7.2","-","8","128.3"
"20","Cole Kmet","TE","CHI","9.2","1","2.1","1.6","4.2","8.9","9.3","5.4","14.7","BYE","2.2","14.5","7.1","4.7","13.1","8.9","5.5","8.8","7.1","121.2"
"21","Gerald Everett","TE","LAC","10","1.3","10.4","-","-","6","5.3","1.2","-","14.3","6.7","14.7","0.7","10.8","10","16.8","6.6","3","7.9","117.8"
"22","David Njoku","TE","CLE","10.6","3.8","-","3.7","27.9","1.6","3.8","6.9","8.8","2.1","4.1","12.5","BYE","-","5.9","0","12.8","3.1","7.2","107.6"
