"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Cooper Kupp","WR","LAR","23.8","36.8","30.6","11.4","16.2","34","37.6","24.5","20.5","23.2","BYE","18.6","26.9","31.3","34.7","21.3","21.5","26.6","25.9","439.5"
"2","Davante Adams","WR","LV","10.6","20.1","31.2","12.4","37.6","12.9","19.6","BYE","10.2","14.8","30.5","18.4","-","34.1","16.4","33.4","30.6","11.5","21.5","344.3"
"3","Deebo Samuel","WR","SF","31.9","16.1","10.2","35.7","16.1","BYE","21","23.1","11.3","30.3","16.4","20.8","-","12.9","18.9","28.1","17.2","29","21.2","339"
"4","Justin Jefferson","WR","MIN","12.5","18.5","26.8","20.4","19.4","14","BYE","4.1","17","22.9","37.2","13.3","35.6","20.5","14.7","19.6","11.8","22.1","19.4","330.4"
"5","Ja'Marr Chase","WR","CIN","20.9","13.4","22.5","13.7","27.9","13.7","34.1","13.1","8.9","BYE","13","6.9","10.2","25.3","1.3","19.5","55.6","4.6","17.9","304.6"
"6","Tyreek Hill","WR","MIA","37.1","5.9","9.7","47.6","14.8","22.6","12.7","27.4","7.3","27.5","20","-","4.2","11.6","32.8","3.9","10.2","1.2","17.4","296.5"
"7","Stefon Diggs","WR","BUF","15.9","16","12.2","18.4","8.9","23.9","BYE","15","14.5","30.2","18.3","20.4","9.1","14.4","13.5","21.5","10.2","23.1","16.8","285.5"
"8","Diontae Johnson","WR","PIT","14.6","19.5","-","24.2","15.2","18.6","BYE","15.8","11.7","13.3","23.1","18.5","30.5","15.3","9.8","15.1","17.1","12.1","17.2","274.4"
"9","Mike Evans","WR","TB","5.4","24.5","18.6","14.5","29.3","4.7","31.6","12.8","BYE","14.2","20.3","4.6","16.9","21.1","2.4","-","14.7","26.9","16.4","262.5"
"10","Hunter Renfrow","WR","LV","13","10.7","18.7","16.5","11.6","6.6","12.8","BYE","17.9","17.6","7.5","21.6","19.2","28.7","6.2","13","20.6","16.9","15.2","259.1"
"11","Keenan Allen","WR","LAC","19","14.8","19","10.6","13.5","10","BYE","19.7","22.4","17.8","20.2","15.5","22.4","-","19.8","7.5","14.4","11.2","16.1","257.8"
"12","Mike Williams","WR","LAC","22.2","22.1","33.2","2.1","36.5","4.7","BYE","3.9","7.8","7.3","20.7","7.9","16","12.1","7.9","-","15.3","26.9","15.4","246.6"
"13","Jaylen Waddle","WR","MIA","16.1","8.8","17.8","6.3","5.3","29","15.3","6.9","16.3","10.1","20.6","28.7","18","BYE","-","25.2","7.7","13.7","15.4","245.8"
"14","DK Metcalf","WR","SEA","16","11.3","22.7","16.5","26.8","11.8","17.6","22.3","BYE","5.6","7.1","2.3","11","8.3","11.2","12.1","30.9","10.8","14.4","244.3"
"15","Chris Godwin","WR","TB","23.5","16.2","19.6","8.5","14","9.3","25.1","28","BYE","12.7","19.2","4.7","30.2","20.5","10.9","-","-","-","17.3","242.4"
"16","Tyler Lockett","WR","SEA","26","31.8","7.1","6.4","10.7","5.5","3.2","26.2","BYE","4.3","15.5","12.6","19.8","27.2","-","6","12.1","27","15.1","241.4"
"17","Michael Pittman Jr.","WR","IND","5.9","20.3","13.3","11.9","20.9","5.8","20.5","30.6","17.4","12.1","4.3","9.3","17","BYE","1.7","16.5","10.7","20.4","14","238.6"
"18","DJ Moore","WR","CHI","15.4","21.9","20.5","31.9","8.8","10.9","13.3","9.9","7.6","6.4","16","14.3","-","14.4","12.8","10.5","5.9","17","14","237.5"
"19","CeeDee Lamb","WR","DAL","23.4","17.4","9.5","3.3","18.8","36.1","BYE","17.2","4.3","28.6","4.4","-","19.2","14.6","11","10.4","8.1","6.5","14.6","232.8"
"20","Brandin Cooks","WR","DAL","18.2","22.8","20.7","9.7","5.3","17.9","7.1","20.3","11.6","-","3.8","13.5","8.4","18.1","29.2","-","19.6","5.6","14.5","231.8"
"21","Amon-Ra St. Brown","WR","DET","4.3","4.8","1.2","13","13.5","9.6","-","7.6","BYE","10.1","5.8","6.3","24.8","15.3","23.5","26","35.4","26.1","14.2","227.3"
"22","Marquise Brown","WR","ARI","19.4","23.3","8.3","19.1","33.5","7.5","19","-","20.6","9.7","-","13.1","10.5","9.1","14.3","9.4","3.8","5.7","14.1","226.3"
"23","Darnell Mooney","WR","CHI","7.6","12.6","1.9","18.5","6.5","15.5","5.9","12.4","20.6","BYE","23.1","17.5","7.7","2.9","11.6","10.9","19.9","24.6","12.9","219.7"
"24","Tee Higgins","WR","CIN","15.8","16","-","-","10.2","7.4","13.2","13.7","13.8","BYE","3.5","23.4","28.8","16.4","4.3","43.4","9.2","-","15.7","219.1"
"25","Terry McLaurin","WR","WAS","10.2","27.7","10.2","30.3","8.6","6.8","25.2","6.5","BYE","11.9","21.3","9.1","5.2","0","7.1","7","13.1","13.3","12.6","213.5"
"26","Christian Kirk","WR","JAC","24","9.5","17.4","1.5","10","18.5","15","8.6","16.4","12.8","4.5","-","1.4","11.6","24.4","11.8","13.9","6.3","12.2","207.6"
"27","Amari Cooper","WR","CLE","38.9","5.4","5.6","15.9","15","10.5","-","26.2","5.7","9.1","-","-","6.1","16.1","2.8","21.5","10.8","12.9","13.5","202.5"
"28","Adam Thielen","WR","CAR","30.2","15.9","17","7.6","6","29.8","-","19.8","8.6","11.5","22.2","23.2","1","-","-","7","-","-","15.4","199.8"
"29","Jakobi Meyers","WR","LV","10.4","7.8","18.4","16.8","9.6","11.4","9.4","9.6","1.8","14.9","7.9","14.8","-","-","11.3","11.9","21.3","9","11.6","186.3"
"30","DeVonta Smith","WR","PHI","19.1","3.6","5.8","19.2","14.7","5.1","11.1","2.5","22.6","22.6","10.1","4.2","3.5","BYE","7","19","8.4","7.1","10.9","185.6"
"31","Tyler Boyd","WR","CIN","6.2","14.3","13.6","20.8","6.4","1.7","7.9","19.7","2.1","BYE","12.3","3.3","13.5","10.3","20.6","17.5","13.6","-","11.5","183.8"
"32","A.J. Brown","WR","PHI","14.9","7.3","0.3","-","6.8","16.1","27.3","31.5","9.2","3.3","9.8","-","-","BYE","-","31.5","6.1","16.8","13.9","180.9"
"33","Kendrick Bourne","WR","NE","2.7","4.6","21.6","10.8","6.8","14.5","15.8","5.8","6.4","24.1","8.9","23.1","0.3","BYE","9.3","5.3","14.3","6.2","10.6","180.5"
"34","Marvin Jones Jr.","WR","FA","18.7","17.5","12.2","5.4","3.5","23","-","8.5","5.1","5.5","9.2","8.3","3.1","13","3.4","15.4","6.6","21.8","10.6","180.2"
"35","Brandon Aiyuk","WR","SF","0","1.6","14.5","2.5","5.2","BYE","1.9","10.5","18.7","5.6","21.5","12.5","8.5","18.6","4.6","14","13.4","16.7","10","170.3"
"36","Van Jefferson","WR","ATL","16","2.4","8.2","21","2.6","4.9","14.3","11.8","7.1","8.4","-","18.3","16.1","14.8","5.3","1.6","10.3","5.1","9.9","168.2"
"37","Chase Claypool","WR","MIA","10","9.7","18.6","-","24","3.7","-","10.1","7.3","-","14.4","11.2","7.4","17.5","1.9","8.1","4.7","18","11.1","166.6"
"38","Russell Gage","WR","TB","0","7.8","-","-","-","-","16.7","-","13.4","0","9.9","18.2","22","10.4","23.1","5.9","8","27.6","12.5","163"
"39","Cole Beasley","WR","FA","14","7.6","20.8","3.6","1.5","21.8","-","21","11.3","3.5","6.3","9.6","2.1","15.4","7.5","-","6.2","7.1","10","159.3"
"40","K.J. Osborn","WR","MIN","14.6","20.1","4.6","6.6","4.4","19.8","BYE","3","3","0","2.9","1.5","14.7","17.3","5.1","17.8","14","9.1","9.3","158.5"
"41","A.J. Green","WR","FA","4.5","13.4","16.2","17.7","2.3","18.9","9.6","10","-","1.4","11.8","-","2.4","17.2","10.4","4.3","10.4","6.3","9.8","156.8"
"42","Tim Patrick","WR","DEN","13.9","12.7","14.8","6.9","15.9","13.2","3.6","9.4","18.5","4.4","BYE","4.6","1.9","4.1","13.2","3.8","-","15.5","9.8","156.4"
"43","Marquez Callaway","WR","PIT","2.4","2.8","14.1","9.4","24.5","-","6.2","6","11.5","11.7","9.6","4.4","2.3","5.4","17.2","8.6","15.7","0","8.9","151.8"
"44","Courtland Sutton","WR","DEN","2.4","24.9","8.7","7.7","25","23.4","11.8","6","3.9","4.9","BYE","3.7","3.5","1.9","3.2","7.3","9","2.9","8.8","150.2"
"45","Cedrick Wilson Jr.","WR","MIA","5.4","4.5","9.7","11","6","8.2","-","18.8","4.8","-","7.6","17.4","-","3.8","-","3","18.7","28.9","10.6","147.8"
"46","DeAndre Hopkins","WR","TEN","26.3","15.4","5.1","10.7","20.7","20.5","18.3","8.6","-","-","-","-","11.2","10.4","-","-","-","-","14.7","147.2"
"47","Allen Lazard","WR","NYJ","3.6","-","5.2","5.3","2.6","11.7","17","-","9","1.6","-","3.3","-","20.9","4.8","13.8","19.2","24.5","10.2","142.5"
"48","Mecole Hardman Jr.","WR","KC","4.9","10.5","12.5","6.1","16.6","8.8","4.8","11.3","5","5","4.5","BYE","2.2","7.9","3.1","12.1","6.3","19.3","8.3","140.9"
"49","Robbie Chosen","WR","MIA","12.7","6.8","1.8","9.9","5","10.1","4.4","0","1.2","13.7","8","2.5","-","21.4","9.2","10.8","3","18","8.1","138.5"
"50","Elijah Moore","WR","CLE","0.7","8.7","5.2","-","0","-","10.2","13.1","27.4","13.4","29.6","9.3","20.6","-","-","-","-","-","12.6","138.2"
"51","Robert Woods","WR","HOU","12.4","12","6.8","14.8","27","11.1","15","20.7","17.4","BYE","-","-","-","-","-","-","-","-","15.2","137.2"
"52","Jarvis Landry","WR","FA","19.4","1.9","-","-","-","-","8.7","10","4.1","6.6","14.2","15.1","-","15.1","-","9.5","8.9","19.5","11.1","133"
"53","Kalif Raymond","WR","DET","8.9","3.8","12.8","19.6","0","9.7","17.6","0","BYE","6.9","0","4.6","5.3","13.1","4","4.7","-","21.4","8.3","132.4"
"54","Emmanuel Sanders","WR","FA","9.2","6.8","26.4","13.1","20.4","14.1","-","0","10.5","7.1","5.6","5.8","5.2","3.5","-","4","-","-","9.4","131.7"
"55","Odell Beckham Jr.","WR","BAL","-","-","13.7","5.1","4","12.9","4.3","1.6","-","3.8","-","19.1","10.8","19.7","1.7","13.7","14.9","3.8","9.2","129.1"
"56","Laviska Shenault Jr.","WR","CAR","12.9","1.7","8.8","17","6.8","11.4","-","4.1","6","5.1","8","8.3","6.1","7.4","8.9","-","3.3","11.2","7.9","127"
"57","Byron Pringle","WR","WAS","1.6","14.3","3.2","4.3","7.1","8.5","12.3","2.2","BYE","14.6","4.7","-","2.4","3.8","5.2","25.5","6.5","10.6","7.9","126.8"
"58","Gabe Davis","WR","BUF","12","-","3.3","0","2.6","4.5","BYE","12.9","0","13.5","4.7","6.7","11","15.3","25.5","-","7","6.9","8.4","125.9"
"59","Braxton Berrios","WR","MIA","10.1","14.3","4.6","2.5","1.6","-","0","9.3","2.5","4.9","0","6.7","2.1","11.2","10.6","15","25.7","-","7.6","121.1"
"59","Antonio Brown","WR","FA","23.7","2.7","-","13.3","31.4","24.3","-","-","-","-","-","-","-","-","-","20.1","5.6","-","17.3","121.1"
"61","Quez Watkins","WR","PHI","5.3","13.7","6.6","6.3","7.8","9.4","5.7","3.8","2.9","7.3","0","4.6","9","BYE","3.4","7.3","3.5","19.4","6.8","116"
"62","Deonte Harty","WR","BUF","15.2","2","6.1","10.2","14.2","-","BYE","8.7","11.2","10","3.1","1.9","19.9","-","-","-","4.3","6.3","8.7","113.1"
"63","Jamison Crowder","WR","WAS","-","-","-","19.1","8.4","-","7.4","16.4","8.8","5","16.4","1.5","10.2","4.9","9","-","-","2.6","9.1","109.7"
"64","Donovan Peoples-Jones","WR","DET","1.4","0.4","5.9","0","12","26.1","-","-","16.6","2.6","-","3","-","14","8.8","1.5","10.6","6.8","7.8","109.7"
"65","Bryan Edwards","WR","FA","12.1","7","11.9","1.4","4.2","8.7","13.3","-","0","17.8","0","2.2","6","4.4","9.8","-","0","10.3","6.8","109.1"
"65","Rondale Moore","WR","ARI","10.8","24.4","2.4","6.7","14.7","5.6","3.7","3.5","7.5","3.1","16.1","BYE","2","4.6","4","-","-","-","7.8","109.1"
"67","Nick Westbrook-Ikhine","WR","TEN","2","1.6","13.3","5.9","-","5.7","-","9.6","2.4","2","17.7","10.5","BYE","6.1","7.2","5.8","0","17.8","7.2","107.6"
"68","Zay Jones","WR","JAC","12.6","-","2.5","1.5","1.6","-","5.3","-","3","3.2","3","11.3","5.1","5.5","12.7","11","19.9","7.7","7.1","105.9"
"69","Corey Davis","WR","FA","26.7","2.8","9.1","21.1","8.5","-","14.7","-","-","12.3","6.5","-","3.5","-","-","-","-","-","11.7","105.2"
"70","DeVante Parker","WR","NE","12.1","9.2","8.2","17.7","-","-","-","16.5","-","-","-","-","11.2","BYE","16.8","0","8.6","3.2","10.4","103.5"
"71","Rashod Bateman","WR","BAL","-","-","-","-","-","6.9","11","BYE","10.2","14","5.9","7.1","0","17.3","1.5","12.6","12.8","4.2","8.6","103.5"
"72","Nelson Agholor","WR","BAL","18.2","5.1","3.7","8.9","6.2","3.8","13.1","9","0","4.1","15","5","0.6","-","7.4","-","-","3.3","6.9","103.4"
"73","Jalen Guyton","WR","LAC","7.9","4.2","0.3","3.9","5.5","2.5","BYE","2.8","2.9","0","3","4.3","18.9","17.7","9","-","3.1","11.2","6.1","97.2"
"74","Zach Pascal","WR","ARI","20.3","14.8","5.1","8.4","7.8","0","4.4","9.3","9.8","2.9","0.9","1.2","2.8","-","3.3","-","1.8","1.7","5.9","94.5"
"75","Randall Cobb","WR","NYJ","4.3","5.6","0","23.9","5","BYE","5.2","16.5","8","5.1","2.5","17.5","-","-","-","-","-","-","8.5","93.6"
"76","Joshua Palmer","WR","LAC","2.7","4.1","-","-","3.2","1.8","BYE","9.4","4.2","5.2","3.3","4.5","0","17.6","2.5","15.3","4.6","14.5","6.2","92.9"
"77","Michael Gallup","WR","DAL","7.6","-","-","-","-","-","BYE","-","-","7.2","9.4","15.6","14.6","11","6.2","7.3","12.6","-","10.2","91.5"
"78","Olamide Zaccheaus","WR","PHI","-","4.2","12.2","2.5","4","-","2.3","2.2","20.8","4.2","5.3","1.5","7.6","BYE","7.3","5.2","2.8","7.7","6","89.8"
"79","Kenny Golladay","WR","FA","10.4","6.8","10.4","17.6","0","-","-","-","4.8","-","2.2","8","6.7","3.5","8.3","5.2","0","5.2","6.4","89.1"
"80","Tre'Quan Smith","WR","DET","-","-","-","-","-","-","2.1","12.3","8.3","14.4","11.4","7.1","3.5","6.3","3.7","-","-","18.6","8.8","87.7"
"81","Allen Robinson II","WR","PIT","9.5","10.4","4.7","9.3","7.2","9.3","3.6","5.1","10.8","-","-","-","-","3.4","-","-","7.5","6.2","7.3","87"
"81","Marquez Valdes-Scantling","WR","KC","4.7","0","14.9","-","-","-","-","-","3.9","5.1","22.3","9","-","5","20.8","-","1.3","0","7.9","87"
"83","Freddie Swain","WR","MIA","0.5","21","3.1","11","1.9","1.6","8.7","0","-","0","0","10.2","4.8","0.3","3.5","1.9","8.5","9.5","5.1","86.5"
"84","DeAndre Carter","WR","LV","0","0.2","0","9.4","11.3","0","4.1","14.1","-","15","9.9","8.6","1.6","3.2","4.4","3","0.6","1.1","5.1","86.5"
"85","Jerry Jeudy","WR","DEN","13.2","-","-","-","-","-","-","7.9","12.9","11.1","BYE","4.5","11.7","9.7","0","9","-","5","8.5","85"
"86","Henry Ruggs III","WR","FA","6.6","22.5","12.5","9","8.1","18.7","7.1","-","-","-","-","-","-","-","-","-","-","-","12.1","84.5"
"87","Nico Collins","WR","HOU","1.7","4.2","-","-","-","8.4","4.8","9.5","5.5","BYE","1.9","4.8","0","11.9","3.4","12.3","5.5","9.7","6","83.6"
"88","Laquon Treadwell","WR","FA","-","0","-","-","-","0","-","-","0","2.8","2.1","9.3","10.2","10.8","11.7","9.4","14.7","11.4","6.9","82.4"
"89","Kadarius Toney","WR","KC","1.8","-","3.6","13.9","29.6","6.6","-","7.4","1.7","-","11","BYE","-","-","-","6.8","-","-","9.2","82.4"
"90","Jauan Jennings","WR","SF","-","9.7","-","2.4","-","BYE","0","0","-","1.3","1.4","10.4","1.8","7.6","11.8","3.9","4.5","27.4","6.3","82.2"
"91","Josh Reynolds","WR","DET","-","0","-","11.9","1.8","-","5.3","-","BYE","-","0","16","10.9","8.2","18.8","5.6","-","2.1","7.3","80.6"
"92","Julio Jones","WR","PHI","5.9","18.8","7.7","-","-","8.9","5.8","-","7.5","-","-","-","-","7.3","0","1.7","-","16.8","8","80.4"
