"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"DEF","Tampa Bay Buccaneers","TB","@PIT","5000","3.0%","41%","5%","16%","5.36"
"DEF","Minnesota Vikings","MIN","@MIA","4800","3.0%","32%","1%","4%","1.29"
"DEF","San Francisco 49ers","SF","@ATL","4700","3.0%","37%","2%","6%","2.11"
"DEF","Green Bay Packers","GB","NYJ","4600","3.0%","44%","3%","12%","3.90"
"DEF","Baltimore Ravens","BAL","@NYG","4500","3.0%","37%","1%","4%","1.38"
"DEF","Cleveland Browns","CLE","NE","4500","0.5%","34%","1%","3%","5.05"
"DEF","Los Angeles Rams","LAR","CAR","4400","17.5%","59%","13%","47%","2.66"
"DEF","Jacksonville Jaguars","JAX","@IND","4300","3.0%","41%","1%","5%","1.60"
"DEF","New England Patriots","NE","@CLE","4200","3.0%","36%","0%","2%","0.55"
"DEF","Indianapolis Colts","IND","JAX","4100","3.0%","39%","1%","2%","0.75"
"DEF","Buffalo Bills","BUF","@KC","4000","3.0%","36%","0%","1%","0.33"
"DEF","Miami Dolphins","MIA","MIN","4000","0.5%","30%","0%","0%","0.53"
"DEF","Arizona Cardinals","ARI","@SEA","3900","3.0%","41%","1%","2%","0.60"
"DEF","New Orleans Saints","NO","CIN","3800","7.5%","41%","0%","1%","0.19"
"DEF","Carolina Panthers","CAR","@LAR","3700","7.5%","39%","0%","1%","0.09"
"DEF","Cincinnati Bengals","CIN","@NO","3600","12.5%","44%","0%","1%","0.11"
"DEF","Pittsburgh Steelers","PIT","TB","3500","0.5%","25%","0%","0%","0.01"
"DEF","Kansas City Chiefs","KC","BUF","3400","3.0%","40%","0%","0%","0.09"
"DEF","New York Jets","NYJ","@GB","3300","0.5%","28%","0%","0%","0.01"
"DEF","New York Giants","NYG","BAL","3200","12.5%","44%","0%","0%","0.02"
"DEF","Seattle Seahawks","SEA","ARI","3100","7.5%","46%","0%","0%","0.03"
"DEF","Atlanta Falcons","ATL","SF","3000","7.5%","46%","0%","0%","0.02"
"QB","Josh Allen","BUF","@KC","9200","22.5%","69%","41%","14%","0.60"
"QB","Lamar Jackson","BAL","@NYG","8800","7.5%","63%","34%","11%","1.50"
"QB","Patrick Mahomes","KC","BUF","8600","7.5%","49%","20%","7%","0.89"
"QB","Kyler Murray","ARI","@SEA","8300","7.5%","59%","29%","10%","1.28"
"QB","Joe Burrow","CIN","@NO","8000","3.0%","43%","16%","5%","1.77"
"QB","Kirk Cousins","MIN","@MIA","7600","3.0%","40%","12%","4%","1.37"
"QB","Tom Brady","TB","@PIT","7500","12.5%","45%","15%","5%","0.39"
"QB","Aaron Rodgers","GB","NYJ","7500","3.0%","43%","13%","4%","1.49"
"QB","Geno Smith","SEA","ARI","7400","7.5%","46%","17%","6%","0.76"
"QB","Matthew Stafford","LAR","CAR","7200","7.5%","42%","12%","4%","0.55"
"QB","Jimmy Garoppolo","SF","@ATL","7100","3.0%","37%","11%","4%","1.17"
"QB","Trevor Lawrence","JAX","@IND","7100","3.0%","37%","11%","3%","1.16"
