"Pos","Player","Tm","Opp","DK Sal $","Val","Projected Own%","Cash Odds","GPP Odds","Implied Own%","DK LEV"
"DEF","Los Angeles Rams","LAR","CAR","4100","-0.24","7.5%","38%","17%","25%","3.29"
"DEF","Green Bay Packers","GB","NYJ","4000","-2.25","3.0%","23%","5%","8%","2.69"
"DEF","Tampa Bay Buccaneers","TB","@PIT","3900","-1.52","3.0%","28%","8%","12%","3.90"
"DEF","San Francisco 49ers","SF","@ATL","3700","-2.00","3.0%","21%","4%","6%","2.03"
"DEF","Baltimore Ravens","BAL","@NYG","3600","-2.14","3.0%","19%","3%","5%","1.52"
"DEF","Cleveland Browns","CLE","NE","3500","-2.26","0.5%","18%","2%","3%","6.84"
"DEF","Minnesota Vikings","MIN","@MIA","3400","-1.66","3.0%","22%","4%","5%","1.78"
"DEF","Arizona Cardinals","ARI","@SEA","3300","-2.01","3.0%","17%","2%","3%","0.95"
"DEF","Indianapolis Colts","IND","JAX","3200","-1.61","7.5%","20%","3%","4%","0.51"
"DEF","Cincinnati Bengals","CIN","@NO","3100","-1.71","7.5%","18%","2%","3%","0.35"
"DEF","Jacksonville Jaguars","JAX","@IND","3000","-0.59","12.5%","28%","5%","8%","0.62"
"DEF","New England Patriots","NE","@CLE","2900","-0.95","3.0%","23%","3%","4%","1.38"
"DEF","New Orleans Saints","NO","CIN","2800","-0.86","12.5%","23%","3%","4%","0.31"
"DEF","Seattle Seahawks","SEA","ARI","2800","-1.70","3.0%","14%","1%","1%","0.33"
"DEF","Buffalo Bills","BUF","@KC","2700","-0.74","3.0%","22%","2%","3%","1.15"
"DEF","Miami Dolphins","MIA","MIN","2700","-1.33","0.5%","17%","1%","2%","3.03"
"DEF","New York Giants","NYG","BAL","2600","-1.13","3.0%","17%","1%","1%","0.49"
"DEF","New York Jets","NYJ","@GB","2600","-2.22","0.5%","6%","0%","0%","0.15"
"DEF","Kansas City Chiefs","KC","BUF","2500","-0.86","3.0%","19%","1%","2%","0.56"
"DEF","Atlanta Falcons","ATL","SF","2500","-1.10","3.0%","16%","1%","1%","0.38"
"DEF","Carolina Panthers","CAR","@LAR","2400","-0.23","17.5%","25%","2%","4%","0.20"
"DEF","Pittsburgh Steelers","PIT","TB","2400","-1.62","0.5%","9%","0%","0%","0.35"
"QB","Josh Allen","BUF","@KC","8200","5.07","17.5%","65%","35%","15%","0.86"
"QB","Lamar Jackson","BAL","@NYG","8100","2.92","7.5%","57%","28%","12%","1.59"
"QB","Patrick Mahomes","KC","BUF","8000","-1.48","7.5%","42%","15%","7%","0.87"
"QB","Kyler Murray","ARI","@SEA","7300","3.08","7.5%","53%","23%","10%","1.32"
"QB","Joe Burrow","CIN","@NO","6700","-0.12","3.0%","38%","12%","5%","1.73"
"QB","Tom Brady","TB","@PIT","6300","0.99","12.5%","38%","10%","4%","0.35"
"QB","Matthew Stafford","LAR","CAR","6200","-0.10","3.0%","34%","9%","4%","1.22"
"QB","Aaron Rodgers","GB","NYJ","6100","0.95","3.0%","37%","10%","4%","1.39"
"QB","Kirk Cousins","MIN","@MIA","6000","0.62","3.0%","35%","9%","4%","1.29"
"QB","Geno Smith","SEA","ARI","5700","2.74","12.5%","41%","14%","6%","0.46"
"QB","Trevor Lawrence","JAX","@IND","5600","0.11","3.0%","31%","8%","3%","1.11"
"QB","Jimmy Garoppolo","SF","@ATL","5500","0.45","3.0%","31%","8%","3%","1.08"
"QB","Jacoby Brissett","CLE","NE","5400","-0.43","0.5%","29%","7%","3%","6.03"
"QB","Zach Wilson","NYJ","@GB","5300","1.18","3.0%","33%","9%","4%","1.28"
"QB","Matt Ryan","IND","JAX","5300","0.24","3.0%","29%","7%","3%","0.93"
"QB","Marcus Mariota","ATL","SF","5300","0.23","3.0%","30%","8%","3%","1.14"
"QB","Daniel Jones","NYG","BAL","5200","1.92","3.0%","35%","10%","4%","1.39"
"QB","Kenny Pickett","PIT","TB","5200","0.51","3.0%","31%","8%","3%","1.14"
"QB","Andy Dalton","NO","CIN","5200","-2.85","0.5%","19%","3%","1%","2.73"
"QB","Bailey Zappe","NE","@CLE","5100","-0.45","0.5%","26%","5%","2%","4.66"
"QB","Skylar Thompson","MIA","MIN","5000","0.90","3.0%","30%","7%","3%","0.98"
"QB","P.J. Walker","CAR","@LAR","4900","-2.15","3.0%","19%","3%","1%","0.42"
"RB","Christian McCaffrey","CAR","@LAR","8300","6.69","7.5%","50%","17%","23%","3.02"
"RB","Nick Chubb","CLE","NE","8200","4.63","7.5%","42%","12%","16%","2.13"
"RB","Saquon Barkley","NYG","BAL","7700","8.24","22.5%","56%","20%","27%","1.20"
"RB","Aaron Jones","GB","NYJ","7600","3.66","3.0%","37%","9%","12%","3.98"
"RB","Dalvin Cook","MIN","@MIA","7500","3.67","3.0%","37%","9%","12%","3.97"
"RB","Leonard Fournette","TB","@PIT","7400","6.07","12.5%","46%","13%","17%","1.38"
"RB","Joe Mixon","CIN","@NO","6900","4.70","12.5%","40%","9%","12%","0.99"
"RB","Alvin Kamara","NO","CIN","6700","8.50","12.5%","55%","17%","23%","1.85"
"RB","Clyde Edwards-Helaire","KC","BUF","6300","2.87","3.0%","32%","5%","7%","2.40"
"RB","Jeff Wilson","SF","@ATL","6200","3.21","12.5%","32%","4%","6%","0.47"
"RB","James Robinson","JAX","@IND","6100","0.96","3.0%","24%","3%","4%","1.35"
"RB","Rhamondre Stevenson","NE","@CLE","6000","9.00","32.5%","56%","16%","21%","0.65"
"RB","Najee Harris","PIT","TB","6000","1.59","3.0%","26%","3%","5%","1.54"
"RB","Devin Singletary","BUF","@KC","5900","2.70","7.5%","29%","3%","5%","0.62"
"RB","Alexander Mattison","MIN","@MIA","5900","-5.03","0.5%","6%","0%","0%","0.36"
"RB","Breece Hall","NYJ","@GB","5800","5.82","12.5%","42%","8%","10%","0.82"
"RB","Raheem Mostert","MIA","MIN","5700","2.68","3.0%","30%","4%","6%","1.83"
"RB","Kareem Hunt","CLE","NE","5700","1.79","3.0%","26%","3%","4%","1.39"
"RB","A.J. Dillon","GB","NYJ","5600","2.00","3.0%","27%","3%","4%","1.48"
"RB","Samaje Perine","CIN","@NO","5600","-5.48","0.5%","4%","0%","0%","0.14"
"RB","J.K. Dobbins","BAL","@NYG","5500","2.69","3.0%","30%","4%","5%","1.78"
"RB","Ken Walker","SEA","ARI","5400","4.53","12.5%","37%","6%","8%","0.62"
"RB","Deon Jackson","IND","JAX","5200","3.65","3.0%","32%","4%","5%","1.76"
"RB","Rachaad White","TB","@PIT","5200","-2.31","0.5%","11%","0%","1%","1.22"
"RB","Darrell Henderson","LAR","CAR","5100","5.27","17.5%","39%","7%","9%","0.50"
"RB","Tyler Allgeier","ATL","SF","5100","0.56","3.0%","20%","1%","2%","0.61"
"RB","Travis Etienne","JAX","@IND","5000","3.01","3.0%","29%","3%","4%","1.17"
"RB","Michael Carter","NYJ","@GB","5000","-0.10","0.5%","17%","1%","1%","2.56"
"RB","Mark Ingram","NO","CIN","5000","-5.61","0.5%","3%","0%","0%","0.04"
"RB","Caleb Huntley","ATL","SF","4900","-4.32","0.5%","5%","0%","0%","0.17"
"RB","Isiah Pacheco","KC","BUF","4900","-5.20","0.5%","3%","0%","0%","0.06"
"RB","Chase Edmonds","MIA","MIN","4800","-4.97","0.5%","4%","0%","0%","0.06"
"RB","Mike Davis","BAL","@NYG","4800","-8.19","0.5%","0%","0%","0%","0.00"
"RB","Phillip Lindsay","IND","JAX","4700","0.56","0.5%","20%","1%","2%","3.61"
"RB","Jerick McKinnon","KC","BUF","4700","-1.99","0.5%","11%","0%","0%","0.94"
"RB","Avery Williams","ATL","SF","4700","-5.35","0.5%","3%","0%","0%","0.03"
"RB","Eno Benjamin","ARI","@SEA","4600","5.99","37.5%","41%","6%","8%","0.22"
"RB","Jaylen Warren","PIT","TB","4600","-2.53","0.5%","9%","0%","0%","0.57"
"RB","Matt Breida","NYG","BAL","4600","-6.66","0.5%","1%","0%","0%","0.00"
"RB","Tevin Coleman","SF","@ATL","4500","-2.43","0.5%","9%","0%","0%","0.53"
"RB","DeeJay Dallas","SEA","ARI","4500","-3.23","0.5%","7%","0%","0%","0.26"
"RB","James Cook","BUF","@KC","4500","-6.37","0.5%","1%","0%","0%","0.00"
"RB","Chuba Hubbard","CAR","@LAR","4400","-7.21","0.5%","1%","0%","0%","0.00"
"RB","Zack Moss","BUF","@KC","4300","-5.51","0.5%","2%","0%","0%","0.01"
"RB","Myles Gaskin","MIA","MIN","4200","-2.29","0.5%","9%","0%","0%","0.35"
"RB","Keaontay Ingram","ARI","@SEA","4000","-1.17","0.5%","12%","0%","0%","0.80"
"RB","Kenyan Drake","BAL","@NYG","4000","-2.56","0.5%","8%","0%","0%","0.23"
"RB","Malcolm Brown","LAR","CAR","4000","-2.86","0.5%","7%","0%","0%","0.18"
"RB","Pierre Strong Jr.","NE","@CLE","4000","-3.32","0.5%","6%","0%","0%","0.11"
"RB","Kyle Juszczyk","SF","@ATL","4000","-4.62","0.5%","3%","0%","0%","0.02"
"RB","Patrick Ricard","BAL","@NYG","4000","-4.81","0.5%","3%","0%","0%","0.02"
"RB","C.J. Ham","MIN","@MIA","4000","-5.62","0.5%","1%","0%","0%","0.00"
"RB","JaMycal Hasty","JAX","@IND","4000","-5.64","0.5%","1%","0%","0%","0.00"
"RB","Reggie Gilliam","BUF","@KC","4000","-5.96","0.5%","1%","0%","0%","0.00"
"RB","Derek Watt","PIT","TB","4000","-6.36","0.5%","1%","0%","0%","0.00"
"RB","D'Onta Foreman","CAR","@LAR","4000","-6.69","0.5%","1%","0%","0%","0.00"
"RB","Gary Brightwell","NYG","BAL","4000","-6.82","0.5%","1%","0%","0%","0.00"
