Season,Week,PID,Player,Pos,Team,Opp,aFPA,aFPA Rk,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade,DK (Proj),DK ($),DK (Val),DK (Pt/$1k),DK (Flr),DK (Flr Val),DK (Flr/$1k),DK (Ceil),DK (Ceil Val),DK (Ceil/$1k),DK (Wk $ Chg),DK (Own %),O/U,Line,Team O/U
2022,6,allenj3,Josh Allen,QB,BUF,@KC,21.8,31,26.4,25.7,38.4,303.6,2.1,0.8,7.6,44.8,0.6,0.0,0.0,0.0,14.6,2.9,0.0,0.3,0.0,0.0,A-Game,28.3,8200.0,5.1,3.45,14.9,-8.30,1.82,38.8,15.57,4.73,--,18,54.000,-2.500,28.25
2022,6,jacksl1,Lamar Jackson,QB,BAL,@NYG,19.1,22,23.9,20.2,31.7,232.5,1.7,0.8,10.5,68.3,0.5,0.0,0.0,0.0,11.3,4.4,0.0,0.2,0.0,0.0,A-Game,25.8,8100.0,2.9,3.19,13.6,-9.36,1.67,37.5,14.53,4.62,--,8,45.500,-5.500,25.5
2022,6,hurtsj1,Jalen Hurts,QB,PHI,DAL,10.8,5,22.4,20.9,32.1,244.3,1.0,0.7,11.9,53.0,0.8,0.0,0.0,0.0,11.8,3.4,0.0,0.2,0.0,0.0,A-Game,24.1,7900.0,1.7,3.04,11.8,-10.57,1.49,35.3,12.94,4.47,--,-,42.000,-6.5,24.25
2022,6,murrak1,Kyler Murray,QB,ARI,@SEA,21.4,29,22.1,24.7,37.7,271.3,1.7,0.7,5.6,26.5,0.6,0.0,0.0,0.0,13.3,1.7,0.0,0.2,0.0,0.0,A-Game,23.7,7300.0,3.1,3.25,10.8,-9.88,1.48,34.6,13.96,4.74,--,8,50.500,-2.500,26.5
2022,6,mahomp1,Patrick Mahomes,QB,KC,BUF,7.8,2,19.4,24.7,36.8,288.3,1.8,0.8,3.7,18.9,0.1,0.0,0.0,0.0,13.9,1.2,0.0,0.3,0.0,0.0,A-Game,21.2,8000.0,-1.5,2.64,9.8,-12.87,1.22,32.4,9.79,4.05,--,8,54.000,2.5,25.75
2022,6,bradyt1,Tom Brady,QB,TB,@PIT,19.4,24,17.5,24.6,37.4,275.7,1.9,0.5,0.4,0.8,0.0,0.0,0.0,0.0,13.4,0.1,0.0,0.2,0.0,0.0,A-Game,18.8,6300.0,1.0,2.99,9.3,-8.55,1.47,29.9,12.12,4.75,--,13,46.000,-9.500,27.75
2022,6,herbej1,Justin Herbert,QB,LAC,DEN,11.2,7,17.3,24.2,36.7,273.6,1.8,0.7,1.4,5.3,0.1,0.0,0.0,0.0,13.3,0.3,0.0,0.2,0.0,0.0,A-Game,18.8,7000.0,-1.0,2.69,8.6,-11.25,1.22,30.1,10.31,4.30,--,-,45.500,-4.5,25
2022,6,burroj1,Joe Burrow,QB,CIN,@NO,16.1,15,17.3,23.1,35.8,256.9,1.6,0.8,3.7,11.9,0.2,0.0,0.0,0.0,12.5,0.8,0.0,0.2,0.0,0.0,A-Game,18.8,6700.0,-0.1,2.81,7.6,-11.38,1.13,30.4,11.46,4.54,--,3,43.500,-3.000,23.25
2022,6,smithg1,Geno Smith,QB,SEA,ARI,18.4,20,17.2,22.1,33.3,249.0,1.7,0.8,2.9,13.0,0.2,0.0,0.0,0.0,12.1,0.8,0.0,0.2,0.0,0.0,A-Game,18.9,5700.0,2.7,3.31,7.5,-8.59,1.32,30.6,14.45,5.37,--,13,50.500,2.5,24
2022,6,rodgea1,Aaron Rodgers,QB,GB,NYJ,12.8,8,17.2,22.3,33.8,253.9,1.9,0.3,1.1,3.0,0.1,0.0,0.0,0.0,12.3,0.2,0.0,0.2,0.0,0.0,A-Game,18.2,6100.0,0.9,2.99,8.4,-8.84,1.38,29.4,12.14,4.82,--,3,45.000,-7.5,26.25
2022,6,cousik1,Kirk Cousins,QB,MIN,@MIA,19.2,23,16.1,23.5,36.1,263.3,1.7,0.8,1.3,4.9,0.0,0.0,0.0,0.0,12.8,0.3,0.0,0.2,0.0,0.0,B-Game,17.6,6000.0,0.6,2.93,8.0,-9.02,1.33,29.2,12.25,4.87,--,3,45.500,-3.000,24.25
2022,6,staffm1,Matthew Stafford,QB,LAR,CAR,16.6,17,15.7,23.6,36.2,263.3,1.8,1.0,0.9,2.6,0.0,0.0,0.0,0.0,12.8,0.2,0.0,0.2,0.0,0.0,B-Game,17.5,6200.0,-0.1,2.82,8.2,-9.39,1.32,29.3,11.74,4.72,--,3,41.500,-10,25.75
2022,6,wilsor1,Russell Wilson,QB,DEN,@LAC,17.1,18,15.7,21.2,34.3,240.8,1.3,0.8,3.8,14.5,0.2,0.0,0.0,0.0,11.7,0.9,0.0,0.3,0.0,0.0,B-Game,17.3,6500.0,-1.1,2.66,6.0,-12.36,0.93,29.3,10.87,4.50,--,-,45.500,4.500,20.5
2022,6,jonesd4,Daniel Jones,QB,NYG,BAL,21.0,27,14.9,18.7,29.1,204.3,1.3,0.9,6.1,30.6,0.1,0.0,0.0,0.0,10.0,2.0,0.0,0.3,0.0,0.0,B-Game,16.6,5200.0,1.9,3.20,6.5,-8.22,1.25,29.3,14.55,5.63,--,3,45.500,5.5,20
2022,6,garopj1,Jimmy Garoppolo,QB,SF,@ATL,21.2,28,14.6,19.7,31.5,232.1,1.5,0.7,0.7,2.0,0.2,0.0,0.0,0.0,11.2,0.1,0.0,0.2,0.0,0.0,B-Game,16.0,5500.0,0.4,2.91,6.3,-9.26,1.15,27.9,12.30,5.07,--,3,46.000,-4.500,25.25
2022,6,wentzc1,Carson Wentz,QB,WAS,@CHI,18.9,21,14.6,21.0,35.5,258.8,1.3,1.0,3.4,15.2,0.0,0.0,0.0,0.0,12.3,1.0,0.0,0.3,0.0,0.0,B-Game,16.5,5700.0,0.4,2.89,6.3,-9.79,1.11,28.7,12.54,5.03,--,-,38.500,-1.000,19.75
2022,6,fieldj1,Justin Fields,QB,CHI,WAS,19.5,25,14.6,15.9,25.8,183.4,1.1,0.8,6.0,35.6,0.3,0.0,0.0,0.0,8.9,2.3,0.0,0.2,0.0,0.0,B-Game,16.2,5200.0,1.5,3.12,5.8,-8.95,1.11,29.0,14.25,5.57,--,-,38.500,1,18.75
