Season,Week,PID,Player,Pos,Team,Opp,aFPA,aFPA Rk,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade,FD (Proj),FD ($),FD (Val),FD (Pt/$1k),FD (Flr),FD (Flr Val),FD (Flr/$1k),FD (Ceil),FD (Ceil Val),FD (Ceil/$1k),FD (Wk $ Chg),FD (Own %),O/U,Line,Team O/U
2022,6,allenj3,Josh Allen,QB,BUF,@KC,21.8,31,26.4,25.7,38.4,303.6,2.1,0.8,7.6,44.8,0.6,0.0,0.0,0.0,14.6,2.9,0.0,0.3,0.0,0.0,A-Game,27.1,9200.0,7.7,2.95,14.3,-5.12,1.55,37.7,18.28,4.10,--,23,54.000,-2.500,28.25
2022,6,jacksl1,Lamar Jackson,QB,BAL,@NYG,19.1,22,23.9,20.2,31.7,232.5,1.7,0.8,10.5,68.3,0.5,0.0,0.0,0.0,11.3,4.4,0.0,0.2,0.0,0.0,A-Game,24.7,8800.0,6.2,2.81,12.9,-5.66,1.47,36.3,17.76,4.13,--,8,45.500,-5.500,25.5
2022,6,hurtsj1,Jalen Hurts,QB,PHI,DAL,10.8,5,22.4,20.9,32.1,244.3,1.0,0.7,11.9,53.0,0.8,0.0,0.0,0.0,11.8,3.4,0.0,0.2,0.0,0.0,A-Game,23.0,8700.0,4.7,2.65,11.2,-7.14,1.29,34.3,15.89,3.94,--,-,42.000,-6.5,24.25
2022,6,murrak1,Kyler Murray,QB,ARI,@SEA,21.4,29,22.1,24.7,37.7,271.3,1.7,0.7,5.6,26.5,0.6,0.0,0.0,0.0,13.3,1.7,0.0,0.2,0.0,0.0,A-Game,22.8,8300.0,5.3,2.75,10.3,-7.19,1.24,33.7,16.18,4.06,--,8,50.500,-2.500,26.5
2022,6,mahomp1,Patrick Mahomes,QB,KC,BUF,7.8,2,19.4,24.7,36.8,288.3,1.8,0.8,3.7,18.9,0.1,0.0,0.0,0.0,13.9,1.2,0.0,0.3,0.0,0.0,A-Game,20.2,8600.0,2.1,2.35,9.3,-8.81,1.09,31.5,13.38,3.67,--,8,54.000,2.5,25.75
2022,6,bradyt1,Tom Brady,QB,TB,@PIT,19.4,24,17.5,24.6,37.4,275.7,1.9,0.5,0.4,0.8,0.0,0.0,0.0,0.0,13.4,0.1,0.0,0.2,0.0,0.0,A-Game,18.1,7500.0,2.2,2.41,8.9,-6.93,1.19,29.2,13.35,3.89,--,13,46.000,-9.500,27.75
2022,6,herbej1,Justin Herbert,QB,LAC,DEN,11.2,7,17.3,24.2,36.7,273.6,1.8,0.7,1.4,5.3,0.1,0.0,0.0,0.0,13.3,0.3,0.0,0.2,0.0,0.0,A-Game,18.0,8200.0,0.7,2.20,8.2,-9.12,1.00,29.3,12.02,3.58,--,-,45.500,-4.5,25
2022,6,burroj1,Joe Burrow,QB,CIN,@NO,16.1,15,17.3,23.1,35.8,256.9,1.6,0.8,3.7,11.9,0.2,0.0,0.0,0.0,12.5,0.8,0.0,0.2,0.0,0.0,A-Game,18.0,8000.0,1.2,2.25,7.2,-9.66,0.90,29.6,12.73,3.70,--,3,43.500,-3.000,23.25
2022,6,smithg1,Geno Smith,QB,SEA,ARI,18.4,20,17.2,22.1,33.3,249.0,1.7,0.8,2.9,13.0,0.2,0.0,0.0,0.0,12.1,0.8,0.0,0.2,0.0,0.0,A-Game,18.1,7400.0,2.4,2.44,7.2,-8.41,0.97,29.8,14.16,4.02,--,8,50.500,2.5,24
2022,6,rodgea1,Aaron Rodgers,QB,GB,NYJ,12.8,8,17.2,22.3,33.8,253.9,1.9,0.3,1.1,3.0,0.1,0.0,0.0,0.0,12.3,0.2,0.0,0.2,0.0,0.0,A-Game,17.5,7500.0,1.7,2.33,8.1,-7.75,1.08,28.6,12.82,3.82,--,3,45.000,-7.5,26.25
