"","POS","Player","<5","5 to 10","10 to 15","15 to 20","20 to 25",">25","PPR - AVG","PPR - 25th","PPR - 50th","PPR - 75th","Half - AVG","Half - 25th","Half - 50th","Half - 75th","Stand - AVG","Stand - 25th","Stand - 50th","Stand - 75th"
"1","RB","Austin Ekeler",0.08,0.14,0.24,0.16,0.16,0.22,17.7,10.1,16.2,22.5,15.4,7.9,14.1,18.9,13.1,6.1,11.8,16.1
"2","RB","David Montgomery",0.04,0.2,0.33,0.2,0.12,0.1,15,10,14.4,17.4,13.6,8.6,12.7,16.5,12.2,6.7,10.9,15
"3","RB","Breece Hall",0.04,0.22,0.36,0.16,0.1,0.12,14.6,9.9,11.6,19.6,12.7,7.6,10.8,16.8,10.7,6.5,8.9,13.5
"4","RB","James Robinson",0.08,0.3,0.22,0.2,0.12,0.08,14,8.4,13.5,18.2,13.1,7.7,12.4,17.4,12.2,6.8,11.5,17.3
"5","RB","Christian McCaffrey",0.08,0.26,0.32,0.12,0.12,0.1,13.9,8.8,11.2,17.9,12,7.7,10.2,15.9,10.1,6,8.1,12.7
"6","RB","Jeff Wilson",0.08,0.29,0.24,0.2,0.12,0.06,13.7,8.5,13.4,18.6,12.8,7.5,12.3,17.2,11.9,6.6,11.3,15.7
"7","RB","Saquon Barkley",0.12,0.22,0.32,0.12,0.18,0.04,13.4,8.4,12.1,18.5,11.8,7.3,10.5,16.9,10.2,5.5,8.3,14.2
"8","RB","Jonathan Taylor",0.18,0.2,0.24,0.18,0.06,0.12,13.3,6.1,12.9,18.7,12.3,6.1,12.3,16.8,11.4,6.1,10.8,15.1
"9","RB","JK Dobbins",0.19,0.17,0.3,0.15,0.09,0.11,13.2,7,12.3,17,12.6,6.6,11.5,16.6,12.1,6,10.6,15.6
"10","RB","Rhamondre Stevenson",0.1,0.29,0.33,0.14,0.06,0.08,12.8,8.9,12.5,15.2,11.8,7.5,11.9,14.7,10.9,6.2,10.4,14.1
"11","RB","Leonard Fournette",0.06,0.31,0.33,0.17,0.06,0.06,12.7,8.1,11.2,15.8,10.5,7,9,12.4,8.4,5.3,7.3,9.8
"12","RB","Clyde Edwards-Helaire",0.08,0.31,0.25,0.25,0.06,0.04,12.4,7.8,10.8,17.2,11,6.7,10,15.1,9.6,5.6,9.5,13.1
"13","RB","Devin Singletary",0.2,0.24,0.28,0.12,0.04,0.12,12.3,6.3,10.9,15.6,10.8,5.3,9.7,13.6,9.4,4.1,8.2,11.2
"14","RB","Aaron Jones",0.11,0.28,0.32,0.19,0.11,0,12.2,8.7,12.1,16.1,11,7.3,10.4,14.4,9.7,6.3,8.9,12.7
"15","RB","AJ Dillon",0.15,0.25,0.31,0.19,0.06,0.04,11.9,7.8,12.4,15.2,10.9,7.3,10.4,14.1,9.8,6.1,8.2,13.2
"16","RB","Dalvin Cook",0.08,0.29,0.33,0.27,0.02,0.02,11.8,7.8,12.3,15.2,10.8,7.3,11.8,14,9.7,5.7,10.9,12.6
"17","RB","Nick Chubb",0.34,0.09,0.32,0.14,0.07,0.05,11.5,3.9,11.7,14.7,10.9,3.1,10.9,13.5,10.3,2.6,9.6,12.6
"18","RB","Najee Harris",0.06,0.43,0.27,0.2,0.04,0,11.3,7.9,10.2,14.8,10.2,6.9,8.8,13.8,9.2,5.7,7.9,12.4
"19","RB","Melvin Gordon",0.23,0.3,0.23,0.16,0.05,0.05,10.6,5.1,8.9,14.2,9.5,4.3,7.7,13.4,8.4,3.6,6.6,12.6
"20","RB","Tony Pollard",0.29,0.27,0.16,0.22,0.02,0.04,10.5,4.7,9.3,15.2,9.4,3.9,8.3,13.9,8.4,2.9,6.5,12.1
"21","RB","Joe Mixon",0.27,0.29,0.24,0.14,0,0.06,10.3,4.9,9.2,13.8,9.1,3.9,8.2,11.8,7.8,3.7,6.7,10.4
"22","RB","Michael Carter",0.28,0.28,0.23,0.16,0.02,0.02,10,4.8,9.3,13,8.9,3.9,8.3,12.2,7.8,3.2,6.5,11.3
"23","RB","Sony Michel",0.34,0.19,0.21,0.19,0.04,0.02,9.8,4.5,7.7,15,9,3.8,6.7,13.3,8.3,2.9,6.5,11.9
"24","RB","James Conner",0.13,0.4,0.32,0.11,0.02,0.02,9.8,5.4,8.7,11.8,8.5,4.8,7.8,10.5,7.2,4.2,5.5,8.8
"25","RB","Miles Sanders",0.31,0.29,0.24,0.12,0.02,0.02,9.7,4,8.7,13,9,3.4,8.2,12,8.3,3,7.6,10.8
"26","RB","Antonio Gibson",0.22,0.39,0.22,0.15,0.02,0,9.7,5.7,8.7,12.9,8.7,5,7.2,12.4,7.7,4,6.2,11.9
"27","RB","Darrell Henderson Jr",0.3,0.33,0.18,0.13,0,0.08,9.6,3.9,6.7,12.3,8.6,3.3,6.2,11.8,7.7,2.6,5.5,11.3
"28","RB","Darrel Williams",0.31,0.29,0.23,0.1,0.04,0.02,9.6,4.5,9.1,13.3,8.9,3.9,7.8,12.3,8.2,3.8,7.5,11.4
"29","RB","JD McKissic",0.25,0.36,0.14,0.2,0.05,0,9.5,5,8.1,14.7,7.8,3.9,6.1,11.2,6.1,2.8,4.4,8.3
"30","RB","Khalil Herbert",0.33,0.31,0.17,0.13,0.02,0.04,9.4,4,7.8,13.5,9,3.5,7.3,12.7,8.7,3,7,12.2
"31","RB","Tevin Coleman",0.33,0.31,0.2,0,0.1,0.06,9.3,3.4,7.7,12.6,8.4,2.9,6.6,10.8,7.5,2.7,6.3,9
"32","RB","Alvin Kamara",0.15,0.43,0.33,0.1,0,0,9.3,6,8.5,12.3,7.6,5,7.1,9.8,5.8,3.7,5.4,7.1
"33","RB","Chase Edmonds",0.36,0.3,0.19,0.04,0.06,0.04,9,4,7.1,11.7,7.8,3.4,5.8,10.1,6.7,2.6,4.3,8.6
"34","RB","Raheem Mostert",0.35,0.26,0.2,0.15,0.02,0.02,8.8,3.9,6.4,13.4,8.2,3.6,6.3,12.4,7.6,3.6,6.1,11.7
"35","RB","Kareem Hunt",0.29,0.4,0.16,0.11,0.04,0,8.4,3.9,7.1,11,7.3,3.6,5.9,9.7,6.2,2.8,5.6,8.2
"36","RB","Myles Gaskin",0.37,0.33,0.14,0.12,0.02,0.02,8.2,4,5.8,11.3,7.6,3.6,5.2,11.3,7,3.3,4.7,11.1
"37","RB","Ezekiel Elliott",0.37,0.3,0.22,0.09,0.02,0,7.7,3.8,5.9,11.5,7.2,3.6,5.2,10.9,6.7,3.5,4.7,10.9
"38","RB","Eno Benjamin",0.38,0.26,0.24,0.06,0.06,0,7.7,3,5.7,11.8,6.6,2.5,4.6,10,5.6,1.9,4,8.7
"39","RB","Demetric Felton",0.29,0.43,0.29,0,0,0,7.6,4.4,7.4,10.6,6.9,3.8,6.6,9.8,6.1,3.2,5.8,9.4
"40","RB","Alexander Mattison",0.5,0.26,0.09,0.07,0.02,0.07,7.5,2,4.6,9.7,6.5,1.6,3.5,8.3,5.5,1.1,3.1,7.4
"41","RB","Travis Etienne",0.35,0.4,0.23,0.02,0,0,7,3.9,7.1,9.6,5.8,3.2,5.6,7.7,4.7,2.6,4.3,6.4
"42","RB","Cam Akers",0.54,0.28,0.08,0.08,0,0.03,6.6,2.9,4.4,7.7,6.1,2.5,4.1,7,5.7,2.1,3.9,6.3
"43","RB","Boston Scott",0.51,0.3,0.11,0.06,0.02,0,6.5,3.1,4.6,9.4,5.9,2.5,4,9.2,5.3,1.8,3.7,8.5
"44","RB","Kenneth Gainwell",0.59,0.24,0.09,0.04,0.04,0,6.1,2.6,4,6.5,5.2,2,3.4,5.5,4.3,1.4,2.6,4.7
"45","RB","Kenneth Walker III",0.55,0.27,0.11,0.02,0.05,0,6,1.9,3.8,8.7,5.5,1.7,3.4,7.4,4.9,1.4,3,6.7
"46","RB","Joshua Kelley",0.55,0.26,0.15,0.02,0.02,0,5.8,2.2,4.4,8.7,5.3,2.1,4,8,4.8,2.1,3.6,7.3
"47","RB","Rachaad White",0.49,0.38,0.11,0.02,0,0,5.8,3.2,5.2,8.3,4.6,2.3,3.8,6.9,3.4,1.2,2.8,5.1
"48","RB","Latavius Murray",0.6,0.29,0.02,0.07,0.02,0,5.6,2.2,4.5,7.7,5.1,2.1,3.5,6.9,4.6,1.7,3,5.5
"49","RB","Deon Jackson",0.65,0.22,0.07,0,0.04,0.02,5.6,1.9,3.9,5.8,5.1,1.9,3.4,5.1,4.7,1.8,2.9,4.6
"50","RB","D'Onta Foreman",0.64,0.2,0.07,0.09,0,0,5.5,1.6,3.8,8.3,5.3,1.6,3.6,7.9,5.1,1.4,3.5,7.5
"51","RB","Ty Johnson",0.55,0.29,0.16,0,0,0,5.5,2.3,4.4,7.9,4.5,1.9,3.4,6.4,3.4,1.3,2.8,4.8
"52","RB","Samaje Perine",0.52,0.36,0.1,0.02,0,0,5.2,2.4,4.7,7.2,4.2,1.8,3.4,5.8,3.2,1,2.4,4.8
"53","RB","Chuba Hubbard",0.61,0.24,0.12,0.02,0,0,5.1,1.9,3.9,6.8,4.8,1.9,3.4,6,4.4,1.4,2.9,5.7
"54","RB","Mike Davis",0.63,0.26,0.08,0,0,0.03,5,2,3.9,5.8,4.4,1.6,3.2,5,3.8,1.4,2.3,4.4
"55","RB","Mark Ingram",0.7,0.13,0.13,0.05,0,0,4.9,1.5,3,7.2,4.5,1.3,2.8,6.5,4.1,1,2.2,5.9
"56","RB","Jerick McKinnon",0.65,0.24,0.07,0.02,0.02,0,4.5,1.8,3.4,6.2,3.6,1.3,2.4,4.8,2.7,0.8,1.7,3.5
"57","RB","Trey Sermon",0.69,0.2,0.08,0,0.02,0,4.4,0.7,2.9,8.5,4.1,0.7,2.3,7.5,3.8,0.7,1.9,6.5
"58","RB","Damien Williams",0.7,0.23,0.05,0,0.03,0,4.4,1.5,3.3,7,4,1.3,3,5.8,3.6,0.8,2.5,4.7
"59","RB","Ty Montgomery",0.62,0.31,0.04,0.02,0,0,4.3,1.4,3.5,6.6,3.4,1.1,2.5,5,2.5,0.6,1.7,3.6
"60","RB","Nyheim Hines",0.66,0.34,0,0,0,0,4.2,1.7,4.4,5.9,3.2,1.3,3.1,4.4,2.2,0.7,2.1,3.4
"61","RB","DeeJay Dallas",0.67,0.24,0.07,0.02,0,0,4.1,1.3,2.8,5.2,3.4,1.1,2.5,4.5,2.7,0.6,1.8,3.8
"62","RB","Jonathan Williams",0.73,0.11,0.16,0,0,0,3.9,0.8,2.4,5,3.7,0.8,2.3,4.9,3.5,0.8,2.1,4.9
"63","RB","Jaylen Warren",0.69,0.22,0.09,0,0,0,3.9,2,3.1,5.5,3.2,1.5,2.4,4.5,2.5,1.2,2,3.1
"64","RB","Kenyan Drake",0.76,0.22,0.02,0,0,0,3.9,2.2,3.5,4.7,3.4,2.2,2.8,4.2,2.9,1.7,2.3,3.5
"65","RB","Travis Homer",0.71,0.22,0.07,0,0,0,3.8,1.4,2.7,5,3.3,1.3,1.9,4.1,2.7,0.7,1.6,3.4
"66","RB","Mike Boone",0.67,0.29,0.04,0,0,0,3.8,1.3,3.1,5.7,3.1,1.1,2.5,5,2.3,0.8,1.7,3.7
"67","RB","James Cook",0.73,0.2,0.04,0.02,0,0,3.8,1.3,2.6,5.3,3.3,1.2,1.9,4.5,2.7,0.7,1.4,3.9
"68","RB","Zack Moss",0.76,0.2,0.04,0,0,0,3.6,1.8,3.3,4.8,3,1.3,2.5,3.9,2.4,1,2,3.4
"69","RB","Trestan Ebner",0.68,0.28,0.04,0,0,0,3.6,1.4,2.9,5.5,3.2,0.9,2.4,4.6,2.7,0.8,2.2,3.7
"70","RB","Kyle Juszczyk",0.81,0.16,0.03,0,0,0,3.3,1.4,2,3.8,2.6,0.9,1.5,3,1.9,0.4,1,2.1
"71","RB","Justice Hill",0.77,0.21,0.02,0,0,0,3.2,0.8,2.2,4.6,2.9,0.7,2.2,4,2.6,0.7,1.8,3.6
"72","RB","Phillip Lindsay",0.71,0.27,0.02,0,0,0,3.1,1.1,2.2,5.1,2.7,1,1.9,4.7,2.4,0.8,1.6,4.2
"73","RB","Avery Williams",0.78,0.15,0.07,0,0,0,3,0.6,1.6,3.8,2.5,0.4,1.1,3.1,1.9,0.4,0.8,2.6
"74","RB","Tyler Allgeier",0.74,0.26,0,0,0,0,2.9,1.4,2.2,5,2.6,1.3,2.2,4.3,2.3,1,1.9,3.5
"75","RB","Caleb Huntley",0.88,0.06,0.06,0,0,0,2.5,0.9,1.2,2.8,2.5,0.9,1.2,2.8,2.5,0.9,1.2,2.8
"76","RB","Matt Breida",0.91,0.09,0,0,0,0,2.3,1.1,2.3,3.1,2,0.9,1.9,2.7,1.8,0.7,1.6,2.6
"77","RB","Devine Ozigbo",0.87,0.09,0.04,0,0,0,2.3,0,1.4,3,1.8,0,0.9,2.5,1.3,0,0.5,1.8
"78","RB","Tony Jones Jr",0.85,0.15,0,0,0,0,2.3,0.7,1.7,3.6,2.1,0.6,1.5,3,1.8,0.6,1.4,2.6
"79","RB","Tyrion Davis-Price",0.93,0,0.07,0,0,0,2.3,1.1,1.2,2.4,2.3,1.1,1.2,2.4,2.3,1.1,1.2,2.4
"80","RB","JaMycal Hasty",0.88,0.13,0,0,0,0,2.2,0.4,1.5,2.8,1.7,0.4,1.1,1.9,1.1,0.2,0.6,1.1
"81","RB","Isiah Pacheco",0.91,0.03,0.06,0,0,0,2.1,0.8,1.1,1.8,2.1,0.8,1.1,1.8,2.1,0.8,1.1,1.8
"82","RB","Brian Robinson Jr",0.95,0,0.05,0,0,0,1.9,0.9,1.1,1.9,1.9,0.9,1.1,1.9,1.9,0.9,1.1,1.9
"83","RB","Chris Evans",0.88,0.12,0,0,0,0,1.7,0.2,1.3,2,1.3,0.2,0.9,1.5,0.9,0.2,0.6,1.1
"84","RB","Dwayne Washington",0.97,0.03,0,0,0,0,1.5,0.3,1.1,2,1.3,0.3,1.1,2,1.2,0.2,0.8,1.7
"85","RB","Gary Brightwell",1,0,0,0,0,0,1.2,0.2,1.1,1.8,1.1,0.2,0.9,1.6,1,0.2,0.6,1.4
"86","RB","Jordan Mason",1,0,0,0,0,0,0.6,0.3,0.6,1.1,0.6,0.3,0.6,1.1,0.6,0.3,0.6,1.1
"87","WR","Cooper Kupp",0.02,0.04,0.15,0.23,0.17,0.4,22.7,15.9,20.8,29.6,18.7,12.5,17.6,24.3,14.7,8.7,14.3,19.1
"88","WR","Stefon Diggs",0,0.02,0.18,0.28,0.22,0.3,22.3,15.8,20.6,26.4,18.4,12.6,16.8,22.3,14.5,9.2,13,17.9
"89","WR","Mike Evans",0.07,0.15,0.13,0.17,0.17,0.3,19.3,10.9,19.3,26.4,16.5,8.9,16.6,23.3,13.7,6.3,13.9,19.9
"90","WR","Tyreek Hill",0,0.08,0.32,0.24,0.1,0.26,18.8,12.8,17.4,24.9,15.2,10.1,14.3,20.2,11.7,6.6,10.6,15.3
"91","WR","Tyler Lockett",0.04,0.12,0.18,0.24,0.16,0.24,18.8,13.8,17.9,24.5,15.6,11,14.4,21,12.4,7.3,11.6,17.5
"92","WR","Ja'Marr Chase",0.06,0.16,0.16,0.16,0.2,0.24,18.4,10.3,17.2,23.8,15,8.3,14.7,20.2,11.7,6.3,11.4,16.6
