"Player","Team","Pos","GMs","Yards","Att","Comp","Comp%","TD","Int","Yd/Att","Rating","Total","Completed","Conv%","AirYds/Att"
"Aaron Rodgers","GB","QB",5,1157,167,114,"68%",8,3,6.9,96.3,1149,437,"38%",6.9
"Andy Dalton","NO","QB",2,423,51,36,"71%",2,1,8.3,100.4,490,256,"52%",9.6
"Bailey Zappe","NE","QB",2,287,36,27,"75%",2,1,8,104.7,270,136,"50%",7.5
"Baker Mayfield","CAR","QB",5,962,152,84,"55%",4,4,6.3,72.3,1031,391,"38%",6.8
"Brian Hoyer","NE","QB",1,37,6,5,"83%",0,0,6.2,92.4,28,15,"54%",4.7
"Brock Purdy","SF","QB",1,0,0,0,NA,0,0,NA,NA,0,0,NA,NA
"CJ Beathard","JAC","QB",1,0,0,0,NA,0,0,NA,NA,0,0,NA,NA
"Carson Wentz","WAS","QB",5,1390,207,132,"64%",10,6,6.7,87.2,1692,752,"44%",8.2
"Case Keenum","BUF","QB",2,8,7,2,"29%",0,0,1.1,39.6,57,3,"5%",8.1
"Chad Henne","KC","QB",1,0,0,0,NA,0,0,NA,NA,0,0,NA,NA
"Chase Daniel","LAC","QB",1,0,0,0,NA,0,0,NA,NA,0,0,NA,NA
"Cooper Rush","DAL","QB",5,839,116,72,"62%",4,0,7.2,95.4,916,492,"54%",7.9
"Dak Prescott","DAL","QB",1,134,28,14,"50%",0,1,4.8,48.8,202,78,"39%",7.2
"Daniel Jones","NYG","QB",5,848,131,88,"67%",3,2,6.5,86.3,809,404,"50%",6.2
"Davis Mills","HOU","QB",5,1048,166,104,"63%",5,4,6.3,80.6,1201,567,"47%",7.2
"Derek Carr","LV","QB",5,1279,182,113,"62%",8,4,7,88.6,1561,735,"47%",8.6
"Geno Smith","SEA","QB",5,1305,154,118,"77%",9,2,8.5,115.3,1332,840,"63%",8.6
"Jacoby Brissett","CLE","QB",5,1060,160,103,"64%",5,3,6.6,85.9,1164,609,"52%",7.3
"Jalen Hurts","PHI","QB",5,1359,158,108,"68%",4,2,8.6,98,1106,631,"57%",7
"Jameis Winston","NO","QB",3,858,113,73,"65%",4,5,7.6,80.9,1320,656,"50%",11.7
"Jared Goff","DET","QB",5,1355,180,111,"62%",11,4,7.5,95.9,1625,687,"42%",9
"Jeff Driskel","HOU","QB",2,0,0,0,NA,0,0,NA,NA,0,0,NA,NA
"Jimmy Garoppolo","SF","QB",4,857,106,65,"61%",5,1,8.1,98.7,802,350,"44%",7.6
"Joe Burrow","CIN","QB",5,1316,189,124,"66%",9,4,7,92.8,1261,579,"46%",6.7
"Joe Flacco","NYJ","QB",3,899,154,91,"59%",5,3,5.8,78.4,1208,506,"42%",7.8
"Jordan Love","GB","QB",1,65,5,4,"80%",0,0,13,118.8,29,29,"100%",5.8
"Josh Allen","BUF","QB",5,1651,193,133,"69%",14,4,8.6,110.7,1572,935,"59%",8.1
"Justin Fields","CHI","QB",5,676,87,49,"56%",3,4,7.8,73.7,827,339,"41%",9.5
"Justin Herbert","LAC","QB",5,1478,197,133,"68%",10,2,7.5,102.3,1309,701,"54%",6.6
"Kenny Pickett","PIT","QB",2,447,64,44,"69%",0,4,7,62.4,530,270,"51%",8.3
"Kirk Cousins","MIN","QB",5,1327,196,131,"67%",7,5,6.8,87.3,1208,693,"57%",6.2
"Kyler Murray","ARI","QB",5,1241,214,141,"66%",6,3,5.8,84.7,1322,571,"43%",6.2
"Lamar Jackson","BAL","QB",5,1067,148,95,"64%",12,5,7.2,98.6,1378,595,"43%",9.3
"Mac Jones","NE","QB",3,786,95,64,"67%",2,5,8.3,77.8,992,502,"51%",10.4
"Malik Willis","TEN","QB",1,6,4,1,"25%",0,0,1.5,39.6,29,6,"21%",7.2
"Marcus Mariota","ATL","QB",5,926,121,71,"59%",4,4,7.7,80.1,1289,558,"43%",10.7
"Matt Ryan","IND","QB",5,1376,193,128,"66%",5,7,7.1,80.6,1234,760,"62%",6.4
"Matthew Stafford","LAR","QB",5,1323,190,134,"71%",5,7,7,83.3,1274,586,"46%",6.7
"Mitchell Trubisky","PIT","QB",4,653,115,69,"60%",2,2,5.7,74.3,1160,453,"39%",10.1
"Nick Foles","IND","QB",1,0,0,0,NA,0,0,NA,NA,0,0,NA,NA
"Patrick Mahomes","KC","QB",5,1398,186,126,"68%",15,2,7.5,112.3,1381,668,"48%",7.4
"Phillip Walker","CAR","QB",1,60,6,5,"83%",0,0,10,108.3,76,46,"61%",12.7
"Russell Wilson","DEN","QB",5,1254,167,101,"60%",4,3,7.5,84.3,1447,620,"43%",8.7
"Ryan Tannehill","TEN","QB",5,965,125,82,"66%",6,3,7.7,94.9,986,530,"54%",7.9
"Skylar Thompson","MIA","QB",1,166,33,19,"58%",0,1,5,58.4,227,94,"41%",6.9
"Teddy Bridgewater","MIA","QB",3,193,25,14,"56%",1,1,7.7,77.6,219,123,"56%",8.8
"Tom Brady","TB","QB",5,1409,205,141,"69%",7,1,6.9,97.4,1541,734,"48%",7.5
"Trace McSorley","ARI","QB",1,12,4,2,"50%",0,0,3,56.2,17,8,"47%",4.2
"Trevor Lawrence","JAC","QB",5,1232,177,113,"64%",8,4,7,89.9,1398,622,"44%",7.9
"Trey Lance","SF","QB",2,194,31,15,"48%",0,1,6.3,55,207,114,"55%",6.7
"Tua Tagovailoa","MIA","QB",4,1035,113,80,"71%",8,3,9.2,111.8,973,609,"63%",8.6
"Tyrod Taylor","NYG","QB",1,11,3,1,"33%",0,1,3.7,5.6,72,5,"7%",24
"Zach Wilson","NYJ","QB",2,462,57,32,"56%",1,2,8.1,73.9,528,231,"44%",9.3
