"name","team","appFullProjectedPoints"
"Josh Allen","BUF",20.2
"Jalen Hurts","PHI",19.4
"Anthony Richardson","IND",18.7
"Joe Burrow","CIN",17.6
"Lamar Jackson","BAL",16.5
"Jordan Love","GB",16.3
"Trevor Lawrence","JAC",16.2
"Patrick Mahomes","KC",16.1
"Kyler Murray","ARI",16.1
"Deshaun Watson","CLE",15.9
"Jared Goff","DET",15.7
"Tua Tagovailoa","MIA",15.6
"Dak Prescott","DAL",15.3
"Geno Smith","SEA",15.2
"Justin Herbert","LAC",15.1
"Russell Wilson","PIT",14.9
"Matthew Stafford","LAR",14.8
"Daniel Jones","NYG",14.1
"Kirk Cousins","ATL",13.3
"Derek Carr","NO",12.9
"Will Levis","TEN",12
"Bryce Young","CAR",11.1
"Caleb Williams","CHI",NaN
"C.J. Stroud","HOU",NaN
"Gardner Minshew","LV",12.3
"Sam Darnold","MIN",8.6
"Drake Maye","NE",NaN
"Jayden Daniels","WAS",NaN
"Baker Mayfield","TB",14
"Bo Nix","DEN",NaN
"Brock Purdy","SF",14.9
"Aaron Rodgers","NYJ",11.7
