"name","team","appFullProjectedPoints","appProjPassAttempts","appProjCompletions","appProjPassingYards","appProjPassTDs","appProjINTs","appProjQBRushAttempts","appProjQBRushYards","appProjQBRushTDs","astroQBProjection","astroSixPtTDQBProjection","recProps"
"Jalen Hurts","PHI",20.4,31.8,20.1,227.6,1.2,0.9,8.3,32.2,0.8,20.1,22.5," - Over UD Pass Attempts: 26.5 - Over PP Pass Attempts: 26.5 - Over UD Completions: 18.5 - Over PP Completions: 18.5"
"Kyler Murray","ARI",19.2,32.8,20.8,226.5,1.4,0.9,5.9,38.1,0.4,19.1,21.9," - Over UD Rush Yards: 29.5 - Over PP Rush Yards: 27.5 - Over UD Pass Plus Rush Yards: 248.5"
"Lamar Jackson","BAL",19.1,32.4,20.1,226.7,1.5,0.7,7.1,36.8,0.1,17.9,20.9," - Under UD Fantasy Score: 21.95"
"Patrick Mahomes","KC",19,36,23.8,242.7,1.7,0.7,3.7,20.8,0.3,19,22.4," - Over UD Pass Plus Rush Yards: 250.5 - Over PP Pass Plus Rush Yards: 251.5"
"Bo Nix","DEN",18.9,32.9,20.3,212.8,1.2,0.8,5.8,30.8,0.6,18.4,20.8," - Over UD Rush Yards: 22.5 - Over PP Rush Yards: 22.5"
"Jayden Daniels","WAS",18.8,30.8,19.6,209.7,1.4,0.7,8.1,40,0.2,17.8,20.6," - Over PP Pass Attempts: 28.5"
"Geno Smith","SEA",18,40,26.2,267.1,1.5,0.8,3.2,16.4,0.2,17.9,20.9,""
"Jared Goff","DET",17.9,34.6,22.8,258.7,1.8,0.6,1.4,4.7,0.1,17.4,21," - Over PP Pass Attempts: 31.5 - Over UD Pass Plus Rush Yards: 252.5"
"Baker Mayfield","TB",17.9,34,21.2,216.4,1.8,0.8,5,21.1,0.3,18.2,21.8," - Over UD Pass TDs: 1.5 - Over PP Pass TDs: 1.5 - Over UD Rush Yards: 10.5 - Over PP Rush Yards: 11.5"
"Justin Herbert","LAC",17.8,32.1,20.3,225.2,1.7,0.3,4.3,18.3,0.1,17.6,21,""
"Sam Darnold","MIN",17.4,35.7,22.7,267.8,1.4,1.1,6.1,19.6,0.2,17.3,20.1,""
"Jordan Love","GB",17.3,32.7,20.7,233.2,1.9,0.6,1.2,6.2,0.1,16.9,20.7," - Under UD Pass Plus Rush Yards: 254.5"
"Anthony Richardson","IND",17,32.8,17.2,212.3,1,1.2,7.7,36.9,0.5,16.8,18.8,""
"Tua Tagovailoa","MIA",16.6,33.2,22.1,242,1.6,0.8,3.8,9.3,0.1,16,19.2,""
"Matthew Stafford","LAR",16.2,38.8,25.4,266.4,1.6,0.8,1.2,4.1,0.1,16.5,19.7,""
"C.J. Stroud","HOU",15.8,32,20.8,222.7,1.4,0.7,2.3,8.9,0.1,14.6,17.4,""
"Caleb Williams","CHI",14.8,32.8,20.4,204.7,1,0.9,7.7,36.5,0.1,14.6,16.6," - Over UD Rush Yards: 21.5"
"Drake Maye","NE",14.8,32,19.3,198.1,0.9,0.8,7.9,35.8,0.1,14.1,15.9," - Under UD Completions: 22.5 - Under PP Completions: 22.5 - Under UD Pass Yards: 219.5 - Under PP Pass Yards: 221.5 - Over UD Rush Yards: 26.5 - Over PP Rush Yards: 26.5 - Under UD Pass Plus Rush Yards: 251.5 - Under PP Pass Plus Rush Yards: 250.5"
"Russell Wilson","PIT",14.7,29.2,17.3,213.8,1,0.5,4.1,16.6,0.2,14.4,16.4,""
"Tommy DeVito","NYG",14.5,32.2,20.6,198.6,0.9,0.5,4.1,24.5,0.2,14.2,16," - Over UD Pass Attempts: 27.5 - Over PP Pass Attempts: 27.5 - Over PP Completions: 17.5 - Over UD Pass Yards: 173.5 - Over PP Pass Yards: 174.5 - Over UD Pass Plus Rush Yards: 198.5 - Over PP Pass Plus Rush Yards: 202.5"
"Jameis Winston","CLE",13.5,33.2,20.4,230.4,0.9,0.9,5.8,18,0.2,14,15.8,""
"Will Levis","TEN",13,29.5,18.6,187.4,1,0.9,5.1,19.1,0.3,13.4,15.4,""
"Cooper Rush","DAL",12.6,38.3,24.8,226,1.2,0.9,0.5,2.4,0.1,12.9,15.3," - Over PP Completions: 19"
"Gardner Minshew","LV",12.4,33.8,21.6,209.8,1,0.8,2.5,6.8,0.1,12.1,14.1,""
"Brandon Allen","SF",11.7,29.9,19,204.2,1,0.6,2.4,6,0.1,12.2,14.2,""
"Bryce Young","CAR",10.6,31.8,19.3,187.7,0.9,0.8,1.9,8.9,0.1,11,12.8,""
"","NO",0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,""
