"name","pos","team","PassAttempts","Completions","PassingYards","PassTDs","INTs","carries","rushYards","rushTDs","receptions","receivingYards","receivingTDs","halfFantasyPoints","fullFantasyPoints","recProps"
"Bryce Young","QB","CAR",31.5,19.6,203.3,1,0.8,2.1,9.7,0.2,0,0,0,12.7,12.7,""
"Baker Mayfield","QB","TB",33.9,21.4,223.6,1.9,0.7,4.4,19.8,0.2,0,0,0,18.3,18.3,""
"Derek Carr","QB","NO",31.3,19.9,212.3,1.2,0.8,1.8,4.4,0.1,0,0,0,12.7,12.7,""
"Matthew Stafford","QB","LAR",35.6,23.3,248.6,1.6,0.8,1.2,2.5,0.1,0,0,0,15.6,15.6,""
"Jared Goff","QB","DET",35.2,23.2,264.4,1.6,0.6,1.4,5,0.1,0,0,0,16.9,16.9," -- Over UD Pass Attempts of 29.5 -- Over PP Pass Attempts of 29.5 -- Over UD Pass Yards of 248.5 -- Over PP Pass Yards of 248.5 -- Over UD Pass Plus Rush Yards of 253.5"
"Caleb Williams","QB","CHI",36.3,22.9,232.9,1.1,1,8,36.1,0.1,0,0,0,15.9,15.9,""
"C.J. Stroud","QB","HOU",32.9,21.6,243.7,1.6,0.5,2.3,9.5,0.1,0,0,0,16.7,16.7,""
"Drake Maye","QB","NE",33,19.7,203.9,1,0.9,8.4,43.2,0.2,0,0,0,15.9,15.9," -- Under UD Pass Yards of 226.5 -- Under PP Pass Yards of 225.5 -- Over UD Rush Yards of 26.5 -- Over PP Rush Yards of: 26.5"
"Anthony Richardson","QB","IND",27.4,16.9,167,0.9,0.8,7.5,39.3,0.4,0,0,0,15,15,""
"Patrick Mahomes","QB","KC",35,23.2,233.3,1.7,0.5,4.1,22.5,0.2,0,0,0,18.6,18.6,""
"Aidan O'Connell","QB","LV",42.3,26.7,249.8,1.1,0.9,0.5,2.1,0.1,0,0,0,13.4,13.4,""
"Jordan Love","QB","GB",31.2,19.7,218.7,1.7,0.7,1.2,4.6,0.1,0,0,0,15.2,15.2," -- Under UD Pass Plus Rush Yards of 255.5 -- Under PP Pass Plus Rush Yards of 252.5"
"Tua Tagovailoa","QB","MIA",37,24.5,255.5,1.5,0.9,3.8,11.2,0.1,0,0,0,16.1,16.1,""
"Josh Allen","QB","BUF",32.2,20.8,228.5,1.6,0.7,6.8,33,0.2,0,0,0,18.6,18.6,""
"Brandon Allen","QB","SF",35.3,22.6,232.3,1.2,0.9,2.6,7.1,0.1,0,0,0,13.6,13.6,""
"Sam Darnold","QB","MIN",35,22.6,243.6,1.6,0.8,4.5,14.6,0.2,0,0,0,17.2,17.2,""
"Kyler Murray","QB","ARI",34,21.4,224.6,1.2,0.9,6,37.9,0.3,0,0,0,17.6,17.6," -- Over PP Rush Yards of: 26.5"
"Lamar Jackson","QB","BAL",32,19.8,221.9,1.5,0.7,7.4,37.2,0.1,0,0,0,17.8,17.8,""
"Jalen Hurts","QB","PHI",31.8,19.9,233.1,1,0.7,8.2,31.2,0.7,0,0,0,19.2,19.2," -- Under PP Rush Yards of 40.5"
"Cooper Rush","QB","DAL",34.2,22.3,220,1.3,0.7,0.5,0.6,0.1,0,0,0,13.3,13.3," -- Over PP Pass Yards of 203.5 -- Over UD Pass Plus Rush Yards of 211.5 -- Over PP Pass Plus Rush Yards of 210.5"
"Tommy DeVito","QB","NYG",31.9,19.8,191.6,0.9,0.7,5.9,35.2,0.1,0,0,0,14,14," -- Over UD Rush Yards of 22.5 -- Over PP Rush Yards of: 23.5 -- Over PP Pass Plus Rush Yards of 203.5"
"Joe Burrow","QB","CIN",38.7,25.6,273.1,2,0.8,4.5,17.3,0.1,0,0,0,19.7,19.7,""
"Russell Wilson","QB","PIT",33.1,20.2,233.6,1.1,0.5,4,16.3,0.2,0,0,0,15.6,15.6,""
"Jayden Daniels","QB","WAS",31.1,19.6,212.4,1.3,0.9,10.4,44,0.5,0,0,0,19.3,19.3,""
"Will Levis","QB","TEN",32.8,20.9,217,1.2,0.9,5.9,24,0.2,0,0,0,15.3,15.3,""
"Kirk Cousins","QB","ATL",44.1,28.3,309.9,2,0.8,0.5,2.4,0.1,0,0,0,19.6,19.6,""
"Justin Herbert","QB","LAC",29.4,18.6,206.2,1.7,0.3,4.3,21.1,0.1,0,0,0,17.2,17.2,""
"Trevor Lawrence","QB","JAC",31.3,20.1,213.9,1.2,0.9,3.2,18.3,0.2,0,0,0,14.6,14.6,""
"Aaron Rodgers","QB","NYJ",36.1,23.3,237.1,1.4,0.7,1.5,6.5,0.1,0,0,0,14.9,14.9,""
"Geno Smith","QB","SEA",39.9,26.1,260.8,1.5,0.7,3.3,16.9,0.1,0,0,0,17.3,17.3,""
"Bo Nix","QB","DEN",31.7,19.6,207.1,1.2,0.7,5.3,27,0.5,0,0,0,17.4,17.4,""
"Jameis Winston","QB","CLE",39.1,24.4,237.4,1.1,1,4.5,14.8,0.1,0,0,0,14,14,""
"Chuba Hubbard","RB","CAR",0,0,0,0,0,19.1,73.1,0.7,2.6,14.7,0.2,15.5,16.8,""
"Bucky Irving","RB","TB",0,0,0,0,0,14.8,70.9,0.5,3.2,27.9,0.2,15.7,17.3," -- Over UD Rush Yards of 59.5 -- Over PP Rush Yards of: 60.5"
"Alvin Kamara","RB","NO",0,0,0,0,0,14.5,61.1,0.4,5.3,40.7,0.2,16.4,19.1," -- Under UD Rush Yards of 69.5"
"Kyren Williams","RB","LAR",0,0,0,0,0,18.4,90.1,0.9,1.3,9.7,0.2,17.2,17.9,""
