"name","pos","team","PassAttempts","Completions","PassingYards","PassTDs","INTs","carries","rushYards","rushTDs","receptions","receivingYards","receivingTDs","halfFantasyPoints","fullFantasyPoints","recProps"
"Bryce Young","QB","CAR",32.1,20,191.5,1.1,0.7,2.7,17.3,0.3,0,0,0,14.2,14.2,""
"Cooper Rush","QB","DAL",35.4,22.9,230.1,1.3,0.8,0.6,2.6,0.1,0,0,0,13.7,13.7," -- Over UD Completions of 20.5 -- Over PP Completions of 20.5 -- Over UD Pass Yards of 209.5 -- Over PP Pass Yards of 209.5 -- Over UD Pass Plus Rush Yards of 214.5 -- Over PP Pass Plus Rush Yards of 213.5"
"Jake Haener","QB","a",30.1,18.5,165.9,0.9,0.8,1.7,4.1,0.1,0,0,0,9.6,9.6,""
"Jayden Daniels","QB","WAS",30.8,19.3,208,1.3,0.7,9.8,53.4,0.2,0,0,0,18.7,18.7," -- Over UD Rush Yards of 40.5 -- Over PP Rush Yards of: 40.5"
"Sam Darnold","QB","MIN",32.2,20.9,246.1,1.7,0.7,4.8,13.6,0.1,0,0,0,17.2,17.2,""
"Caleb Williams","QB","CHI",40.8,25.7,244.2,1.4,1.4,6.4,29.9,0.1,0,0,0,16.2,16.2," -- Over UD Pass Attempts of 32.5 -- Over UD Pass Plus Rush Yards of 247.5"
"C.J. Stroud","QB","HOU",33,21.8,221.4,1.2,0.6,3.3,13.9,0.1,0,0,0,14.4,14.4," -- Under UD Pass Yards of 259.5 -- Under UD Pass Plus Rush Yards of 273.5 -- Under UD Fantasy Score of 17.95"
"Tua Tagovailoa","QB","MIA",37.6,25.1,269.6,1.9,0.7,2,6.2,0.1,0,0,0,18.2,18.2,""
"Bo Nix","QB","DEN",33.5,20.8,220.5,1.3,0.8,5.5,27,0.4,0,0,0,17.5,17.5," -- Over UD Rush Yards of 16.5 -- Over PP Rush Yards of: 15.5"
"Anthony Richardson","QB","IND",25.7,15.8,169.7,1,1,7.8,35.6,0.5,0,0,0,15.3,15.3," -- Under UD Rush Yards of 46.5 -- Under PP Rush Yards of 46.5 -- Under UD Pass Plus Rush Yards of 239.5 -- Under PP Pass Plus Rush Yards of 238.5"
