"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfRBProjection","astroFullRBProjection"
"Joe Mixon","HOU",19.8,21.4,95.8,0.9,2.5,21,0.3,4.8,1,5.8,20.1,21.4
"Christian McCaffrey","SF",19.2,16.8,84,0.7,4.2,29.3,0.4,4.2,1.4,5.6,20,22.1
"Kyren Williams","LAR",19,19.3,87.1,1,2.4,14.5,0.4,4.4,0.7,5.1,19.8,21
"Bijan Robinson","ATL",18.1,16.1,71.1,0.7,4.6,39.4,0.2,3.5,1.8,5.3,18.8,21
"Saquon Barkley","PHI",17.2,18,102.8,0.8,2.4,17.2,0.2,5.2,0.8,6,19.2,20.4
"Jahmyr Gibbs","DET",16.8,14.9,82.7,0.7,2.7,22.4,0.2,4.1,1,5.1,17.3,18.6
"De'Von Achane","MIA",16.7,8.6,53.7,0.6,4.8,41,0.4,2.7,1.8,4.5,17.9,20.3
"Alvin Kamara","NO",16.6,15.1,67.3,0.5,5.8,50,0.2,3.4,2.3,5.7,18.8,21.7
"Derrick Henry","BAL",16.1,20,91.9,1,0.9,7.7,0.2,4.6,0.4,5,17.6,18.1
"Kenneth Walker","SEA",15.4,15.2,61.4,0.7,3.9,25.3,0.2,3,1.2,4.2,16,18
"Jonathan Taylor","IND",15.1,16.3,79.3,0.9,1.1,11.9,0.1,4,0.6,4.6,15.7,16.2
"Kareem Hunt","KC",15.1,19,75.5,0.7,2.3,19.3,0.2,3.8,0.9,4.7,16,17.2
"Breece Hall","NYJ",15,16.6,69.2,0.6,3.6,31.3,0.2,3.5,1.5,5,16.7,18.5
"Chase Brown","CIN",14.9,14.9,63.3,0.6,4,26.5,0.2,3.1,1.2,4.3,15.8,17.8
"Josh Jacobs","GB",14.6,19.6,88.5,0.5,2.3,12,0.2,4.4,0.6,5,15.4,16.6
"D'Andre Swift","CHI",14.4,16.6,71.1,0.5,2.8,26.2,0.2,3.5,1.2,4.7,15.3,16.7
"JK Dobbins","LAC",14.4,11.8,58.5,0.9,2.8,13.5,0.2,2.9,0.6,3.5,15.2,16.6
"David Montgomery","DET",14.4,13.1,59.4,0.8,2.3,20,0.2,3,0.9,3.9,15.1,16.2
"Jerome Ford","CLE",13.7,13.8,69.3,0.4,4.4,26.6,0.1,3.6,1.1,4.7,14.8,17
"James Cook","BUF",13.4,13.6,58.7,0.6,2.1,22.6,0.2,2.9,1,3.9,14,15
"Rhamondre Stevenson","NE",13.2,14.6,62.9,0.7,2.3,12,0.1,3.1,0.6,3.7,13.4,14.6
"Aaron Jones","MIN",12.9,13.8,67.9,0.5,2.2,18.1,0.2,3.4,0.8,4.2,13.9,15
"Nick Chubb","CLE",12.7,13.9,66.2,0.9,1.3,6.6,0.1,3.3,0.3,3.6,13.9,14.6
"Tony Pollard","TEN",12.1,14.3,62.5,0.5,2.5,14.7,0.2,3.2,0.7,3.9,13.2,14.4
