"name","team","appHalfProjectedPoints"
"Jalen Hurts","PHI",21.2
"Joe Mixon","HOU",19.8
"Joe Burrow","CIN",19.4
"Christian McCaffrey","SF",19.2
"Kyren Williams","LAR",19
"Josh Allen","BUF",18.7
"Bo Nix","DEN",18.5
"Aaron Rodgers","NYJ",18.4
"Russell Wilson","PIT",18.3
"Justin Herbert","LAC",18.3
"Jayden Daniels","WAS",18.3
"Bijan Robinson","ATL",18.1
"Lamar Jackson","BAL",17.6
"Anthony Richardson","IND",17.5
"Patrick Mahomes","KC",17.5
"Saquon Barkley","PHI",17.2
"Brock Purdy","SF",17.1
"Jahmyr Gibbs","DET",16.8
"De'Von Achane","MIA",16.7
"Alvin Kamara","NO",16.6
"Tua Tagovailoa","MIA",16.4
"Sam Darnold","MIN",16.4
"Geno Smith","SEA",16.4
"Kirk Cousins","ATL",16.4
"C.J. Stroud","HOU",16.3
"Derrick Henry","BAL",16.1
"Jordan Love","GB",15.7
"Jared Goff","DET",15.4
"JaMarr Chase","CIN",15.4
"Kenneth Walker","SEA",15.3
"Jameis Winston","CLE",15.1
"Caleb Williams","CHI",15.1
"Matthew Stafford","LAR",15.1
"Jonathan Taylor","IND",15.1
"Kareem Hunt","KC",15.1
"Breece Hall","NYJ",15
"Chase Brown","CIN",14.9
"Garrett Wilson","NYJ",14.9
"Nico Collins","HOU",14.8
"Amon-Ra St Brown","DET",14.8
"Drake Maye","NE",14.7
"Josh Jacobs","GB",14.6
"Derek Carr","NO",14.4
"D'Andre Swift","CHI",14.4
"David Montgomery","DET",14.4
"George Pickens","PIT",14
"JK Dobbins","LAC",13.9
"Cooper Kupp","LAR",13.8
"AJ Brown","PHI",13.8
"Jerome Ford","CLE",13.7
"Mac Jones","JAC",13.6
"Justin Jefferson","MIN",13.6
"James Cook","BUF",13.4
"Will Levis","TEN",13.3
"Rhamondre Stevenson","NE",13.2
"CeeDee Lamb","DAL",13
"Aaron Jones","MIN",12.9
"Nick Chubb","CLE",12.7
"Gardner Minshew","LV",12.6
"Courtland Sutton","DEN",12.6
"Terry McLaurin","WAS",12.4
"Drake London","ATL",12.3
"George Kittle","SF",12.3
"Calvin Ridley","TEN",12.2
"Tony Pollard","TEN",12.1
"Travis Etienne","JAC",12.1
"DK Metcalf","SEA",12.1
"Brian Robinson","WAS",12
"Jauan Jennings","SF",11.8
"Dallas Goedert","PHI",11.7
"Davante Adams","NYJ",11.6
"Puka Nacua","LAR",11.6
"Jameson Williams","DET",11.5
"Zay Flowers","BAL",11.4
"DeVonta Smith","PHI",11.4
"Najee Harris","PIT",11.3
"Cooper Rush","DAL",11.2
"Ladd McConkey","LAC",11.2
"Alexander Mattison","LV",11.1
"Jayden Reed","GB",11.1
"DeAndre Hopkins","KC",11.1
"Jaxon Smith-Njigba","SEA",11.1
"David Njoku","CLE",11
"Darnell Mooney","ATL",10.9
"Cedric Tillman","CLE",10.8
"Tank Dell","HOU",10.8
"Deebo Samuel","SF",10.7
"Rico Dowdle","DAL",10.6
"Tee Higgins","CIN",10.6
"Audric Estime","DEN",10.5
"Tyreek Hill","MIA",10.3
"Jakobi Meyers","LV",10.1
"Brian Thomas Jr","JAC",10.1
"Travis Kelce","KC",10.1
"Brock Bowers","LV",10
"Quentin Johnston","LAC",9.4
"Kyle Pitts","ATL",9.4
"Austin Ekeler","WAS",9.3
"DJ Moore","CHI",9.3
"Josh Downs","IND",8.9
"Jonnu Smith","MIA",8.9
"T.J. Hockenson","MIN",8.8
"Pat Freiermuth","PIT",8.8
"Mark Andrews","BAL",8.8
"Khalil Shakir","BUF",8.6
"Romeo Doubs","GB",8.4
"Amari Cooper","BUF",8.4
"Tyler Lockett","SEA",8.4
"Cole Kmet","CHI",8.4
"Tyler Conklin","NYJ",8.2
"Evan Engram","JAC",8.2
"Keenan Allen","CHI",8.1
"Hunter Henry","NE",8.1
"Ricky Pearsall","SF",8
"Jerry Jeudy","CLE",7.9
"Rashod Bateman","BAL",7.8
"Tucker Kraft","GB",7.7
"Jaylen Warren","PIT",7.6
"Jaylen Waddle","MIA",7.5
"Alec Pierce","IND",7.4
"Noah Brown","WAS",7.4
"Devaughn Vele","DEN",7.3
"Tyjae Spears","TEN",7.1
"Nick Westbrook-Ikhine","TEN",7.1
"Jordan Addison","MIN",7.1
"Elijah Moore","CLE",7.1
"Taysom Hill","NO",7.1
"Zach Ertz","WAS",7.1
"Jaylen Wright","MIA",7
"Jalen Tolbert","DAL",7
"Xavier Worthy","KC",7
"Diontae Johnson","BAL",7
"Gus Edwards","LAC",6.9
"Demarcus Robinson","LAR",6.9
"Marquez Valdes-Scantling","NO",6.8
"Demario Douglas","NE",6.8
"Joshua Palmer","LAC",6.8
"Mike Gesicki","CIN",6.8
"Tyler Allgeier","ATL",6.7
"Kayshon Boutte","NE",6.7
"Rome Odunze","CHI",6.6
"Dalton Schultz","HOU",6.6
"Christian Watson","GB",6.5
"Dawson Knox","BUF",6.5
"Zamir White","LV",6.3
"Will Dissly","LAC",6.3
"Mike Williams","PIT",6.2
"AJ Barner","SEA",6.2
"Braelon Allen","NYJ",6.1
"Zach Charbonnet","SEA",6
"Javonte Williams","DEN",6
"Jake Ferguson","DAL",6
"Mack Hollins","BUF",5.4
"Ray Davis","BUF",5.3
"JuJu Smith-Schuster","KC",5.3
"Ray-Ray McCloud","ATL",5.1
"Juwan Johnson","NO",5.1
"Gabe Davis","JAC",5
"Michael Pittman Jr","IND",4.9
"Jordan Mims","NO",4.8
"Cam Akers","MIN",4.8
"D'Ernest Johnson","JAC",4.8
"Tre Tucker","LV",4.8
"Kalif Raymond","DET",4.8
"Roschon Johnson","CHI",4.7
"Tyler Boyd","TEN",4.7
"DJ Turner","LV",4.6
"Justice Hill","BAL",4.5
"Ezekiel Elliott","DAL",4.4
"Samaje Perine","KC",4.4
"Mason Tipton","NO",4.4
"KaVontae Turpin","DAL",4.4
"Chigoziem Okonkwo","TEN",4.4
"Brenton Strange","JAC",4.4
"Emanuel Wilson","GB",4.3
"LilJordan Humphrey","DEN",4.3
"Davis Allen","LAR",4.3
"Jordan Akins","CLE",4.3
"Jordan Mason","SF",4.2
"Calvin Austin III","PIT",4.2
"Jalen Nailor","MIN",4
"Noah Gray","KC",3.9
"Olamide Zaccheaus","WAS",3.8
"Adam Trautman","DEN",3.7
"Josh Oliver","MIN",3.7
"Blake Corum","LAR",3.6
"Austin Hooper","NE",3.6
"Dare Ogunbowale","HOU",3.5
"Khalil Herbert","CIN",3.5
"Ty Johnson",,3.5
"Parker Washington","JAC",3.5
"Andrei Iosivas","CIN",3.4
"Brock Wright","DET",3.3
"Antonio Gibson","NE",3
"Gerald Everett","CHI",3
"Lucas Krull","DEN",3
"Tyler Goodson","IND",2.9
"Jahan Dotson","PHI",2.9
"Tanner Hudson","CIN",2.9
"Hayden Hurst","LAC",2.7
"Xavier Gipson","NYJ",2.6
"Darnell Washington","PIT",2.6
"Kenneth Gainwell","PHI",2.5
"Dante Pettis","NO",2.5
"JaLynn Polk","NE",2.5
"Mo Alie-Cox","IND",2.5
"Josh Whyle","TEN",2.5
"Colby Parkinson","LAR",2.5
"John Metchie","HOU",2.3
"Jeremy Ruckert","NYJ",2.3
"Quintin Morris","BUF",2.3
"Charlie Kolar","BAL",2.3
"Ameer Abdullah",,2.2
"Cordarrelle Patterson",,2.1
"Odell Beckham","MIA",2.1
"Trey Sermon",,2
"JaMycal Hasty",,2
"Kylen Granson","IND",2
"Luke Schoonmaker","DAL",1.9
"Shane Zylstra","DET",1.9
"Cade Stover","HOU",1.8
"Harrison Bryant","LV",1.7
"Ben Sinnott","WAS",1.6
"Durham Smythe","MIA",1.5
"Pharaoh Brown","SEA",1.5
"Hunter Luepke",,1.4
"Jaleel McLaughlin",,1.4
"Chris Brooks",,1.2
"Keaton Mitchell",,1.1
"Carson Steele",,0.9
"Alec Ingold",,0.8
"Isaac Guerendo",,0.8
"Pierre Strong Jr",,0.7
"Ty Chandler",,0.6
"Trayveon Williams",,0.5
"Jeremy McNichols",,0.4
"Isaiah Davis",,0.3
"Julius Chestnut",,0.2
"Hassan Haskins",,0.2
"Will Shipley",,0.2
