"name","team","appFullProjectedPoints","appProjPassAttempts","appProjCompletions","appProjPassingYards","appProjPassTDs","appProjINTs","appProjQBRushAttempts","appProjQBRushYards","appProjQBRushTDs","astroQBProjection","astroSixPtTDQBProjection"
"Jalen Hurts","PHI",20.4,31.8,20.1,227.6,1.2,0.9,8.3,32.2,0.8,20.1,22.5
"Kyler Murray","ARI",19.2,32.8,20.8,226.5,1.4,0.9,5.9,38.1,0.4,19.1,21.9
"Lamar Jackson","BAL",19.1,32.4,20.1,226.7,1.5,0.8,7.1,36.8,0.2,18.3,21.3
"Patrick Mahomes","KC",19,36,23.8,242.7,1.7,0.6,3.7,20.8,0.2,18.6,22
"Bo Nix","DEN",18.9,32.9,20.3,212.8,1.2,0.8,5.8,30.8,0.6,18.4,20.8
"Jayden Daniels","WAS",18.8,30.8,19.6,209.7,1.4,0.9,8.1,40,0.4,18.6,21.4
"Geno Smith","SEA",18,40,26.2,267.1,1.5,0.9,3.2,16.4,0.3,18.3,21.3
"Jared Goff","DET",17.9,34.6,22.8,258.7,1.8,0.7,1.4,4.7,0.1,17.2,20.8
"Baker Mayfield","TB",17.9,34,21.2,216.4,1.8,0.8,5,21.1,0.3,18.2,21.8
"Justin Herbert","LAC",17.8,32.1,20.3,225.2,1.7,0.4,4.3,18.3,0.1,17.4,20.8
"Sam Darnold","MIN",17.4,35.7,22.7,267.8,1.4,1.1,6.1,19.6,0.2,17.3,20.1
"Jordan Love","GB",17.3,32.7,20.7,233.2,1.9,0.6,1.2,6.2,0.1,16.9,20.7
"Anthony Richardson","IND",17,32.8,17.2,212.3,1,1.2,7.7,36.9,0.5,16.8,18.8
"C.J. Stroud","HOU",16.8,34,22.1,236.6,1.5,0.7,2.4,11.5,0.1,15.8,18.8
"Tua Tagovailoa","MIA",16.6,33.2,22.1,242,1.6,0.8,3.8,9.3,0.1,16,19.2
"Matthew Stafford","LAR",16.2,38.8,25.4,266.4,1.6,1,1.2,4.1,0.1,16.1,19.3
"Tommy DeVito","NYG",15,33.5,21.4,206.4,0.9,0.5,4.3,26.5,0.2,14.7,16.5
"Caleb Williams","CHI",14.8,32.8,20.4,204.7,1,1,7.7,36.5,0.2,15,17
"Drake Maye","NE",14.8,32,19.3,198.1,0.9,0.9,7.9,35.8,0.2,14.5,16.3
"Russell Wilson","PIT",14.7,29.2,17.3,213.8,1,0.4,4.1,16.6,0.1,14,16
"Jameis Winston","CLE",13.5,33.2,20.4,230.4,0.9,0.9,5.8,18,0.2,14,15.8
"Will Levis","TEN",13,29.5,18.6,187.4,1,0.7,5.1,19.1,0.1,12.6,14.6
"Cooper Rush","DAL",12.6,38.3,24.8,226,1.2,1,0.5,2.4,0.1,12.7,15.1
"Gardner Minshew","LV",12.4,33.8,21.6,209.8,1,0.7,2.5,6.8,0.1,12.3,14.3
"Brandon Allen","SF",12.2,31.1,19.8,212.7,1,0.6,2.5,6.3,0.1,12.5,14.5
"Bryce Young","CAR",10.6,31.8,19.3,187.7,0.9,0.9,1.9,8.9,0.2,11.4,13.2
"","NO",0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
