"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfWRProjection","astroFullWRProjection"
"Travis Kelce","KC",12.6,0,0,0,7.2,60.2,0.5,0,3.5,3.5,12.6,16.2
"Brock Bowers","LV",11.6,0,0,0,6,65.7,0.4,0,3.5,3.5,12,15
"Dallas Goedert","PHI",11.6,0,0,0,5.2,68.8,0.4,0,3.5,3.5,11.9,14.5
"George Kittle","SF",11.6,0,0,0,5.8,69.4,0.3,0,3.6,3.6,11.6,14.5
"Jonnu Smith","MIA",11,0,0,0,4.7,65,0.4,0,3.2,3.2,11.3,13.6
"Trey McBride","ARI",9.6,0,0,0,4.7,65.8,0.3,0,3.3,3.3,10.7,13.1
"Cade Otton","TB",9.1,0,0,0,4.9,50.9,0.3,0,2.8,2.8,9.3,11.8
"Will Dissly","LAC",8.9,0,0,0,5.2,41.6,0.4,0,2.4,2.4,9.2,11.8
"David Njoku","CLE",8.8,0,0,0,4.7,49.7,0.3,0,2.7,2.7,9.1,11.5
"Hunter Henry","NE",8.7,0,0,0,4.2,51.4,0.3,0,2.7,2.7,9,11.1
"Zach Ertz","WAS",8.7,0,0,0,4.4,43.3,0.4,0,2.4,2.4,8.9,11.1
"Tucker Kraft","GB",8.7,0,0,0,3,38.4,0.6,0,1.9,1.9,8.9,10.4
"Sam LaPorta","DET",8.4,0,0,0,3.2,45.3,0.4,0,2.2,2.2,8.5,10.1
"Cole Kmet","CHI",7.8,0,0,0,3.6,42.5,0.3,0,2.2,2.2,7.8,9.7
"T.J. Hockenson","MIN",7.5,0,0,0,3.9,45.7,0.3,0,2.4,2.4,8.3,10.3
"Mark Andrews","BAL",6.8,0,0,0,3.5,33.3,0.3,0,1.8,1.8,6.9,8.6
"Theo Johnson","NYG",6.4,0,0,0,3.4,36.8,0.2,0,1.9,1.9,6.6,8.3
"Ja'Tavion Sanders","CAR",6.3,0,0,0,2.4,37.5,0.3,0,1.8,1.8,6.8,7.9
"Pat Freiermuth","PIT",6.3,0,0,0,2.9,31.4,0.3,0,1.6,1.6,6.4,7.8
"Dalton Schultz","HOU",6.2,0,0,0,3.6,32.6,0.2,0,1.8,1.8,6.3,8.1
"Noah Gray","KC",5.7,0,0,0,2.6,29.8,0.3,0,1.5,1.5,6.1,7.4
"Isaiah Likely","BAL",5.2,0,0,0,2,26.5,0.3,0,1.3,1.3,5.5,6.5
"AJ Barner","SEA",4.5,0,0,0,2.7,22.4,0.2,0,1.3,1.3,4.8,6.1
"Davis Allen","LAR",4.4,0,0,0,2.2,22.7,0.2,0,1.2,1.2,4.6,5.7
"Adam Trautman","DEN",4.2,0,0,0,1.8,21.8,0.2,0,1.1,1.1,4.3,5.2
"Chigoziem Okonkwo","TEN",4,0,0,0,2.3,19.1,0.2,0,1.1,1.1,4.3,5.4
"Austin Hooper","NE",4,0,0,0,1.8,22.4,0.2,0,1.2,1.2,4.3,5.2
"Luke Schoonmaker","DAL",3.9,0,0,0,2.7,20.2,0.2,0,1.2,1.2,4.6,5.9
"Hayden Hurst","LAC",3.7,0,0,0,1.7,19.9,0.2,0,1,1,4,4.9
"Elijah Higgins","ARI",3.3,0,0,0,1.7,15,0.2,0,0.8,0.8,3.6,4.4
"Tommy Tremble","CAR",3.2,0,0,0,2,14,0.2,0,0.9,0.9,3.6,4.6
"Lucas Krull","DEN",3.2,0,0,0,1.6,15.9,0.2,0,0.8,0.8,3.6,4.4
"Josh Whyle","TEN",3.1,0,0,0,1.5,15.9,0.2,0,0.8,0.8,3.5,4.3
"Brevyn Spann-Ford","DAL",3.1,0,0,0,1.9,18.2,0.2,0,1,1,4,4.9
"Jordan Akins","CLE",3,0,0,0,1.4,14.2,0.2,0,0.8,0.8,3.3,4
"Darnell Washington","PIT",3,0,0,0,1.1,16.3,0.2,0,0.8,0.8,3.4,3.9
"Grant Calcaterra","PHI",2.8,0,0,0,1.3,12.9,0.2,0,0.7,0.7,3.1,3.8
"Colby Parkinson","LAR",2.7,0,0,0,1.4,14.9,0.1,0,0.8,0.8,2.8,3.5
"Brock Wright","DET",2.1,0,0,0,0.9,8.9,0.2,0,0.5,0.5,2.5,3
"Mo Alie-Cox","IND",2,0,0,0,0.9,10.8,0.1,0,0.5,0.5,2.1,2.6
"Kylen Granson","IND",1.9,0,0,0,1.1,10,0.1,0,0.6,0.6,2.2,2.7
,"SF",,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Johnny Mundt","MIN",2.7,0,0,0,1.5,11.3,0.2,0,0.6,0.6,3.1,3.8
"Michael Mayer","LV",2.6,0,0,0,1.7,9.9,0.2,0,0.6,0.6,3,3.9
"Julian Hill","MIA",1.9,0,0,0,1,10.7,0.1,0,0.6,0.6,2.2,2.7
"Cade Stover","HOU",1.7,0,0,0,0.9,9.8,0.1,0,0.6,0.6,2,2.5
"Daniel Bellinger","NYG",1.6,0,0,0,0.9,9,0.1,0,0.6,0.6,1.9,2.4
"John Bates","WAS",1.1,0,0,0,0.9,4,0.1,0,0.4,0.4,1.4,1.9
