"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfWRProjection","astroFullWRProjection"
"Amon-Ra St Brown","DET",15.6,0,0,0,7.3,72.3,0.8,0,4.1,4.1,15.7,19.3
"Malik Nabers","NYG",14.8,0,0,0,7.4,78.6,0.6,0,4.3,4.3,15.2,18.9
"Terry McLaurin","WAS",14.4,0,0,0,5.1,74.6,0.8,0,3.4,3.4,14.8,17.4
"Justin Jefferson","MIN",14.3,0.1,0.6,0,5.7,87.9,0.5,0,4.1,4.1,14.7,17.6
"Cooper Kupp","LAR",14.3,0,0,0,7.2,80.1,0.5,0,4.2,4.2,14.6,18.2
"Nico Collins","HOU",14.2,0,0,0,5.9,78.7,0.6,0,3.8,3.8,14.4,17.4
"AJ Brown","PHI",14.1,0,0,0,4.9,88.1,0.5,0,3.8,3.8,14.3,16.7
"CeeDee Lamb","DAL",13.7,1.2,8.2,0.1,6.3,67.7,0.5,0.3,3.6,3.9,14.3,17.5
"Zay Flowers","BAL",13.3,0.6,4,0,5.2,75.4,0.5,0.2,3.5,3.7,13.5,16.1
"Jaxon Smith-Njigba","SEA",13.1,0,0,0,6.5,70.5,0.5,0,3.7,3.7,13.3,16.6
"Courtland Sutton","DEN",12.6,0,0,0,4.9,69.7,0.6,0,3.2,3.2,13,15.5
"Calvin Ridley","TEN",12.5,0.8,3.3,0,5.3,73.6,0.4,0.1,3.5,3.6,12.7,15.4
"Ladd McConkey","LAC",12.4,0,0,0,4.5,68.3,0.6,0,3.2,3.2,12.7,14.9
"Mike Evans","TB",12.3,0,0,0,4,62.1,0.8,0,2.9,2.9,13,15
"DK Metcalf","SEA",12.3,0,0,0,4.8,70.7,0.5,0,3.3,3.3,12.5,14.9
"Puka Nacua","LAR",12.1,0.5,2.7,0,6,71,0.3,0.1,3.6,3.7,12.2,15.2
"Josh Downs","IND",11.8,0.1,1.2,0,5.2,63.7,0.5,0,3.2,3.2,12.1,14.7
"Tyreek Hill","MIA",11.8,1.1,5.2,0,4.4,61.6,0.6,0.2,2.9,3.1,12.5,14.7
"Jauan Jennings","SF",11.6,0,0,0,5.5,67.5,0.4,0,3.4,3.4,11.9,14.7
"George Pickens","PIT",11.3,0,0,0,4.5,74.5,0.3,0,3.3,3.3,11.5,13.8
"Marvin Harrison Jr","ARI",11.2,0,0,0,3.9,57.2,0.6,0,2.7,2.7,11.3,13.2
"DJ Moore","CHI",10.6,0.6,2.9,0,5.2,54.1,0.4,0.1,3,3.1,10.7,13.3
"Jameson Williams","DET",10.6,0.6,4.3,0,3.1,62.7,0.4,0.2,2.5,2.7,10.7,12.2
"Tank Dell","HOU",10.4,0.7,3.1,0,3.8,49.4,0.6,0.1,2.4,2.5,10.8,12.6
"Quentin Johnston","LAC",10.4,0,0,0,3.2,50.2,0.7,0,2.3,2.3,10.8,12.4
"DeAndre Hopkins","KC",10.1,0,0,0,3.9,53.2,0.5,0,2.6,2.6,10.3,12.2
"Jakobi Meyers","LV",10.1,0.5,3,0,4.9,56.3,0.3,0.1,2.9,3,10.2,12.6
"Jayden Reed","GB",10.1,0.9,8.6,0,3.8,57.6,0.3,0.4,2.7,3.1,10.3,12.2
"Cedric Tillman","CLE",9.5,0,0,0,4,57,0.3,0,2.7,2.7,9.5,11.5
"Deebo Samuel","SF",9.4,2.9,14.3,0.2,3.5,42.2,0.2,0.6,2.1,2.7,9.8,11.6
"Keenan Allen","CHI",9.2,0,0,0,4.8,45.9,0.4,0,2.6,2.6,9.4,11.8
"Jerry Jeudy","CLE",8.8,0,0,0,3.6,56,0.3,0,2.5,2.5,9.2,11
"Christian Watson","GB",8.7,0,0,0,3.2,46,0.5,0,2.2,2.2,9.2,10.8
"Romeo Doubs","GB",8.7,0,0,0,4.1,50.7,0.3,0,2.5,2.5,8.9,11
"Darius Slayton","NYG",8.6,0,0,0,3.6,58.3,0.2,0,2.6,2.6,8.8,10.6
"Rashod Bateman","BAL",8.5,0,0,0,3.3,48.2,0.4,0,2.3,2.3,8.9,10.5
"Nick Westbrook-Ikhine","TEN",8.3,0,0,0,2.9,42.1,0.5,0,2,2,8.7,10.1
"Rome Odunze","CHI",8.2,0.3,1.8,0,3.8,52.4,0.2,0.1,2.5,2.6,8.5,10.4
"Jordan Addison","MIN",8.1,0.5,2.7,0.1,2.8,42,0.3,0.1,1.9,2,8.3,9.7
"Xavier Worthy","KC",8,0.7,5,0.1,2.3,31.9,0.5,0.2,1.5,1.7,8.4,9.6
"Michael Pittman Jr","IND",8,0,0,0,4,45.5,0.3,0,2.4,2.4,8.3,10.3
"Jaylen Waddle","MIA",7.8,0.4,1.3,0,3,42.8,0.3,0.1,2,2.1,7.7,9.2
"Alec Pierce","IND",7.7,0,0,0,2,46.6,0.4,0,1.9,1.9,8.1,9.1
"Tyler Lockett","SEA",7.7,0,0,0,3.3,43.4,0.3,0,2.1,2.1,7.8,9.4
"Joshua Palmer","LAC",7.5,0,0,0,2.7,47.9,0.3,0,2.1,2.1,7.9,9.3
"WanDale Robinson","NYG",7.3,0.3,2.4,0,4.7,35.1,0.2,0.1,2.3,2.4,7.3,9.7
"Devaughn Vele","DEN",7.2,0,0,0,3.4,41.3,0.3,0,2.1,2.1,7.6,9.3
"Noah Brown","WAS",7.1,0,0,0,3.1,41.4,0.3,0,2,2,7.5,9
"Michael Wilson","ARI",7.1,0,0,0,3.3,33.2,0.4,0,1.8,1.8,7.4,9
"Demario Douglas","NE",6.9,0.2,1.1,0,3.7,40.1,0.2,0,2.2,2.2,7.2,9
"Jalen Tolbert","DAL",6.9,0,0,0,3.4,36.4,0.3,0,2,2,7.1,8.8
"Adam Thielen","CAR",6.9,0,0,0,3.8,39.6,0.2,0,2.1,2.1,7.1,9
"Elijah Moore","CLE",6.9,0,0,0,3.9,41.6,0.2,0,2.2,2.2,7.3,9.3
"Xavier Legette","CAR",6.5,0.4,1.9,0,2.9,31.5,0.3,0.1,1.7,1.8,6.6,8
"Jalen Coker","CAR",6,0,0,0,2.3,39.8,0.2,0,1.8,1.8,6.3,7.5
"Demarcus Robinson","LAR",5.9,0,0,0,1.9,33,0.3,0,1.4,1.4,6,7
"Kayshon Boutte","NE",5.7,0,0,0,2.2,36.1,0.2,0,1.6,1.6,5.9,7
"Kendrick Bourne","NE",5.3,0,0,0,2.5,29.6,0.2,0,1.5,1.5,5.4,6.7
"Tre Tucker","LV",5,0.6,3.5,0.1,1.7,24.9,0.2,0.2,1.2,1.4,5.5,6.3
"John Metchie","HOU",5,0,0,0,3,31.4,0.1,0,1.7,1.7,5.2,6.7
"Tyler Boyd","TEN",5,0,0,0,2.8,26.7,0.2,0,1.5,1.5,5.3,6.7
"DJ Turner","LV",5,0.6,3.4,0.1,1.7,22.5,0.2,0.1,1.1,1.2,5.2,6.1
"KaVontae Turpin","DAL",5,0.4,2.8,0,2.5,25.9,0.2,0.1,1.4,1.5,5.3,6.6
"Ricky Pearsall","SF",4.9,0,0,0,1.8,30.8,0.2,0,1.3,1.3,5.2,6.1
"LilJordan Humphrey","DEN",4.6,0,0,0,2.1,21.5,0.3,0,1.2,1.2,5,6
"Kalif Raymond","DET",4.3,0,0,0,1.8,19,0.3,0,1,1,4.6,5.5
