"name","pos","team","appFullProjectedPoints","PassAttempts","Completions","PassingYards","PassTDs","INTs","carries","rushYards","rushTDs","targets","receptions","receivingYards","receivingTDs","halfFantasyPoints","fullFantasyPoints","recProps"
"Joe Burrow","QB","CIN",20.2,38.7,25.6,273.1,2,0.8,4.5,17.3,0.1,0,0,0,0,19.7,19.7,""
"Jalen Hurts","QB","PHI",19.7,31.8,19.9,233.1,1,0.8,8.5,32.6,0.8,0,0,0,0,19.8,19.8," -- Under UD Fantasy Score of 21.75"
"Kirk Cousins","QB","ATL",19.3,44.1,28.3,309.9,2,0.8,0.5,2.4,0.1,0,0,0,0,19.6,19.6," -- Over UD Pass Plus Rush Yards of 242.5 -- Over PP Pass Plus Rush Yards of 240.5 -- Over UD Fantasy Score of 15.85 -- Over PP Fantasy Score of 15.5"
"Josh Allen","QB","BUF",19.2,32.6,21,221.6,1.5,0.7,7,33.4,0.2,0,0,0,0,18,18," -- Over UD Pass Attempts of 30 -- Over PP Pass Attempts of 30"
"Patrick Mahomes","QB","KC",19.1,35,23.2,233.3,1.7,0.5,4.1,22.5,0.2,0,0,0,0,18.6,18.6,""
"Lamar Jackson","QB","BAL",18.9,32,19.8,221.9,1.5,0.8,7.3,37.2,0.2,0,0,0,0,18.2,18.2," -- Under UD Fantasy Score of 21.55"
"Jayden Daniels","QB","WAS",18.9,31.4,19.8,214.5,1.3,0.7,9.7,41.5,0.2,0,0,0,0,17.7,17.7,""
"Baker Mayfield","QB","TB",18.7,33.9,21.4,223.6,1.9,0.8,4.1,19.4,0.3,0,0,0,0,18.7,18.7," -- Over PP Rush Yards of: 10.5"
"Bo Nix","QB","DEN",18.4,31.7,19.6,207.1,1.2,0.7,5.3,27,0.5,0,0,0,0,17.4,17.4," -- Over UD Rush Yards of 19.5"
"Kyler Murray","QB","ARI",18.2,34,21.4,224.6,1.2,0.9,6,37.9,0.3,0,0,0,0,17.6,17.6," -- Over UD Rush Yards of 24.5 -- Over PP Rush Yards of: 23.5"
"C.J. Stroud","QB","HOU",18.1,33.6,22,248.7,1.6,0.4,3.4,14.9,0.1,0,0,0,0,17.6,17.6,""
"Geno Smith","QB","SEA",17.9,39.9,26.1,260.8,1.5,0.6,3.3,16.9,0.1,0,0,0,0,17.5,17.5," -- Over UD Pass Attempts of 32.5 -- Over PP Pass Attempts of 32.5 -- Over PP Fantasy Score of 15.5"
"Sam Darnold","QB","MIN",17.8,34,21.9,256.7,1.6,0.8,4.3,14.3,0.2,0,0,0,0,17.7,17.7,""
"Justin Herbert","QB","LAC",17.7,29.1,18.4,211.1,1.7,0.4,4.2,19.4,0.2,0,0,0,0,17.6,17.6," -- Under UD Pass Plus Rush Yards of 274.5 -- Under PP Pass Plus Rush Yards of 270.5"
"Jared Goff","QB","DET",17.1,35.2,23.2,264.4,1.6,0.6,1.4,5,0.1,0,0,0,0,16.9,16.9,""
"Tua Tagovailoa","QB","MIA",16.6,36.6,24.3,264.2,1.5,0.9,3.8,11.2,0.1,0,0,0,0,16.5,16.5,""
"Drake Maye","QB","NE",16.5,33,19.7,214.3,1,1,8.4,43.2,0.3,0,0,0,0,16.7,16.7," -- Over UD Rush Yards of 29.5 -- Over PP Rush Yards of: 28.5"
"Brock Purdy","QB","SF",16.4,34.6,22.1,244.1,1.2,1,6.3,26.2,0.2,0,0,0,0,16.4,16.4," -- Over UD Pass Plus Rush Yards of 245.5 -- Over PP Pass Plus Rush Yards of 245.5"
