"name","pos","team","PassAttempts","Completions","PassingYards","PassTDs","INTs","carries","rushYards","rushTDs","receptions","receivingYards","receivingTDs","halfFantasyPoints","fullFantasyPoints","recProps"
"Jalen Hurts","QB","PHI",30.6,19.3,225.7,1.3,0.7,9,34.9,0.8,0,0,0,21.1,21.1," -- Over UD Pass Yards of 209.5 -- Over UD Pass Plus Rush Yards of 251.5"
"Bryce Young","QB","CAR",34.5,21.2,210.7,1,0.8,2.2,13.5,0.1,0,0,0,12.8,12.8,""
"Drew Lock","QB","NYG",31.5,19.6,185.7,0.9,1.2,3,23.5,0.3,0,0,0,12.8,12.8," -- Over UD Rush Yards of 14.5 -- Over PP Rush Yards of: 14.5"
"Derek Carr","QB","NO",34.8,21.8,229.4,1.4,0.7,2,7.8,0.1,0,0,0,14.8,14.8,""
"Brock Purdy","QB","SF",34.1,22,239.5,1.5,0.9,4.4,23,0.2,0,0,0,17.3,17.3,""
"Caleb Williams","QB","CHI",35.1,22.1,233,1.2,1.1,7.5,33.4,0.2,0,0,0,16.5,16.5,""
"Davis Mills","QB","HOU",0,0,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,""
"","QB","DEN",0,0,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,""
"Patrick Mahomes","QB","KC",36.2,23.8,240.8,1.6,0.8,4.1,20.8,0.1,0,0,0,17.1,17.1,""
"Justin Herbert","QB","LAC",30.5,19,208.6,1.1,0.2,7.3,34.9,0.1,0,0,0,16.4,16.4," -- Under UD Pass Yards of 230.5 -- Under PP Pass Yards of 229.5 -- Over UD Rush Yards of 19.5 -- Under UD Pass Plus Rush Yards of 254.5"
"Tua Tagovailoa","QB","MIA",36.9,24.8,259,1.8,0.7,2.5,7.5,0.1,0,0,0,17.5,17.5,""
"Aaron Rodgers","QB","NYJ",37.2,24,222.6,1.4,0.9,1.5,6.4,0.1,0,0,0,13.9,13.9,""
"Matthew Stafford","QB","LAR",35.9,23.3,242.8,1.5,1,1.1,4.2,0.1,0,0,0,14.7,14.7,""
"Josh Allen","QB","BUF",34.1,21.9,245.6,1.6,0.9,6.3,30.1,0.4,0,0,0,19.8,19.8," -- Over PP Pass Plus Rush Yards of 268.5"
"Sam Darnold","QB","MIN",33.5,21.7,236.4,1.5,0.7,4.9,16.5,0.1,0,0,0,16.3,16.3," -- Under UD Pass Plus Rush Yards of 268.5 -- Under PP Pass Plus Rush Yards of 267.5"
"Kirk Cousins","QB","ATL",41.2,26.2,270,1.6,1.2,0.3,2,0.1,0,0,0,15.6,15.6," -- Over PP Pass Attempts of 34.5 -- Over PP Completions of 22.5 -- Over UD Pass Yards of 246.5 -- Over PP Pass Yards of 245.5"
"Jared Goff","QB","DET",36.1,23.6,262.8,1.6,0.6,1.3,4.6,0.1,0,0,0,16.8,16.8,""
"Jordan Love","QB","GB",35.6,22.7,270.8,1.9,0.7,1.3,6.3,0.1,0,0,0,18.3,18.3,""
"Cooper Rush","QB","DAL",38.9,25.5,203.2,1.5,1,0.5,2.6,0.1,0,0,0,13,13," -- Under UD Pass Yards of 235.5 -- Under PP Pass Yards of 234.5"
"Joe Burrow","QB","CIN",36.6,24.3,259,1.9,0.8,4.1,15.2,0.1,0,0,0,18.5,18.5,""
"Will Levis","QB","TEN",32.1,20.6,217.1,1.4,0.7,5.8,23.2,0.2,0,0,0,16.4,16.4," -- Over UD Pass Plus Rush Yards of 230.5 -- Over PP Pass Plus Rush Yards of 228.5"
"Baker Mayfield","QB","TB",35.6,22.3,235.7,1.5,0.8,4.3,18.9,0.4,0,0,0,18.1,18.1," -- Over UD Rush Yards of 10.5"
"Aidan O'Connell","QB","LV",38.2,24.3,264.3,1.2,0.9,0.4,2,0.1,0,0,0,14.4,14.4," -- Over UD Pass Yards of 229.5 -- Over PP Pass Yards of 229.5"
"Mac Jones","QB","JAC",29.4,18.7,194,1,0.8,2.3,9.2,0.2,0,0,0,12.3,12.3," -- Under UD Pass Attempts of 32.5 -- Under PP Pass Attempts of 32.5"
"Kyler Murray","QB","ARI",31.6,20,214.1,1.2,0.7,5.6,35.5,0.3,0,0,0,17.3,17.3," -- Over UD Rush Yards of 26.5 -- Over PP Rush Yards of: 26.5"
