"name","pos","team","PassAttempts","Completions","PassingYards","PassTDs","INTs","carries","rushYards","rushTDs","receptions","receivingYards","receivingTDs","halfFantasyPoints","fullFantasyPoints","recProps"
"Bryce Young","QB","CAR",32.1,20,191.5,1.2,0.6,2.7,17.3,0.2,0,0,0,14.2,14.2,""
"Cooper Rush","QB","DAL",35.4,22.9,230.1,1.3,0.8,0.6,2.6,0.1,0,0,0,13.7,13.7,""
"Spencer Rattler","QB","NO",32.2,20.2,177.8,0.9,0.9,3.6,17.6,0.1,0,0,0,11.3,11.3,""
"Jayden Daniels","QB","WAS",31.1,19.5,210.1,1.3,0.8,9.9,54,0.3,0,0,0,19.2,19.2," -- Over PP Rush Yards of: 37.5"
"Sam Darnold","QB","MIN",32.2,20.9,249,1.7,0.6,4.8,13.6,0.1,0,0,0,17.5,17.5,""
"Caleb Williams","QB","CHI",40.8,25.7,244.2,1.4,1.4,6.4,29.9,0.1,0,0,0,16.2,16.2,""
"C.J. Stroud","QB","HOU",33.4,22,230.1,1.5,0.7,3.3,14.1,0.1,0,0,0,15.8,15.8,""
"Tua Tagovailoa","QB","MIA",37.9,25.4,272.2,1.8,0.8,2,6.2,0.1,0,0,0,17.7,17.7,""
"Bo Nix","QB","DEN",32.8,20.4,216.2,1.3,0.8,5.4,25.5,0.4,0,0,0,17.2,17.2,""
"Anthony Richardson","QB","IND",26.8,16.5,176.6,1,0.9,8.1,37.1,0.5,0,0,0,16,16,""
"Jameis Winston","QB","CLE",43.6,27.3,272.1,1.7,1.5,4.6,16,0.1,0,0,0,16.9,16.9," -- Over UD Pass Yards of 241.5"
"Patrick Mahomes","QB","KC",36.5,24.1,239.6,1.6,0.8,4.1,20.8,0.1,0,0,0,17.1,17.1,""
"Jared Goff","QB","DET",35.2,23.2,267.6,1.8,0.5,1.2,2.6,0.1,0,0,0,17.8,17.8,""
"Josh Allen","QB","BUF",34.6,22.4,249.8,1.6,0.9,7,34.2,0.3,0,0,0,19.8,19.8,""
"Kyler Murray","QB","ARI",31.9,20.3,212,1.4,0.7,5.4,31.8,0.3,0,0,0,17.7,17.7,""
"Drake Maye","QB","NE",30,18,185.3,0.9,1,7.5,37,0.3,0,0,0,14.5,14.5," -- Under UD Pass Yards of 224.5"
"Drew Lock","QB","NYG",32.3,19.9,200,0.7,1,3.3,25.3,0.1,0,0,0,11.9,11.9,""
"Lamar Jackson","QB","BAL",30.3,18.7,212.6,1.6,0.8,8.3,50.9,0.4,0,0,0,20.8,20.8,""
"Will Levis","QB","TEN",35.4,22.8,218.7,1.4,0.9,5.2,20.3,0.2,0,0,0,15.8,15.8,""
"Joe Burrow","QB","CIN",36.8,24.5,256,1.8,0.8,4.2,14.9,0.1,0,0,0,17.9,17.9,""
