"name","pos","team","PassAttempts","Completions","PassingYards","PassTDs","INTs","carries","rushYards","rushTDs","receptions","receivingYards","receivingTDs","halfFantasyPoints","fullFantasyPoints","recProps"
"Bryce Young","QB","CAR",32.1,20,191.5,1.1,0.6,2.7,17.3,0.2,0,0,0,13.8,13.8,""
"Cooper Rush","QB","DAL",35.4,22.9,230.1,1.3,0.7,0.6,2.6,0.1,0,0,0,13.9,13.9," -- Over UD Completions of 20.5 -- Over PP Completions of 20.5 -- Over UD Pass Plus Rush Yards of 215.5 -- Over PP Pass Plus Rush Yards of 213.5"
"Jake Haener","QB","NO",29.5,18.1,162.5,0.9,0.9,1.6,4.3,0.1,0,0,0,9.3,9.3,""
"Jayden Daniels","QB","WAS",31.4,19.7,212.2,1.3,0.7,10,54.5,0.2,0,0,0,18.9,18.9," -- Over UD Rush Yards of 42.5 -- Over PP Rush Yards of: 40.5"
"Sam Darnold","QB","MIN",32.2,20.9,246.1,1.7,0.7,4.8,13.6,0.1,0,0,0,17.2,17.2,""
"Caleb Williams","QB","CHI",40.8,25.7,244.2,1.4,1.5,6.4,29.9,0.1,0,0,0,16,16," -- Over UD Pass Attempts of 32.5 -- Over PP Pass Attempts of 32.5 -- Over UD Pass Yards of 214.5 -- Over UD Pass Plus Rush Yards of 244.5"
"C.J. Stroud","QB","HOU",33.7,22.2,226,1.3,0.7,3.3,14.2,0.2,0,0,0,15.5,15.5," -- Under UD Pass Plus Rush Yards of 275.5 -- Under PP Pass Plus Rush Yards of 274.5 -- Under UD Fantasy Score of 17.95"
"Tua Tagovailoa","QB","MIA",37.6,25.1,269.6,1.9,0.6,2.1,5.6,0.1,0,0,0,18.3,18.3,""
"Bo Nix","QB","DEN",33.5,20.8,220.5,1.3,0.8,5.5,27,0.4,0,0,0,17.5,17.5," -- Over UD Rush Yards of 15.5 -- Over PP Rush Yards of: 16.5"
"Anthony Richardson","QB","IND",26,16,171.4,1,1,7.8,36,0.5,0,0,0,15.5,15.5," -- Under PP Rush Yards of 46.5 -- Under UD Pass Plus Rush Yards of 240.5 -- Under PP Pass Plus Rush Yards of 238.5"
"Jameis Winston","QB","CLE",42.8,26.8,276.4,1.7,1.3,4.5,15.8,0.1,0,0,0,17.4,17.4," -- Over PP Pass Attempts of 36 -- Over UD Completions of 21.5 -- Over PP Completions of 22 -- Over UD Pass Yards of 236.5 -- Over PP Pass Yards of 239.5 -- Over UD Pass Plus Rush Yards of 250.5 -- Over PP Pass Plus Rush Yards of 251.5"
"Patrick Mahomes","QB","KC",36.2,23.9,237.3,1.5,0.8,4,21.3,0.1,0,0,0,16.6,16.6,""
"Jared Goff","QB","DET",36.3,23.9,264.1,1.7,0.4,1.2,4.7,0.1,0,0,0,17.6,17.6,""
"Josh Allen","QB","BUF",34.6,22.4,249.8,1.6,0.9,7.9,36.3,0.3,0,0,0,20,20," -- Under UD Fantasy Score of 23.65"
"Kyler Murray","QB","ARI",31.9,20.3,212,1.4,0.8,5.2,31.8,0.4,0,0,0,18.1,18.1,""
"Drake Maye","QB","NE",31,18.6,191.1,0.9,0.9,7.7,38.1,0.2,0,0,0,14.5,14.5," -- Under PP Completions of 21 -- Over UD Rush Yards of 28.5 -- Over PP Rush Yards of: 29.5 -- Under UD Fantasy Score of 16.95"
"Tommy DeVito","QB","NYG",35.5,21.8,219.4,0.8,0.9,4.6,23.5,0.1,0,0,0,13.1,13.1," -- Over UD Pass Yards of 178.5 -- Over PP Pass Yards of 177.5 -- Over UD Pass Plus Rush Yards of 204.5 -- Over PP Pass Plus Rush Yards of 200.5"
"Lamar Jackson","QB","BAL",30.9,19.1,211.4,1.6,0.8,8.5,52,0.4,0,0,0,20.9,20.9," -- Over PP Pass Attempts of 26 -- Over UD Rush Yards of 42.5"
"Will Levis","QB","TEN",35.4,22.8,221.9,1.4,0.7,4.5,17.7,0.1,0,0,0,15.4,15.4,""
"Joe Burrow","QB","CIN",36.8,24.5,256,1.8,0.8,4.2,13.3,0.1,0,0,0,17.8,17.8,""
"Desmond Ridder","QB","LV",35.2,22.5,222,1.1,0.8,3.7,9.8,0.1,0,0,0,13.3,13.3,""
"Kirk Cousins","QB","ATL",35.5,22.7,256.3,1.5,0.7,0.4,2.2,0.1,0,0,0,15.7,15.7,""
"Jalen Hurts","QB","PHI",31.1,19.2,214.3,1,0.9,9.2,36.3,1,0,0,0,20.4,20.4," -- Over PP Pass Attempts of 25.5"
"Russell Wilson","QB","PIT",33.6,20.2,221.9,1,0.9,1.8,8.2,0.1,0,0,0,12.5,12.5,""
"Justin Herbert","QB","LAC",35.3,22.5,249.2,1.4,0.9,3.7,16.7,0.2,0,0,0,16.6,16.6,""
"Baker Mayfield","QB","TB",35.9,22.2,248.8,1.5,0.7,4.2,16.2,0.1,0,0,0,16.8,16.8,""
