"name","team","appHalfProjectedPoints"
"Josh Allen","BUF",25.3
"Lamar Jackson","BAL",22
"Jalen Hurts","PHI",20.3
"Bijan Robinson","ATL",19.3
"JaMarr Chase","CIN",19.1
"Baker Mayfield","TB",18.9
"Puka Nacua","LAR",18.9
"Jared Goff","DET",18.4
"Jahmyr Gibbs","DET",18.4
"Sam Darnold","MIN",18.1
"Josh Jacobs","GB",18.1
"Saquon Barkley","PHI",17.9
"Anthony Richardson","IND",17.8
"Jayden Daniels","WAS",17.8
"Joe Burrow","CIN",17.7
"Chase Brown","CIN",17.7
"Justin Herbert","LAC",17.1
"De'Von Achane","MIA",16.9
"Bryce Young","CAR",16.8
"Kyler Murray","ARI",16.6
"Brock Purdy","SF",16.6
"Bo Nix","DEN",16.6
"Matthew Stafford","LAR",16.6
"Jordan Love","GB",16.3
"Mason Rudolph","TEN",16.3
"Tua Tagovailoa","MIA",16.3
"Aidan O'Connell","LV",16.3
"Zach Charbonnet","SEA",16.3
"Caleb Williams","CHI",16.1
"James Conner","ARI",16
"Aaron Rodgers","NYJ",15.9
"Joe Mixon","HOU",15.8
"Kyren Williams","LAR",15.6
"Derrick Henry","BAL",15.4
"Davante Adams","NYJ",15.4
"James Cook","BUF",15.2
"Russell Wilson","PIT",15.1
"Patrick Mahomes","KC",15
"Kirk Cousins","ATL",14.9
"Chuba Hubbard","CAR",14.8
"Amon-Ra St Brown","DET",14.8
"Cooper Rush","DAL",14.7
"Mike Evans","TB",14.7
"C.J. Stroud","HOU",14.5
"CeeDee Lamb","DAL",14.4
"Nico Collins","HOU",14.3
"Courtland Sutton","DEN",14.3
"Rico Dowdle","DAL",14.1
"Justin Jefferson","MIN",14
"Brian Thomas Jr","JAC",13.9
"Tee Higgins","CIN",13.9
"George Kittle","SF",13.9
"Jaxon Smith-Njigba","SEA",13.8
"Jerry Jeudy","CLE",13.8
"Brock Bowers","LV",13.8
"Isaac Guerendo","SF",13.6
"Ladd McConkey","LAC",13.5
"Jonathan Taylor","IND",13.4
"Aaron Jones","MIN",13.4
"Tyrone Tracy","NYG",13.4
"Malik Nabers","NYG",13.4
"Cooper Kupp","LAR",13.4
"Drake Maye","NE",13.3
"Mac Jones","JAC",13.3
"Jordan Addison","MIN",13.3
"Bucky Irving","TB",13.2
"Geno Smith","SEA",13
"Brian Robinson","WAS",13
"Tony Pollard","TEN",12.8
"AJ Brown","PHI",12.8
"Garrett Wilson","NYJ",12.8
"Jauan Jennings","SF",12.7
"Jakobi Meyers","LV",12.6
"Drake London","ATL",12.5
"Drew Lock","NYG",12.2
"Breece Hall","NYJ",12.1
"Terry McLaurin","WAS",12.1
"Rhamondre Stevenson","NE",11.9
"Alexander Mattison","LV",11.9
"D'Andre Swift","CHI",11.8
"Rachaad White","TB",11.7
"Zay Flowers","BAL",11.7
"Darnell Mooney","ATL",11.5
"DeVonta Smith","PHI",11.5
"DJ Moore","CHI",11.3
"Tyreek Hill","MIA",11.3
"Dorian Thompson-Robinson","CLE",11
"Jerome Ford","CLE",10.9
"DK Metcalf","SEA",10.6
"Najee Harris","PIT",10.4
"Jayden Reed","GB",10.4
"Sam LaPorta","DET",10.4
"Jonnu Smith","MIA",10.4
"Isiah Pacheco","KC",10.3
"Keenan Allen","CHI",10.3
"Jameson Williams","DET",10.3
"Khalil Shakir","BUF",10.2
"Spencer Rattler","NO",10.1
"Kendre Miller","NO",10.1
"Trey McBride","ARI",9.9
"Travis Etienne","JAC",9.8
"Adam Thielen","CAR",9.8
"Josh Downs","IND",9.8
"Marvin Harrison Jr","ARI",9.6
"Calvin Ridley","TEN",9.6
"Travis Kelce","KC",9.5
"Mark Andrews","BAL",9.4
"Quentin Johnston","LAC",9.1
"Jaylen Warren","PIT",8.9
"DeAndre Hopkins","KC",8.9
"Jalen McMillan","TB",8.8
"Rome Odunze","CHI",8.8
"Pat Freiermuth","PIT",8.7
"Xavier Worthy","KC",8.6
"Rashod Bateman","BAL",8.4
"Kyle Pitts","ATL",8.4
"Tyjae Spears","TEN",8.2
"Tank Dell","HOU",8.2
"Gus Edwards","LAC",8.1
"Romeo Doubs","GB",8.1
"Deebo Samuel","SF",8.1
"Keon Coleman","BUF",8.1
"Brenton Strange","JAC",8.1
"Ameer Abdullah","LV",8
"Ray-Ray McCloud","ATL",7.9
"Raheem Mostert","MIA",7.8
"Jalen Coker","CAR",7.8
"Tucker Kraft","GB",7.8
"Dalton Kincaid","BUF",7.8
"Cade Otton","TB",7.8
"Tank Bigsby","JAC",7.7
"Michael Wilson","ARI",7.6
"Christian Watson","GB",7.6
"T.J. Hockenson","MIN",7.6
"Marquez Valdes-Scantling","NO",7.4
"Michael Pittman Jr","IND",7.4
"Javonte Williams","DEN",7.3
"Demario Douglas","NE",7.3
"WanDale Robinson","NYG",7.3
"Amari Cooper","BUF",7.3
"Mike Gesicki","CIN",7.3
"Trey Benson","ARI",7.2
"Parker Washington","JAC",7.2
"Juwan Johnson","NO",7.2
"Calvin Austin III","PIT",7.1
"Nick Westbrook-Ikhine","TEN",7.1
"Isaiah Davis","NYJ",6.9
"Demarcus Robinson","LAR",6.9
"Elijah Moore","CLE",6.8
"Xavier Legette","CAR",6.8
"Justice Hill","BAL",6.7
"Marvin Mims","DEN",6.7
"Dalton Schultz","HOU",6.7
"Noah Gray","KC",6.7
"Tyler Allgeier","ATL",6.5
"Malik Washington","MIA",6.5
"Joshua Palmer","LAC",6.5
"Hunter Henry","NE",6.5
"Kareem Hunt","KC",6.4
"Tim Patrick","DET",6.4
"Jake Ferguson","DAL",6.4
"D'Onta Foreman","CLE",6.3
"Allen Lazard","NYJ",6.3
"Cole Kmet","CHI",6.3
"Kendrick Bourne","NE",6.2
"Tre Tucker","LV",6.2
"Tyler Lockett","SEA",6.1
"Ray Davis","BUF",5.9
"Andrei Iosivas","CIN",5.8
"Stone Smartt","LAC",5.8
"Jaleel McLaughlin","DEN",5.7
"Chigoziem Okonkwo","TEN",5.7
"Grant Calcaterra","PHI",5.7
"Austin Hooper","NE",5.6
"Devin Singletary","NYG",5.5
"Ricky Pearsall","SF",5.4
"Sterling Shepard","TB",5.4
"Foster Moreau","NO",5.4
"Khalil Herbert","CIN",5.3
"Devaughn Vele","DEN",5.3
"Colby Parkinson","LAR",5.3
"Antonio Gibson","NE",5.2
"Kimani Vidal","LAC",5.2
"Jalen Tolbert","DAL",5.2
"Tyler Boyd","TEN",5.2
"Brandin Cooks","DAL",5.2
"Tyler Conklin","NYJ",5.2
"Isaiah Likely","BAL",5.2
"Braelon Allen",,5.1
"Kevin Austin","NO",5
"Noah Fant","SEA",5
"Jamaal Williams","NO",4.8
"Cam Akers","MIN",4.8
"Kenneth Gainwell","PHI",4.8
"Mike Williams","PIT",4.8
"Dyami Brown","WAS",4.8
"Ty Johnson",,4.7
"Kayshon Boutte","NE",4.7
"Darius Slayton","NYG",4.7
"Jordan Akins","CLE",4.7
"Adonai Mitchell","IND",4.6
"Greg Dortch","ARI",4.4
"Tommy Tremble","CAR",4.3
"Ja'Tavion Sanders","CAR",4.3
"Luke Schoonmaker","DAL",4.3
"JuJu Smith-Schuster","KC",4.2
"Olamide Zaccheaus","WAS",4.2
"Ben Sinnott","WAS",4.2
"Tanner Hudson","CIN",4.2
"Craig Reynolds","DET",4.1
"Daniel Bellinger","NYG",4.1
"Josh Oliver","MIN",4.1
"Emanuel Wilson","GB",4
"Kenny McIntosh","SEA",3.9
"Jeremy McNichols","WAS",3.9
"Van Jefferson","PIT",3.8
"Devin Duvernay","JAC",3.8
"Blake Whiteheart","CLE",3.7
"John Metchie","HOU",3.5
"Mike Woods","CLE",3.5
"Josh Whyle","TEN",3.5
"Michael Mayer","LV",3.5
"Blake Corum","LAR",3.4
"Ezekiel Elliott","DAL",3.4
"Kyle Juszczyk","SF",3.3
"Nelson Agholor","BAL",3.2
"Dante Pettis","NO",3.1
"AJ Barner","SEA",3
"Cordarrelle Patterson",,2.9
"Gerald Everett","CHI",2.9
"Trey Sermon","IND",2.8
"Pierre Strong Jr",,2.8
"Audric Estime",,2.8
"Dawson Knox","BUF",2.7
"Elijah Higgins","ARI",2.6
"Lucas Krull","DEN",2.5
"Darrynton Evans","CHI",2.4
"Mike Boone","CAR",2.3
"Sean Tucker",,2.3
"Jalen Nailor","MIN",2.3
"Mo Alie-Cox","IND",2.3
"Chris Brooks",,2.1
"Sione Vaki",,2.1
"Adam Trautman","DEN",2.1
"River Cracraft","MIA",2
"Kylen Granson","IND",2
"Darnell Washington","PIT",2
"Dare Ogunbowale","HOU",1.9
"Luke Farrell","JAC",1.9
"Jahan Dotson","PHI",1.8
"Julian Hill","MIA",1.8
"Chris Manhertz","NYG",1.8
"Hunter Luepke",,1.7
"John Bates","WAS",1.7
"Samaje Perine",,1.6
"Terrace Marshall","LV",1.6
"Brock Wright","DET",1.6
"Charlie Woerner","ATL",1.6
"Tucker Fisk","LAC",1.6
"Hunter Long","LAR",1.6
"Travis Homer",,1.5
"Dylan Laube",,1.5
"JaMycal Hasty",,1.4
"Chris Rodriguez",,1.4
"Irv Smith Jr.","HOU",1.3
"Tyler Goodson",,1
"Alec Ingold",,1
"Ben Sims","GB",1
"George Holani",,0.8
"Dameon Pierce",,0.6
"DeeJay Dallas",,0.5
"Hassan Haskins",,0.5
"Ty Chandler",,0.3
"Will Shipley",,0.3
"Julius Chestnut",,0.2
"Rasheen Ali",,0.2
,"TB",
