"name","pos","team","PassAttempts","Completions","PassingYards","PassTDs","INTs","carries","rushYards","rushTDs","receptions","receivingYards","receivingTDs","halfFantasyPoints","fullFantasyPoints","recProps"
"Bryce Young","QB","CAR",39.7,24.8,230.1,1.4,0.8,3.3,19.6,0.2,0,0,0,16.4,16.4,""
"Kyler Murray","QB","ARI",30.3,19.3,186.8,1.2,0.8,4.8,30.5,0.4,0,0,0,16.1,16.1,""
"Jordan Love","QB","GB",29.7,18.9,216.4,1.5,0.5,2.6,11.9,0.1,0,0,0,15.4,15.4,""
"Spencer Rattler","QB","NO",30.5,18.9,182.3,0.8,1.1,2.5,13.2,0.2,0,0,0,10.8,10.8,""
"Caleb Williams","QB","CHI",35.4,22.6,212,1.3,0.9,7.6,31.3,0.1,0,0,0,15.6,15.6,""
"Jared Goff","QB","DET",38.9,25.4,274.7,1.9,0.6,1.7,5.3,0.1,0,0,0,18.5,18.5,""
"Patrick Mahomes","QB","KC",33.1,21.4,218.9,1.4,0.7,2.6,14.1,0.1,0,0,0,15,15,""
"C.J. Stroud","QB","HOU",33.5,21.8,224.2,1.4,0.6,3.7,15.1,0.1,0,0,0,15.5,15.5,""
"Anthony Richardson","QB","IND",30.1,14.1,194.6,1,1.1,9.8,51,0.6,0,0,0,18.3,18.3,""
"Mason Rudolph","QB","TEN",36.8,23.4,241.6,1.3,0.8,5.1,18.5,0.1,0,0,0,15.7,15.7,""
"Tua Tagovailoa","QB","MIA",37.4,25.1,258.3,1.6,0.8,2.3,6.3,0.1,0,0,0,16.4,16.4," -- Over UD Pass Plus Rush Yards of 250.5"
"Brock Purdy","QB","SF",32.2,20.9,220.5,1.4,0.8,4.3,19.7,0.2,0,0,0,16,16," -- Under UD Pass Plus Rush Yards of 258.5 -- Under PP Pass Plus Rush Yards of 259.5 -- Under PP Fantasy Score of 18.5"
"Josh Allen","QB","BUF",36.4,23.7,270.1,1.6,0.7,8.5,44.3,0.8,0,0,0,25,25," -- Over PP Pass Attempts of 30 -- Over PP Completions of 19.5 -- Over UD Pass Yards of 233.5 -- Over PP Pass Yards of 236.5 -- Over UD Pass Plus Rush Yards of 271.5 -- Over PP Pass Plus Rush Yards of 270.5"
"Drake Maye","QB","NE",31.7,18.9,201.9,0.9,1,7.5,35.8,0.1,0,0,0,13.9,13.9," -- Over PP Rush Yards of: 26.5"
