"name","team","appHalfProjectedPoints"
"Josh Allen","BUF",25.3
"Lamar Jackson","BAL",22
"Jalen Hurts","PHI",20.3
"Bijan Robinson","ATL",19.5
"Baker Mayfield","TB",18.9
"JaMarr Chase","CIN",18.9
"Puka Nacua","LAR",18.9
"Jared Goff","DET",18.4
"Anthony Richardson","IND",18.4
"Jahmyr Gibbs","DET",18.4
"Sam Darnold","MIN",18.1
"James Conner","ARI",18.1
"Josh Jacobs","GB",18.1
"Jayden Daniels","WAS",17.9
"Saquon Barkley","PHI",17.9
"Joe Burrow","CIN",17.7
"Chase Brown","CIN",17.3
"Justin Herbert","LAC",17.2
"Bo Nix","DEN",17.1
"De'Von Achane","MIA",16.9
"Bryce Young","CAR",16.8
"Kyler Murray","ARI",16.6
"Matthew Stafford","LAR",16.6
"Aaron Rodgers","NYJ",16.5
"Brock Purdy","SF",16.4
"Jordan Love","GB",16.3
"Mason Rudolph","TEN",16.3
"Tua Tagovailoa","MIA",16.3
"Aidan O'Connell","LV",16.3
"Caleb Williams","CHI",16.1
"Davante Adams","NYJ",16.1
"Kyren Williams","LAR",15.6
"Derrick Henry","BAL",15.4
"Patrick Mahomes","KC",15.3
"James Cook","BUF",15.2
"Russell Wilson","PIT",15.1
"Joe Mixon","HOU",15.1
"Cooper Rush","DAL",14.9
"Chuba Hubbard","CAR",14.8
"Amon-Ra St Brown","DET",14.8
"C.J. Stroud","HOU",14.7
"Courtland Sutton","DEN",14.7
"CeeDee Lamb","DAL",14.7
"Mike Evans","TB",14.7
"Nico Collins","HOU",14.5
"George Kittle","SF",14.3
"Jaxon Smith-Njigba","SEA",14.2
"Brock Bowers","LV",14.1
"Drake Maye","NE",14
"Justin Jefferson","MIN",14
"Brian Thomas Jr","JAC",13.9
"Geno Smith","SEA",13.8
"Rico Dowdle","DAL",13.8
"Tee Higgins","CIN",13.8
"Ladd McConkey","LAC",13.7
"Bucky Irving","TB",13.6
"Aaron Jones","MIN",13.4
"Malik Nabers","NYG",13.4
"Garrett Wilson","NYJ",13.4
"Cooper Kupp","LAR",13.4
"Mac Jones","JAC",13.3
"Jonathan Taylor","IND",13.3
"Jerry Jeudy","CLE",13.3
"Jordan Addison","MIN",13.3
"Michael Penix Jr.","ATL",13.1
"Brian Robinson","WAS",12.9
"Jauan Jennings","SF",12.8
"AJ Brown","PHI",12.8
"Jakobi Meyers","LV",12.6
"Drake London","ATL",12.4
"Drew Lock","NYG",12.2
"Tony Pollard","TEN",12.2
"Terry McLaurin","WAS",12.2
"Rachaad White","TB",11.9
"Tyrone Tracy","NYG",11.8
"Breece Hall","NYJ",11.8
"Tyreek Hill","MIA",11.8
"Rhamondre Stevenson","NE",11.7
"Kenneth Walker","SEA",11.7
"Alexander Mattison","LV",11.7
"Zay Flowers","BAL",11.7
"DeVonta Smith","PHI",11.5
"Isiah Pacheco","KC",11.3
"DJ Moore","CHI",11.3
"DK Metcalf","SEA",11.2
"D'Andre Swift","CHI",11.1
"Darnell Mooney","ATL",11.1
"Dorian Thompson-Robinson","CLE",11
"Jerome Ford","CLE",10.9
"Kendre Miller","NO",10.6
"Najee Harris","PIT",10.4
"Jayden Reed","GB",10.4
"Sam LaPorta","DET",10.4
"Jonnu Smith","MIA",10.4
"Keenan Allen","CHI",10.3
"Jameson Williams","DET",10.3
"Spencer Rattler","NO",10.2
"Khalil Shakir","BUF",10.2
"Josh Downs","IND",9.9
"Trey McBride","ARI",9.9
"Javonte Williams","DEN",9.8
"Calvin Ridley","TEN",9.8
"Adam Thielen","CAR",9.7
"Marvin Harrison Jr","ARI",9.6
"Travis Kelce","KC",9.6
"Travis Etienne","JAC",9.5
"Mark Andrews","BAL",9.4
"Tyjae Spears","TEN",9.2
"Zach Charbonnet","SEA",9.2
"Ameer Abdullah","LV",9.2
"DeAndre Hopkins","KC",9.2
"Brenton Strange","JAC",9.2
"Xavier Worthy","KC",9.1
"Jalen McMillan","TB",9.1
"Jaylen Warren","PIT",8.9
"Patrick Taylor","SF",8.8
"Rome Odunze","CHI",8.8
"Kyle Pitts","ATL",8.5
"Rashod Bateman","BAL",8.4
"Quentin Johnston","LAC",8.4
"Demario Douglas","NE",8.3
"Romeo Doubs","GB",8.3
"Pat Freiermuth","PIT",8.3
"Gus Edwards","LAC",8.1
"Jalen Coker","CAR",8.1
"Keon Coleman","BUF",8.1
"Raheem Mostert","MIA",7.9
"Tank Bigsby","JAC",7.9
"Deebo Samuel","SF",7.9
"Tank Dell","HOU",7.8
"Ray-Ray McCloud","ATL",7.8
"Tucker Kraft","GB",7.8
"Dalton Kincaid","BUF",7.8
"Cade Otton","TB",7.8
"Michael Wilson","ARI",7.6
"Christian Watson","GB",7.6
"T.J. Hockenson","MIN",7.6
"Michael Pittman Jr","IND",7.5
"Joshua Palmer","LAC",7.5
"Mike Gesicki","CIN",7.5
"Marquez Valdes-Scantling","NO",7.4
"WanDale Robinson","NYG",7.3
"Amari Cooper","BUF",7.3
"Parker Washington","JAC",7.2
"Juwan Johnson","NO",7.2
"Calvin Austin III","PIT",7.1
"Tim Patrick","DET",7.1
"Devin Singletary","NYG",7
"Kendrick Bourne","NE",6.9
"Marvin Mims","DEN",6.9
"Demarcus Robinson","LAR",6.9
"Isaiah Davis","NYJ",6.8
"Elijah Moore","CLE",6.8
"Hunter Henry","NE",6.8
"Justice Hill","BAL",6.7
"Dalton Schultz","HOU",6.7
"Nick Westbrook-Ikhine","TEN",6.6
"Tyler Allgeier","ATL",6.5
"David Moore","CAR",6.5
"Jake Ferguson","DAL",6.5
"Tyler Lockett","SEA",6.4
"Noah Gray","KC",6.4
"D'Onta Foreman","CLE",6.3
"Cole Kmet","CHI",6.3
"Tre Tucker","LV",6.2
"Allen Lazard","NYJ",6.2
"Ray Davis","BUF",5.9
"Austin Hooper","NE",5.9
"Isaiah Likely","BAL",5.9
"Antonio Gibson","NE",5.8
"Andrei Iosivas","CIN",5.8
"Stone Smartt","LAC",5.8
"Kareem Hunt","KC",5.7
"Malik Washington","MIA",5.7
"Chigoziem Okonkwo","TEN",5.7
"Grant Calcaterra","PHI",5.6
"Tyler Conklin","NYJ",5.6
"Devaughn Vele","DEN",5.5
"Foster Moreau","NO",5.4
"Kimani Vidal","LAC",5.3
"Jalen Tolbert","DAL",5.3
"Colby Parkinson","LAR",5.3
"Tyler Boyd","TEN",5.2
"Brandin Cooks","DAL",5.2
"Sterling Shepard","TB",5.2
"Kevin Austin","NO",5.1
"Ricky Pearsall","SF",5.1
"Roschon Johnson","CHI",5
"Audric Estime","DEN",5
"Braelon Allen",,4.9
"Jamaal Williams","NO",4.8
"Cam Akers","MIN",4.8
"Kenneth Gainwell","PHI",4.8
"Mike Williams","PIT",4.8
"Dyami Brown","WAS",4.8
"Kayshon Boutte","NE",4.8
"Tommy Tremble","CAR",4.8
"Khalil Herbert","CIN",4.7
"Ty Johnson",,4.7
"Darius Slayton","NYG",4.7
"Jordan Akins","CLE",4.7
"Ja'Tavion Sanders","CAR",4.7
"Adonai Mitchell","IND",4.6
"Daniel Bellinger","NYG",4.5
"Greg Dortch","ARI",4.4
"Noah Fant","SEA",4.3
"Ben Sinnott","WAS",4.3
"Luke Schoonmaker","DAL",4.3
"Craig Reynolds","DET",4.2
"Olamide Zaccheaus","WAS",4.2
"Josh Oliver","MIN",4.1
"Emanuel Wilson","GB",4
"JuJu Smith-Schuster","KC",4
"Ke'Shawn Vaughn","SF",3.9
"Jeremy McNichols","WAS",3.9
"Van Jefferson","PIT",3.8
"Mike Woods","CLE",3.8
"Devin Duvernay","JAC",3.8
"Ezekiel Elliott","DAL",3.7
"Blake Whiteheart","CLE",3.7
"DeeJay Dallas","ARI",3.6
"Robert Woods","HOU",3.5
"Josh Whyle","TEN",3.5
"Blake Corum","LAR",3.4
"Michael Mayer","LV",3.3
"Dante Pettis","NO",3.1
"Tylan Wallace","BAL",3.1
"Hayden Hurst","LAC",3
"Cordarrelle Patterson",,2.9
"Gerald Everett","CHI",2.9
"AJ Barner","SEA",2.9
"Pierre Strong Jr",,2.8
"Dawson Knox","BUF",2.7
"Trey Sermon","IND",2.6
"Lucas Krull","DEN",2.6
"Elijah Higgins","ARI",2.6
"Drew Sample","CIN",2.6
"Mike Boone","CAR",2.5
"Kyle Juszczyk",,2.4
"Sean Tucker",,2.3
"Jalen Nailor","MIN",2.3
"Mo Alie-Cox","IND",2.3
"Adam Trautman","DEN",2.3
"Chris Brooks",,2.1
"Sione Vaki",,2.1
"River Cracraft","MIA",2.1
"Kylen Granson","IND",2
"Brock Wright","DET",2
"Darnell Washington","PIT",2
"Dare Ogunbowale","HOU",1.9
"Jahan Dotson","PHI",1.9
"Eric Saubert","SF",1.9
"Julian Hill","MIA",1.8
"Hunter Luepke",,1.7
"Terrace Marshall","LV",1.7
"John Bates","WAS",1.7
"Samaje Perine",,1.6
"Charlie Woerner","ATL",1.6
"Hunter Long","LAR",1.6
"Irv Smith Jr.","HOU",1.5
"Luke Farrell","JAC",1.5
"Chris Rodriguez",,1.4
"Chris Manhertz","NYG",1.4
"Alec Ingold",,1
"Ben Sims","GB",1
"Tyler Goodson",,0.8
"Dameon Pierce",,0.6
"Dylan Laube",,0.5
"Hassan Haskins",,0.5
"Ty Chandler",,0.3
"Will Shipley",,0.3
"Julius Chestnut",,0.2
,"TB",
"Jeremy Ruckert","NYJ",1.4
"Rasheen Ali",,0.2
