"name","team","appFullProjectedPoints","appProjPassAttempts","appProjCompletions","appProjPassingYards","appProjPassTDs","appProjINTs","appProjQBRushAttempts","appProjQBRushYards","appProjQBRushTDs","astroQBProjection","astroSixPtTDQBProjection"
"Jordan Love","GB",20.4,34.1,21.6,259.3,2.3,0.6,1.9,10,0.1,20,24.6
"Lamar Jackson","BAL",20.2,29.6,17.9,199.7,1.4,0.7,9.3,54.9,0.4,20.1,22.9
"Jalen Hurts","PHI",19.7,33.3,20.8,223.9,1.3,0.9,9.9,41.3,0.5,19.5,22.1
"Josh Allen","BUF",19.2,31.5,20.4,229.8,1.5,1,6.3,30.9,0.4,18.7,21.7
"Patrick Mahomes","KC",18.8,36.3,23.9,236.2,1.7,0.7,3.8,22.2,0.3,18.9,22.3
"Baker Mayfield","TB",18.4,37.4,23.2,235,1.7,0.7,5.3,21.3,0.1,17.5,20.9
"Joe Burrow","CIN",18,35.5,23.8,253.9,1.7,0.9,4.6,16.4,0.1,17.4,20.8
"Brock Purdy","SF",17.9,34.3,22.2,243.9,1.5,0.6,3.5,14.2,0.1,16.6,19.6
"C.J. Stroud","HOU",17.4,34.2,22.5,241,1.6,0.7,2.9,12.7,0.2,17.1,20.3
"Jared Goff","DET",17.4,34.5,22.7,259.4,1.8,0.6,1.4,4.5,0.1,17.4,21
"Dak Prescott","DAL",17.1,41.4,27.1,271.8,1.6,0.9,1.6,7.2,0.2,17.4,20.6
"Anthony Richardson","IND",17,33.8,20.8,222.5,1.2,1,8,41,0.1,16.4,18.8
"Bo Nix","DEN",16.5,31.9,19.6,169.9,1.2,0.7,5.2,26.7,0.5,15.9,18.3
"Sam Darnold","MIN",16.5,30.4,19.8,228.8,1.5,0.8,5.3,15.3,0.1,15.7,18.7
"Geno Smith","SEA",16.4,39.9,25.7,253.9,1.3,0.9,3,16.2,0.2,16.4,19
"Matthew Stafford","LAR",16.4,40.5,26.3,275.6,1.5,0.7,1.3,4.8,0.1,16.7,19.7
"Tua Tagovailoa","MIA",16.2,32.9,21.6,239.5,1.5,0.9,4.5,12.2,0.2,16.2,19.2
"Aaron Rodgers","NYJ",16.2,37,24.1,235.8,1.6,0.8,1.5,6.9,0.2,16.1,19.3
"Russell Wilson","PIT",16.2,29.4,17.6,195.6,1,0.5,7.2,32.1,0.3,15.8,17.8
"Marcus Mariota","WAS",16.1,37.3,23.4,240.7,1.2,0.9,6.2,28.1,0.1,16,18.4
"Kyler Murray","ARI",15.8,29.4,18.4,181.6,1.1,0.8,5.4,35.1,0.2,14.8,17
"Caleb Williams","CHI",15.7,30.6,19.7,207.8,1.3,0.8,5.3,24,0.1,14.9,17.5
"Jameis Winston","CLE",15.7,39.1,24,285.4,1.2,0.9,4.8,12.3,0.1,16.2,18.6
"Drake Maye","NE",15.4,33.2,19.7,199.2,0.9,0.9,8.9,44.1,0.1,14.8,16.6
"Kirk Cousins","ATL",15.3,33.3,21.3,237.2,1.6,0.7,0.4,0.3,0.1,15.1,18.3
"Trevor Lawrence","JAC",13.9,30.9,19.6,210.2,1.2,0.8,2.4,12.4,0.1,13.4,15.8
"Justin Herbert","LAC",13.8,29.9,18.9,202.7,1.3,0.8,1.8,6.7,0.2,13.6,16.2
"Mason Rudolph","TEN",13.8,36.5,23.1,232.9,1.1,0.8,5.1,15.8,0.1,14.3,16.5
"Daniel Jones","NYG",13.1,33.8,20.9,196.8,0.9,0.9,5.6,25.5,0.2,13.4,15.2
"Spencer Rattler","NO",11.8,30.9,19.4,161.3,0.9,0.9,4.6,23.9,0.1,11.2,13
"Gardner Minshew","LV",11.8,36,22.5,213.2,1,0.8,2.7,8.2,0.1,12.3,14.3
"Bryce Young","CAR",7.9,27.8,16.9,142.8,0.7,0.7,1,4.9,0.1,8.2,9.6
