"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfRBProjection","astroFullRBProjection"
"Breece Hall","NYJ",18.9,19,86.1,0.8,4,38.5,0.2,4.3,1.7,6,20.5,22.5
"Kenneth Walker","SEA",18,16,71.3,0.8,3.9,28.8,0.3,3.5,1.3,4.8,18.6,20.5
"Joe Mixon","HOU",17.7,18.8,85.7,0.9,2.7,22.6,0.2,4.3,1,5.3,18.8,20.1
"Saquon Barkley","PHI",17.5,18,94.5,0.7,2.6,16.9,0.3,4.8,0.8,5.6,18.4,19.7
"Derrick Henry","BAL",17.1,18.9,99.5,1,1,7,0.2,5,0.3,5.3,18.4,18.9
"Kareem Hunt","KC",15.7,19.9,79.1,0.8,2,14.9,0.2,3.9,0.7,4.6,16.4,17.4
"Kyren Williams","LAR",15.6,16.8,77.8,0.8,2.1,11.2,0.2,3.9,0.6,4.5,16,17
"JK Dobbins","LAC",15.4,17.1,76.4,0.8,2.5,13,0.2,3.8,0.6,4.4,16.2,17.4
"Jahmyr Gibbs","DET",15.4,13.6,69.1,0.6,2.7,27.2,0.2,3.5,1.2,4.7,15.8,17.1
"Jordan Mason","SF",15.4,17.1,87.5,0.7,1.7,14.6,0.2,4.4,0.6,5,16.5,17.3
"Aaron Jones","MIN",15.3,14.4,68.2,0.5,3.4,31.2,0.2,3.4,1.4,4.8,15.8,17.5
"Bijan Robinson","ATL",15.3,13.6,70.8,0.6,2.9,26,0.2,3.6,1.2,4.8,15.9,17.4
"Alvin Kamara","NO",14.9,14.9,62.6,0.5,4.6,29.4,0.2,3.2,1.4,4.6,15.7,18
"James Conner","ARI",14.2,15.5,72.9,0.7,1.8,17.6,0.1,3.7,0.8,4.5,14.8,15.7
"Chuba Hubbard","CAR",13.9,18,74.8,0.6,2.7,12.4,0.2,3.7,0.6,4.3,14.9,16.2
"Brian Robinson","WAS",13.9,16.1,76.8,0.8,1.2,10.1,0.1,3.8,0.5,4.3,14.7,15.3
"David Montgomery","DET",13.9,12.5,54.4,0.7,2.2,25.7,0.2,2.7,1.2,3.9,14.5,15.6
"D'Andre Swift","CHI",13.8,14.8,63.6,0.5,3.1,31.4,0.1,3.2,1.5,4.7,14.7,16.2
"Tony Pollard","TEN",13.8,16.4,67.4,0.6,2.8,16.3,0.2,3.3,0.7,4,14.6,16
"Javonte Williams","DEN",13.7,12.9,54.5,0.7,2.9,21.2,0.2,2.8,1,3.8,14.4,15.9
"Josh Jacobs","GB",13.7,18.9,77.2,0.5,2.3,17.1,0.2,3.9,0.8,4.7,14.8,15.9
"Jonathan Taylor","IND",13.6,17.2,73.8,0.7,1.5,11.5,0.2,3.7,0.6,4.3,14.7,15.4
"De'Von Achane","MIA",13.6,7.5,46.6,0.6,4,33.9,0.2,2.3,1.6,3.9,14.9,16.9
"James Cook","BUF",13.6,12.6,63.4,0.6,1.9,18.8,0.2,3.2,0.8,4,14,14.9
"Najee Harris","PIT",13.5,16.2,71,0.6,2,18.7,0.1,3.5,0.9,4.4,14.2,15.2
"Chase Brown","CIN",12.3,12.6,59.7,0.6,2.2,14.4,0.2,3,0.6,3.6,13.3,14.4
"Rhamondre Stevenson","NE",12.2,13.7,60.5,0.7,2.1,9.9,0.1,3.1,0.5,3.6,12.9,13.9
