"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfWRProjection","astroFullWRProjection"
"Brock Bowers","LV",12.9,0,0,0,6.5,70.5,0.5,0,3.7,3.7,13.3,16.6
"Kyle Pitts","ATL",11.3,0,0,0,4.5,62.7,0.5,0,3.1,3.1,11.5,13.8
"Travis Kelce","KC",10.9,0,0,0,5.4,58.3,0.4,0,3.1,3.1,10.9,13.6
"Cade Otton","TB",10.9,0,0,0,5.1,57.9,0.5,0,3,3,11.3,13.9
"David Njoku","CLE",9.9,0,0,0,4.8,56.9,0.3,0,2.9,2.9,9.9,12.3
"Trey McBride","ARI",9.3,0,0,0,5.4,60,0.3,0,3.2,3.2,10.5,13.2
"Dalton Kincaid","BUF",9.2,0,0,0,4.7,47.8,0.4,0,2.5,2.5,9.5,11.9
"Cole Kmet","CHI",8.6,0,0,0,3.8,45.9,0.4,0,2.4,2.4,8.9,10.8
"Evan Engram","JAC",8.4,0,0,0,4.9,48,0.2,0,2.6,2.6,8.5,10.9
"Mark Andrews","BAL",8.3,0,0,0,3.5,38.2,0.5,0,2.1,2.1,8.6,10.3
"Tucker Kraft","GB",7.9,0,0,0,2.9,36.6,0.5,0,1.9,1.9,8.1,9.6
"Sam LaPorta","DET",7.8,0,0,0,3.2,41,0.4,0,2.1,2.1,8.1,9.7
"Jake Ferguson","DAL",7.7,0,0,0,4.8,38.3,0.3,0,2.3,2.3,8,10.4
"Jonnu Smith","MIA",7.3,0,0,0,3.4,40.3,0.3,0,2.1,2.1,7.5,9.2
"Zach Ertz","WAS",7.2,0,0,0,3.6,40,0.3,0,2.1,2.1,7.6,9.4
"Hunter Henry","NE",7,0,0,0,3.2,44.5,0.2,0,2.2,2.2,7.3,8.9
"Juwan Johnson","NO",7,0,0,0,3.6,37.5,0.3,0,2.1,2.1,7.3,9.2
"Taysom Hill","NO",6.8,4.2,24.8,0.5,0.6,9.6,0.2,1,0.5,1.5,7.9,8.2
"Dalton Schultz","HOU",6.6,0,0,0,3.6,36.1,0.3,0,1.9,1.9,7.2,9
"Tyler Conklin","NYJ",6.3,0,0,0,3.5,30.9,0.3,0,1.8,1.8,6.6,8.4
"Mike Gesicki","CIN",6.2,0,0,0,3,36.7,0.2,0,1.9,1.9,6.4,7.9
"AJ Barner","SEA",6.2,0,0,0,3.3,34.3,0.2,0,1.8,1.8,6.3,7.9
"Will Dissly","LAC",5.8,0,0,0,3.5,34.1,0.2,0,1.9,1.9,6.4,8.1
"T.J. Hockenson","MIN",5.7,0,0,0,3.4,38,0.3,0,2,2,7.3,9
"Colby Parkinson","LAR",5.5,0,0,0,3,30.2,0.2,0,1.7,1.7,5.7,7.2
"Isaiah Likely","BAL",5.3,0,0,0,2.7,23.8,0.3,0,1.3,1.3,5.5,6.9
"Noah Gray","KC",5.2,0,0,0,2.3,31.5,0.2,0,1.6,1.6,5.5,6.7
"Brenton Strange","JAC",5.1,0,0,0,2.1,25.3,0.3,0,1.4,1.4,5.4,6.4
"Mo Alie-Cox","IND",4.8,0,0,0,1.9,27.9,0.2,0,1.4,1.4,4.9,5.9
"Grant Calcaterra","PHI",4.6,0,0,0,1.9,29,0.2,0,1.4,1.4,5.1,6
"Chigoziem Okonkwo","TEN",4.5,0,0,0,2.4,23.4,0.2,0,1.3,1.3,4.7,5.9
"Lucas Krull","DEN",4.3,0,0,0,2.2,24.3,0.2,0,1.2,1.2,4.7,5.8
"Theo Johnson","NYG",4.3,0,0,0,2.3,23.4,0.2,0,1.2,1.2,4.7,5.8
"Ja'Tavion Sanders","CAR",4,0,0,0,2.1,19.6,0.2,0,1.1,1.1,4.2,5.3
"Tommy Tremble","CAR",4,0,0,0,2.2,19.8,0.2,0,1.2,1.2,4.3,5.4
"Josh Whyle","TEN",4,0,0,0,1.8,21.3,0.2,0,1.1,1.1,4.2,5.1
"Jordan Akins","CLE",3.9,0,0,0,1.7,21,0.2,0,1.1,1.1,4.2,5
"Erick All","CIN",3.8,0,0,0,2.5,16.8,0.2,0,1.1,1.1,4.1,5.4
"Hayden Hurst","LAC",3.7,0,0,0,1.6,20.8,0.2,0,1,1,4.1,4.9
"Dawson Knox","BUF",3.5,0,0,0,1.4,17.7,0.2,0,0.8,0.8,3.7,4.4
"Adam Trautman","DEN",3.1,0,0,0,1,17.8,0.2,0,0.9,0.9,3.5,4
"Johnny Mundt","MIN",3,0,0,0,1.1,11.9,0.3,0,0.7,0.7,3.5,4.1
"Brock Wright","DET",3,0,0,0,1.4,15,0.2,0,0.8,0.8,3.4,4.1
"Austin Hooper","NE",2.9,0,0,0,1.2,14,0.2,0,0.7,0.7,3.2,3.8
"Elijah Higgins","ARI",2.8,0,0,0,1.7,9.1,0.2,0,0.6,0.6,3,3.8
"Cade Stover","HOU",2.5,0,0,0,1.2,10.8,0.2,0,0.7,0.7,2.9,3.5
"Pharaoh Brown","SEA",2.5,0,0,0,1.1,11.1,0.2,0,0.6,0.6,2.9,3.4
"Gerald Everett","CHI",2.3,0,0,0,2.5,6.9,0.1,0,0.6,0.6,2.5,3.8
"Luke Schoonmaker","DAL",2.3,0,0,0,1.4,12.9,0.1,0,0.7,0.7,2.6,3.3
"Daniel Bellinger","NYG",2,0,0,0,1.1,10.9,0.1,0,0.6,0.6,2.2,2.8
"Andrew Ogletree","IND",1.9,0,0,0,1.1,8.8,0.2,0,0.6,0.6,2.6,3.2
"Harrison Bryant","LV",1.8,0,0,0,1,10.4,0.1,0,0.6,0.6,2.1,2.6
"Jack Stoll","PHI",1.8,0,0,0,0.8,9.5,0.1,0,0.5,0.5,2,2.4
"Hunter Long","LAR",1.8,0,0,0,0.9,10.4,0.1,0,0.5,0.5,2.1,2.5
"Charlie Woerner","ATL",1.5,0,0,0,0.7,8.1,0.1,0,0.4,0.4,1.8,2.1
"Jeremy Ruckert","NYJ",1.4,0,0,0,1,5.7,0.1,0,0.4,0.4,1.7,2.2
"Ben Sinnott","WAS",1.4,0,0,0,0.7,7.8,0.1,0,0.7,0.7,1.7,2.1
"Tanner Conner","MIA",1,0,0,0,0.3,4.1,0.1,0,0.2,0.2,1.2,1.3
