"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfWRProjection","astroFullWRProjection"
"CeeDee Lamb","DAL",18.3,1.1,7.6,0.1,7,88.5,0.8,0.3,4.4,4.7,18.5,22
"AJ Brown","PHI",17,0,0,0,7,94.5,0.7,0,4.6,4.6,17.1,20.6
"Justin Jefferson","MIN",16.7,0.1,0.6,0,6.4,98.6,0.6,0,4.5,4.5,16.7,19.9
"JaMarr Chase","CIN",15.9,0,0,0,6.2,93.2,0.6,0,4.3,4.3,16,19.1
"Drake London","ATL",15.7,0,0,0,6.5,77.7,0.8,0,4,4,15.8,19.1
"Malik Nabers","NYG",14.9,0,0,0,7.6,81.8,0.5,0,4.4,4.4,15,18.8
"Cooper Kupp","LAR",13.8,0,0,0,6.4,77.8,0.5,0,4,4,14,17.2
"Amon-Ra St Brown","DET",12.7,0,0,0,5.6,65.1,0.6,0,3.4,3.4,12.9,15.7
"DeVonta Smith","PHI",12.7,0,0,0,5.6,69.3,0.5,0,3.5,3.5,12.7,15.5
"Darnell Mooney","ATL",12.6,0,0,0,4.8,72.8,0.5,0,3.3,3.3,12.7,15.1
"Davante Adams","NYJ",12.4,0,0,0,5.1,64.4,0.6,0,3.2,3.2,12.6,15.1
"Garrett Wilson","NYJ",12.4,0.3,1.2,0,5.8,64.5,0.5,0,3.5,3.5,12.5,15.4
"Terry McLaurin","WAS",12.3,0,0,0,4.8,70.5,0.5,0,3.3,3.3,12.5,14.9
"Josh Downs","IND",12.1,0.2,1.4,0,7.2,62.4,0.4,0.1,3.7,3.8,12.4,16
"Puka Nacua","LAR",11.8,0.6,4.2,0,4.9,70.1,0.4,0.2,3.3,3.5,12.3,14.7
"Tyreek Hill","MIA",11.5,1.1,4.8,0,4.8,61,0.5,0.2,3,3.2,12,14.4
"Brian Thomas Jr","JAC",11.4,0.4,2.2,0,3.6,63.2,0.5,0.1,2.8,2.9,11.3,13.1
"Jayden Reed","GB",11.3,1.6,15.5,0.1,4,56.6,0.3,0.6,2.7,3.3,11.6,13.6
"DJ Moore","CHI",11.2,0.6,2.7,0,4.9,57,0.5,0.1,2.9,3,11.4,13.9
"Chris Olave","NO",11.1,0.2,1.2,0,4.7,64.5,0.4,0.1,3.1,3.2,11.3,13.7
"Courtland Sutton","DEN",11.1,0,0,0,3.8,59,0.6,0,2.6,2.6,11.4,13.3
"Ladd McConkey","LAC",11.1,0,0,0,4.5,56.7,0.6,0,2.8,2.8,11.5,13.8
"Khalil Shakir","BUF",10.8,0,0,0,5.5,54.9,0.5,0,3,3,11.2,14
"Zay Flowers","BAL",10.4,0.2,1.7,0,5.1,57.8,0.4,0.1,3,3.1,10.9,13.5
"Michael Pittman Jr","IND",10.4,0,0,0,4.7,48.2,0.6,0,2.7,2.7,10.8,13.1
"Amari Cooper","BUF",10.2,0,0,0,3.3,52.2,0.6,0,2.4,2.4,10.5,12.1
"Calvin Ridley","TEN",9.9,1.1,5.3,0,3.8,58.6,0.3,0.2,2.7,2.9,10.1,12
"Marvin Harrison Jr","ARI",9.6,0,0,0,3.1,50.3,0.6,0,2.3,2.3,10.2,11.7
"Jaxon Smith-Njigba","SEA",9.6,0,0,0,5.2,57.1,0.3,0,3,3,10.1,12.7
"Jakobi Meyers","LV",9.4,0,0,0,4.8,54.4,0.3,0,2.9,2.9,9.6,12
"Cedric Tillman","CLE",9.3,0,0,0,4,57.4,0.4,0,2.8,2.8,10.1,12.1
"Tank Dell","HOU",9.2,0.7,3.6,0,3.8,49.9,0.5,0.2,2.4,2.6,10.3,12.2
"Xavier Worthy","KC",9.1,1,8.2,0.1,3,33.3,0.5,0.4,1.8,2.2,9.3,10.8
"Keon Coleman","BUF",9.1,0,0,0,2.9,53.7,0.4,0,2.3,2.3,9.2,10.7
"Jaylen Waddle","MIA",9.1,0.3,1.2,0,4.2,55.3,0.4,0.1,2.7,2.8,10.2,12.3
"Jalen Tolbert","DAL",9.1,0,0,0,4.2,47,0.4,0,2.5,2.5,9.2,11.3
"Keenan Allen","CHI",9,0,0,0,4.1,42.2,0.5,0,2.3,2.3,9.3,11.3
"WanDale Robinson","NYG",9,0.2,2.6,0,5.6,37,0.4,0.1,2.5,2.6,9.2,12
"Tyler Lockett","SEA",9,0,0,0,4.2,52.5,0.3,0,2.6,2.6,9.2,11.3
"Romeo Doubs","GB",8.8,0,0,0,3.9,52.9,0.3,0,2.5,2.5,9,11
"Diontae Johnson","BAL",8.6,0,0,0,3.6,47.3,0.4,0,2.3,2.3,8.9,10.7
"Jordan Addison","MIN",8.1,0.4,1.7,0.1,2.6,39.1,0.4,0.1,1.7,1.8,8.4,9.7
"DeAndre Hopkins","KC",7.8,0,0,0,2.8,40.8,0.4,0,1.9,1.9,7.9,9.3
"Rome Odunze","CHI",7.8,0.3,1.9,0,3.9,46.9,0.2,0.1,2.4,2.5,8,10
"Christian Watson","GB",7.8,0,0,0,3.4,37.4,0.4,0,2,2,7.8,9.5
"Darius Slayton","NYG",7.8,0,0,0,3.2,46.6,0.3,0,2.2,2.2,8.1,9.7
"Demarcus Robinson","LAR",7.8,0,0,0,2.9,39.3,0.4,0,1.9,1.9,7.8,9.2
"Michael Wilson","ARI",7.4,0,0,0,3.4,36.7,0.4,0,2,2,7.8,9.5
"Xavier Legette","CAR",7.3,0.4,2.7,0,3.2,31.9,0.4,0.1,1.7,1.8,7.5,9.1
"Jalen Coker","CAR",7.2,0,0,0,3.5,38.7,0.3,0,2,2,7.4,9.2
"Quentin Johnston","LAC",7.1,0,0,0,3.2,38.2,0.3,0,2,2,7.2,8.8
"Alec Pierce","IND",7,0,0,0,2,50.7,0.2,0,1.9,1.9,7.3,8.3
"Rashod Bateman","BAL",6.9,0,0,0,2.6,42.3,0.3,0,1.9,1.9,7.3,8.6
"Jerry Jeudy","CLE",6.9,0,0,0,2.8,47.3,0.2,0,2,2,7.3,8.7
"Joshua Palmer","LAC",6.9,0,0,0,2.5,42.7,0.3,0,1.9,1.9,7.3,8.6
"Ray-Ray McCloud","ATL",6.4,0.3,3.3,0,3.2,36.9,0.2,0.1,1.9,2,6.8,8.4
"Jalen McMillan","TB",6.3,0,0,0,3.1,39.4,0.2,0,1.9,1.9,6.7,8.2
"Demario Douglas","NE",6.3,0.3,2,0,3.2,36.6,0.2,0.1,1.9,2,6.7,8.3
"Noah Brown","WAS",6.3,0,0,0,2.4,35.9,0.3,0,1.7,1.7,6.6,7.8
"Elijah Moore","CLE",6.3,0,0,0,3.4,33.2,0.3,0,1.8,1.8,6.8,8.5
"Kalif Raymond","DET",6.2,0.4,3.6,0,2.7,34.2,0.2,0.2,1.7,1.9,6.3,7.7
"Devaughn Vele","DEN",6,0,0,0,2.8,36.1,0.2,0,1.8,1.8,6.2,7.6
"Tre Tucker","LV",6,0.3,2.2,0,2.5,31.7,0.3,0.1,1.6,1.7,6.4,7.7
"Gabe Davis","JAC",5.9,0,0,0,2.8,29.9,0.3,0,1.6,1.6,6.2,7.6
"Jalen Nailor","MIN",5.8,0,0,0,2.1,32.7,0.3,0,1.5,1.5,6.1,7.2
"Trey Palmer","TB",5.8,0,0,0,2.1,32.7,0.3,0,1.5,1.5,6.1,7.2
"Tyler Boyd","TEN",5.7,0,0,0,2.9,28.9,0.3,0,1.7,1.7,6.1,7.6
"Tim Patrick","DET",5.6,0,0,0,2.4,30.6,0.3,0,1.5,1.5,6.1,7.3
"DJ Turner","LV",5.5,0,0,0,2.5,28.4,0.3,0,1.5,1.5,5.9,7.1
"Andrei Iosivas","CIN",5.5,0,0,0,1.9,23.5,0.4,0,1.1,1.1,5.7,6.7
"Kayshon Boutte","NE",5.4,0,0,0,1.7,35.8,0.2,0,1.5,1.5,5.6,6.5
"John Metchie","HOU",5.4,0,0,0,2.5,27.6,0.3,0,1.4,1.4,5.8,7.1
"KaVontae Turpin","DAL",5.4,0.2,1.8,0,2.9,27.9,0.2,0.1,1.6,1.7,5.6,7.1
"Sterling Shepard","TB",5.3,0,0,0,2.4,33,0.2,0,1.6,1.6,5.7,6.9
"Nick Westbrook-Ikhine","TEN",5,0,0,0,2,28.1,0.2,0,1.3,1.3,5,6
"Mike Williams","NYJ",4.9,0,0,0,2,27.9,0.2,0,1.3,1.3,5,6
"LilJordan Humphrey","DEN",4.9,0,0,0,2,28.9,0.2,0,1.4,1.4,5.1,6.1
"Jermaine Burton","CIN",4.7,0,0,0,2.2,29.3,0.2,0,1.4,1.4,5.2,6.3
"Mason Tipton","NO",4.5,0,0,0,2.4,27.7,0.2,0,1.5,1.5,5.2,6.4
"Greg Dortch","ARI",4.5,0,0,0,2.8,23.9,0.2,0,1.4,1.4,5,6.4
"Parker Washington","JAC",4.3,0,0,0,2.2,30,0.1,0,1.5,1.5,4.7,5.8
"Robert Woods","HOU",4.2,0,0,0,1.7,27.6,0.2,0,1.2,1.2,4.8,5.7
"Justin Watson","KC",4.2,0,0,0,1.8,23.3,0.2,0,1.2,1.2,4.4,5.3
"Olamide Zaccheaus","WAS",4.1,0,0,0,2.2,20.9,0.2,0,1.2,1.2,4.4,5.5
"Cedrick Wilson","NO",3.6,0,0,0,1.7,17,0.2,0,0.9,0.9,3.8,4.6
"Jonathan Mingo","CAR",3.4,0.4,1.4,0,1.5,15.8,0.2,0.1,0.8,0.9,3.7,4.4
"Jake Bobo","SEA",3.3,0.1,0.5,0,1.2,17.5,0.2,0,0.8,0.8,3.6,4.2
"Jahan Dotson","PHI",3,0.3,2.6,0,1.9,14.2,0.1,0.2,0.9,1.1,3.2,4.2
"Malik Washington","MIA",2,0,0,0,1.4,9.2,0.1,0,0.6,0.6,2.2,2.9
"Tyquan Thornton","NE",2,0,0,0,0.8,11.2,0.1,0,0.5,0.5,2.1,2.5
