"name","team","appFullProjectedPoints","appProjPassAttempts","appProjCompletions","appProjPassingYards","appProjPassTDs","appProjINTs","appProjQBRushAttempts","appProjQBRushYards","appProjQBRushTDs","astroQBProjection","astroSixPtTDQBProjection"
"Lamar Jackson","BAL",23.3,35.9,21.8,242.9,1.6,0.6,10.7,57.3,0.4,23,26.2
"Jalen Hurts","PHI",21.2,32.4,20.6,230.6,1.5,0.6,10,40,0.4,20.4,23.4
"Jayden Daniels","WAS",19.7,33.5,21,222.5,1.2,0.9,9.6,51.5,0.3,18.9,21.3
"Kyler Murray","ARI",19.6,33.6,21.1,220,1.3,0.7,7.4,47.5,0.2,18.6,21.2
"Patrick Mahomes","KC",19.4,37.2,24.6,261.4,1.8,0.8,4,22.6,0.1,18.9,22.5
"Josh Allen","BUF",19.4,30.5,19.9,227.7,1.6,0.8,6,29.2,0.3,18.6,21.8
"Joe Burrow","CIN",18.7,34.8,23.5,254,1.8,0.9,4.4,15.6,0.2,18.3,21.9
"Baker Mayfield","TB",17.7,40.1,24.6,254.7,1.6,0.9,5.3,20.6,0.2,18,21.2
"Dak Prescott","DAL",17.6,41.6,27.7,261.1,1.9,1.1,1.2,5.7,0.2,17.6,21.4
"Sam Darnold","MIN",17.4,32.4,21.2,237,1.7,0.8,5.5,17.5,0.1,17,20.4
"Bo Nix","DEN",17.2,39.9,24,261.5,1.3,0.8,6.2,23.4,0.1,17,19.6
"Kirk Cousins","ATL",17.1,36.4,23.6,283.4,1.6,0.7,0.4,2.1,0.1,17.1,20.3
"Caleb Williams","CHI",16.8,33.5,21.2,225,1.4,0.9,6.3,30.4,0.2,17,19.8
"Jordan Love","GB",16.7,34.7,21.7,240.2,1.9,0.8,0.9,4.9,0.1,16.7,20.5
"Jared Goff","DET",16.5,35.1,23,251.8,1.7,0.9,1.4,5,0.1,16.2,19.6
"Derek Carr","NO",16.4,35.3,22.6,241.7,1.5,0.7,1.6,6.2,0.1,15.5,18.5
"Joe Flacco","IND",16.3,44.1,27.3,285.3,1.6,1.4,1.7,5.8,0.1,16.2,19.4
"Trevor Lawrence","JAC",16.2,39.7,24.9,258.3,1.4,0.9,3.1,16.5,0.1,16.4,19.2
"Jameis Winston","CLE",15.9,36.3,22.7,251.5,1.2,0.8,6.7,20.4,0.1,15.9,18.3
"Aaron Rodgers","NYJ",15.7,37.1,24,246.6,1.5,0.8,1.4,6.8,0.1,15.5,18.5
"Tua Tagovailoa","MIA",15.5,35.7,23.3,247.1,1.4,0.9,4.8,14.1,0.1,15.7,18.5
"Geno Smith","SEA",15.4,34.8,22.7,230.6,1.3,0.7,3,14.7,0.1,15.1,17.7
"Matthew Stafford","LAR",15.3,34,22.2,248.5,1.5,0.7,1.2,2.2,0.1,15.4,18.4
"C.J. Stroud","HOU",15.1,34.6,22.6,227.7,1.4,0.8,3.1,13.1,0.1,15,17.8
"Daniel Jones","NYG",14.6,33.6,21.1,191.3,1,0.9,5.3,25.2,0.2,13.6,15.6
"Justin Herbert","LAC",14.2,31,19.4,209.4,1.2,0.9,3,13.7,0.3,14.5,16.9
"Mason Rudolph","TEN",13.7,31.3,19.6,202.8,1.2,0.7,4.8,17.1,0.1,13.8,16.2
"Gardner Minshew","LV",13.1,34,21.8,218,1.1,0.9,2.4,6.3,0.2,13.2,15.4
"Bryce Young","CAR",11.3,33.7,20.8,172.8,1,0.9,1.2,8.6,0.3,11.8,13.8
"Jacoby Brissett","NE",9.8,28.6,16.8,168.3,0.8,0.8,2.5,13.2,0.1,10.3,11.9
"","SF",-0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"","PIT",-0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
