"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfRBProjection","astroFullRBProjection"
"Bijan Robinson","ATL",17.5,14,64.5,0.9,3.4,31.6,0.2,3.3,1.5,4.8,17.9,19.6
"Saquon Barkley","PHI",16.9,18,90.4,0.8,2.4,15,0.2,4.5,0.7,5.2,17.7,18.9
"Kyren Williams","LAR",16.7,18,81.8,0.8,2.2,12.5,0.3,4.1,0.6,4.7,17.1,18.2
"Joe Mixon","HOU",16.6,19,82.1,0.6,3.5,23.8,0.2,4.1,1.1,5.2,17.1,18.9
"Kenneth Walker","SEA",16.6,14.3,60.5,0.8,3.9,27.9,0.2,3,1.3,4.3,16.8,18.7
"Alvin Kamara","NO",16.4,13.8,63.8,0.6,4.7,37.5,0.2,3.2,1.7,4.9,17.3,19.6
"D'Andre Swift","CHI",16.3,17.2,78.8,0.6,2.7,30.5,0.2,3.9,1.4,5.3,17.1,18.4
"Derrick Henry","BAL",16.3,18.6,88.9,1,0.9,6.2,0.2,4.4,0.3,4.7,17.2,17.6
"Chuba Hubbard","CAR",16.1,19.9,91.1,0.6,2.9,12.3,0.2,4.6,0.6,5.2,16.6,18
"Tony Pollard","TEN",16,17.2,82.2,0.7,2.7,15.9,0.2,4.1,0.7,4.8,16.6,17.9
"Breece Hall","NYJ",15.3,15.3,68.4,0.5,3.7,35.8,0.2,3.4,1.7,5.1,16.5,18.3
"James Cook","BUF",15.3,13,67.2,0.7,2.3,23.3,0.2,3.3,1,4.3,15.6,16.8
"JK Dobbins","LAC",15.2,15.9,78.4,0.7,2.7,13,0.2,3.9,0.6,4.5,15.9,17.2
"Jahmyr Gibbs","DET",15,13.5,76.6,0.5,2.7,25,0.2,3.9,1.1,5,15.7,17.1
"Kareem Hunt","KC",14.6,18.4,72.4,0.8,2,16.1,0.2,3.6,0.7,4.3,15.9,16.9
"Devin Singletary","NYG",14.4,15.7,73.8,0.6,2.4,15.6,0.2,3.7,0.7,4.4,14.9,16.1
"James Conner","ARI",14.3,15.9,71.8,0.7,1.9,19,0.1,3.6,0.8,4.4,14.8,15.8
