"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfWRProjection","astroFullWRProjection"
"Brock Bowers","LV",13.1,0,0,0,6.8,73.4,0.4,0,3.9,3.9,13.1,16.5
"Kyle Pitts","ATL",11.4,0,0,0,4.6,64.4,0.5,0,3.2,3.2,11.7,14
"Travis Kelce","KC",10.9,0,0,0,5.4,57.6,0.4,0,3.1,3.1,10.9,13.6
"Cade Otton","TB",10.9,0,0,0,5.2,56.5,0.5,0,3.1,3.1,11.3,13.9
"David Njoku","CLE",9.9,0,0,0,4.9,56.5,0.3,0,3,3,9.9,12.4
"Trey McBride","ARI",9.3,0,0,0,5.4,60.6,0.3,0,3.2,3.2,10.6,13.3
"Dalton Kincaid","BUF",9.2,0,0,0,4.7,47.8,0.4,0,2.5,2.5,9.5,11.9
"Evan Engram","JAC",8.7,0,0,0,5.2,44.6,0.3,0,2.5,2.5,8.9,11.5
"Cole Kmet","CHI",8.6,0,0,0,3.8,45.9,0.4,0,2.4,2.4,8.9,10.8
"Mark Andrews","BAL",8.4,0,0,0,3.5,38.6,0.5,0,2,2,8.6,10.4
"Tucker Kraft","GB",8,0,0,0,2.9,37.4,0.5,0,1.9,1.9,8.2,9.6
"Sam LaPorta","DET",7.8,0,0,0,3.2,41,0.4,0,2.1,2.1,8.1,9.7
"Jake Ferguson","DAL",7.7,0,0,0,4.8,38.3,0.3,0,2.3,2.3,8,10.4
"Jonnu Smith","MIA",7.3,0,0,0,3.4,40.3,0.3,0,2.1,2.1,7.5,9.2
"Zach Ertz","WAS",7,0,0,0,3.7,38.2,0.3,0,2.1,2.1,7.5,9.3
"Juwan Johnson","NO",7,0,0,0,3.5,37.5,0.3,0,2,2,7.3,9.1
"Dalton Schultz","HOU",6.6,0,0,0,3.6,36.1,0.3,0,1.9,1.9,7.2,9
"Hunter Henry","NE",6.5,0,0,0,3.1,40.3,0.2,0,2,2,6.8,8.3
"Taysom Hill","NO",6.4,4.2,24.8,0.4,0.6,9.7,0.2,1,0.5,1.5,7.4,7.7
"Tyler Conklin","NYJ",6.3,0,0,0,3.5,31.1,0.3,0,1.8,1.8,6.7,8.4
"Brenton Strange","JAC",6.3,0,0,0,3.1,32.8,0.3,0,1.7,1.7,6.6,8.2
"Mike Gesicki","CIN",6.2,0,0,0,3,37.3,0.2,0,1.9,1.9,6.4,7.9
"T.J. Hockenson","MIN",5.7,0,0,0,3.6,37.5,0.3,0,2,2,7.3,9.2
"Will Dissly","LAC",5.7,0,0,0,3.3,33.1,0.2,0,1.8,1.8,6.2,7.8
"Noah Fant","SEA",5.5,0,0,0,2.9,30.9,0.2,0,1.7,1.7,5.7,7.2
"Colby Parkinson","LAR",5.5,0,0,0,3,30.7,0.2,0,1.7,1.7,5.8,7.3
"Noah Gray","KC",5.2,0,0,0,2.3,31.1,0.2,0,1.6,1.6,5.5,6.6
"Isaiah Likely","BAL",5.2,0,0,0,2.4,23.3,0.3,0,1.3,1.3,5.3,6.5
"Mo Alie-Cox","IND",4.8,0,0,0,1.9,27.9,0.2,0,1.4,1.4,4.9,5.9
"Grant Calcaterra","PHI",4.7,0,0,0,1.9,29,0.2,0,1.4,1.4,5.1,6
"Chigoziem Okonkwo","TEN",4.6,0,0,0,2.4,25.2,0.2,0,1.4,1.4,4.9,6.1
"Theo Johnson","NYG",4.5,0,0,0,2.4,23.4,0.2,0,1.2,1.2,4.7,5.9
"Lucas Krull","DEN",4.3,0,0,0,2.2,24.3,0.2,0,1.2,1.2,4.7,5.8
"Josh Whyle","TEN",4.3,0,0,0,1.9,23.9,0.2,0,1.2,1.2,4.5,5.5
"Ja'Tavion Sanders","CAR",4,0,0,0,2.2,19.8,0.2,0,1.1,1.1,4.3,5.4
"Tommy Tremble","CAR",4,0,0,0,2.2,19.8,0.2,0,1.2,1.2,4.3,5.4
"Erick All","CIN",3.8,0,0,0,2.5,16.8,0.2,0,1,1,4.1,5.4
"Jordan Akins","CLE",3.8,0,0,0,1.7,20.7,0.2,0,1.1,1.1,4.1,5
"AJ Barner","SEA",3.6,0,0,0,1.4,14.3,0.3,0,0.7,0.7,3.9,4.6
"Dawson Knox","BUF",3.2,0,0,0,1.2,15.9,0.2,0,0.8,0.8,3.4,4
"Adam Trautman","DEN",3.1,0,0,0,1,17.8,0.2,0,0.9,0.9,3.5,4
"Brock Wright","DET",3,0,0,0,1.4,15,0.2,0,0.8,0.8,3.4,4.1
"Elijah Higgins","ARI",2.8,0,0,0,1.7,9.2,0.2,0,0.6,0.6,3,3.8
"Austin Hooper","NE",2.8,0,0,0,1.2,13,0.2,0,0.7,0.7,3.1,3.7
"Cade Stover","HOU",2.5,0,0,0,1.2,10.8,0.2,0,0.7,0.7,2.9,3.5
"Gerald Everett","CHI",2.3,0,0,0,2.5,6.9,0.1,0,0.6,0.6,2.5,3.8
"Luke Schoonmaker","DAL",2.3,0,0,0,1.4,12.9,0.1,0,0.7,0.7,2.6,3.3
"Josh Oliver","MIN",2.2,0,0,0,0.9,10.3,0.1,0,0.4,0.4,2.1,2.5
"Stone Smartt","LAC",2.2,0,0,0,0.9,13.8,0.1,0,0.7,0.7,2.4,2.9
"Daniel Bellinger","NYG",2,0,0,0,1.1,10.9,0.1,0,0.6,0.6,2.2,2.8
"Andrew Ogletree","IND",1.9,0,0,0,1.1,8.8,0.2,0,0.6,0.6,2.6,3.2
"Harrison Bryant","LV",1.8,0,0,0,1,10.4,0.1,0,0.6,0.6,2.1,2.6
"Jack Stoll","PHI",1.8,0,0,0,0.8,9.5,0.1,0,0.5,0.5,2,2.4
"Hunter Long","LAR",1.8,0,0,0,0.9,10.5,0.1,0,0.5,0.5,2.1,2.6
"Julian Hill","MIA",1.6,0,0,0,0.8,7.4,0.1,0,0.5,0.5,1.7,2.1
"Jeremy Ruckert","NYJ",1.4,0,0,0,1,5.7,0.1,0,0.4,0.4,1.7,2.2
"Ben Sinnott","WAS",1.4,0,0,0,0.7,7.2,0.1,0,0.7,0.7,1.7,2
"Charlie Woerner","ATL",1.2,0,0,0,0.4,6.6,0.1,0,0.4,0.4,1.5,1.7
"Ko Kieft","TB",0.6,0,0,0,0.2,2,0.1,0,0.1,0.1,0.9,1
