"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfWRProjection","astroFullWRProjection"
"CeeDee Lamb","DAL",18.3,1.1,7.6,0.1,7,88.5,0.8,0.3,4.4,4.7,18.5,22
"AJ Brown","PHI",17,0,0,0,7,94.5,0.7,0,4.6,4.6,17.1,20.6
"Justin Jefferson","MIN",16.6,0.1,0.6,0,6.6,94.4,0.7,0,4.4,4.4,17,20.3
"JaMarr Chase","CIN",16.1,0,0,0,6.2,94.7,0.6,0,4.3,4.3,16.2,19.3
"Drake London","ATL",15.4,0,0,0,6.6,79.7,0.7,0,4,4,15.5,18.8
"Malik Nabers","NYG",14.9,0,0,0,7.6,81.8,0.5,0,4.4,4.4,15,18.8
"Cooper Kupp","LAR",13.6,0,0,0,6.3,77,0.5,0,3.8,3.8,13.8,17
"Darnell Mooney","ATL",13,0,0,0,5,76.7,0.5,0,3.5,3.5,13.2,15.7
"Amon-Ra St Brown","DET",12.7,0,0,0,5.6,64.4,0.6,0,3.3,3.3,12.8,15.6
"DK Metcalf","SEA",12.7,0,0,0,4.7,80,0.4,0,3.5,3.5,12.8,15.1
"Puka Nacua","LAR",12.7,0.7,4.9,0,5.3,79.9,0.3,0.2,3.7,3.9,12.9,15.6
"DeVonta Smith","PHI",12.7,0,0,0,5.6,69.3,0.5,0,3.5,3.5,12.7,15.5
"Garrett Wilson","NYJ",12.2,0.3,1.2,0,5.7,63.8,0.5,0,3.4,3.4,12.3,15.2
"Josh Downs","IND",12.2,0.2,1.4,0,7.2,63.2,0.4,0.1,3.8,3.9,12.5,16.1
"Terry McLaurin","WAS",11.9,0,0,0,4.9,66.5,0.5,0,3.2,3.2,12.1,14.6
"Davante Adams","NYJ",11.9,0,0,0,4.8,63.6,0.6,0,3.1,3.1,12.4,14.8
"Tyreek Hill","MIA",11.5,1.1,4.8,0,4.8,61,0.5,0.2,3,3.2,12,14.4
"DJ Moore","CHI",11.2,0.6,2.7,0,4.9,57,0.5,0.1,2.9,3,11.4,13.9
"Jayden Reed","GB",11.2,1.7,14.7,0.1,4,56.6,0.3,0.6,2.7,3.3,11.5,13.5
"Courtland Sutton","DEN",11.2,0,0,0,3.8,59.7,0.6,0,2.7,2.7,11.5,13.4
"Ladd McConkey","LAC",11.1,0,0,0,4.5,56.7,0.6,0,2.8,2.8,11.5,13.8
"Zay Flowers","BAL",11,0.2,1.6,0,5.1,63.6,0.4,0.1,3.2,3.3,11.5,14
"Chris Olave","NO",10.8,0.2,1.2,0,4.6,62,0.4,0.1,2.9,3,11,13.3
"Khalil Shakir","BUF",10.8,0,0,0,5.5,54.6,0.5,0,3.1,3.1,11.2,14
"Amari Cooper","BUF",10.4,0,0,0,3.5,53.9,0.6,0,2.4,2.4,10.7,12.5
"Michael Pittman Jr","IND",10.4,0,0,0,4.7,48.2,0.6,0,2.7,2.7,10.8,13.1
"Calvin Ridley","TEN",9.8,1.2,5.9,0,3.7,57.6,0.3,0.3,2.6,2.9,10,11.9
"Marvin Harrison Jr","ARI",9.6,0,0,0,3.1,50.8,0.6,0,2.3,2.3,10.2,11.8
"Jakobi Meyers","LV",9.4,0,0,0,4.8,54.4,0.3,0,2.9,2.9,9.6,12
"Keon Coleman","BUF",9.3,0,0,0,2.9,55.1,0.4,0,2.4,2.4,9.4,10.8
"Tank Dell","HOU",9.2,0.7,3.6,0,3.8,49.9,0.5,0.2,2.4,2.6,10.3,12.2
"Cedric Tillman","CLE",9.2,0,0,0,4,56.4,0.4,0,2.7,2.7,10,12
"Jaylen Waddle","MIA",9.1,0.3,1.2,0,4.2,55.3,0.4,0.1,2.7,2.8,10.2,12.3
"WanDale Robinson","NYG",9.1,0.2,2.6,0,5.8,37,0.4,0.1,2.6,2.7,9.3,12.2
"Jalen Tolbert","DAL",9.1,0,0,0,4.2,47,0.4,0,2.5,2.5,9.2,11.3
"Xavier Worthy","KC",9,1,8.2,0.1,3,32.9,0.5,0.4,1.8,2.2,9.2,10.7
"Keenan Allen","CHI",9,0,0,0,4.1,42.2,0.5,0,2.3,2.3,9.3,11.3
"Romeo Doubs","GB",8.8,0,0,0,3.9,52.9,0.3,0,2.5,2.5,9,11
"Jaxon Smith-Njigba","SEA",8.6,0,0,0,5.1,46.1,0.3,0,2.7,2.7,9,11.5
"Tyler Lockett","SEA",8.3,0,0,0,3.8,48.8,0.3,0,2.4,2.4,8.6,10.5
"Jordan Addison","MIN",7.8,0.4,1.7,0.1,2.6,36.4,0.4,0.1,1.7,1.8,8.1,9.4
"Rome Odunze","CHI",7.8,0.3,1.9,0,3.9,46.9,0.2,0.1,2.4,2.5,8,10
"Christian Watson","GB",7.8,0,0,0,3.4,37.4,0.4,0,2,2,7.8,9.5
"Darius Slayton","NYG",7.8,0,0,0,3.4,46.6,0.3,0,2.2,2.2,8.2,9.9
"DeAndre Hopkins","KC",7.7,0,0,0,2.8,40.3,0.4,0,1.8,1.8,7.8,9.2
"Brian Thomas Jr","JAC",7.6,11.9,71.5,0,0,0,0.1,4,0,4,7.8,7.8
"Xavier Legette","CAR",7.4,0.3,2.7,0,3.3,32.2,0.4,0.1,1.7,1.8,7.5,9.2
"Michael Wilson","ARI",7.4,0,0,0,3.4,37.1,0.4,0,2,2,7.8,9.5
"Joshua Palmer","LAC",7.3,0,0,0,2.8,44.9,0.3,0,2,2,7.7,9.1
"Alec Pierce","IND",7,0,0,0,2,50.7,0.2,0,1.9,1.9,7.3,8.3
"Demarcus Robinson","LAR",7,0,0,0,2.4,31.9,0.5,0,1.6,1.6,7.4,8.6
"Jerry Jeudy","CLE",6.9,0,0,0,2.8,46.5,0.2,0,2,2,7.3,8.7
"Jalen Coker","CAR",6.8,0,0,0,3.4,36.1,0.3,0,2,2,7.1,8.8
"Ray-Ray McCloud","ATL",6.8,0.6,5.4,0,3.3,38,0.2,0.2,2,2.2,7.2,8.8
"Rashod Bateman","BAL",6.6,0,0,0,2.5,41.8,0.2,0,1.9,1.9,6.6,7.9
"Devaughn Vele","DEN",6.6,0,0,0,3.2,40.3,0.2,0,2,2,6.8,8.4
"Andrei Iosivas","CIN",6.5,0,0,0,2.5,31.1,0.4,0,1.6,1.6,6.8,8
"Parker Washington","JAC",6.3,0,0,0,3.5,43.7,0.2,0,2.2,2.2,7.3,9.1
"Elijah Moore","CLE",6.3,0,0,0,3.4,33,0.3,0,1.9,1.9,6.8,8.5
"Jalen McMillan","TB",6.2,0,0,0,3.1,37.7,0.2,0,1.9,1.9,6.5,8.1
"Kalif Raymond","DET",6.2,0.4,3.6,0,2.7,34.2,0.2,0.2,1.7,1.9,6.3,7.7
"Demario Douglas","NE",6.2,0.3,2.1,0,3.2,34.8,0.2,0.1,1.9,2,6.5,8.1
"Noah Brown","WAS",6.1,0,0,0,2.4,34.3,0.3,0,1.6,1.6,6.4,7.6
"Tre Tucker","LV",6,0.3,2.2,0,2.5,31.7,0.3,0.1,1.6,1.7,6.4,7.7
"Nick Westbrook-Ikhine","TEN",5.8,0,0,0,2.5,30.8,0.3,0,1.6,1.6,6.1,7.4
"Jalen Nailor","MIN",5.8,0,0,0,2.3,30.4,0.3,0,1.5,1.5,6,7.1
"Tyler Boyd","TEN",5.8,0,0,0,3.2,28.6,0.3,0,1.6,1.6,6.3,7.9
"Trey Palmer","TB",5.7,0,0,0,2.1,31.6,0.3,0,1.5,1.5,6,7.1
"Tim Patrick","DET",5.7,0,0,0,2.4,30.6,0.3,0,1.5,1.5,6.1,7.3
"John Metchie","HOU",5.4,0,0,0,2.5,27.9,0.3,0,1.5,1.5,5.8,7.1
"KaVontae Turpin","DAL",5.4,0.2,1.8,0,2.9,27.9,0.2,0.1,1.6,1.7,5.6,7.1
"Mason Tipton","NO",5.3,0,0,0,2.8,32.2,0.3,0,1.7,1.7,6.4,7.8
"Tim Jones","JAC",5.3,0,0,0,2.4,37.7,0.2,0,1.7,1.7,6.2,7.4
"Troy Franklin","DEN",5.3,0.2,0.8,0,2.5,31.5,0.2,0,1.6,1.6,5.7,6.9
"Sterling Shepard","TB",5.2,0,0,0,2.4,31.6,0.2,0,1.6,1.6,5.6,6.8
"Kayshon Boutte","NE",5.1,0,0,0,1.7,32.8,0.2,0,1.4,1.4,5.3,6.2
"Mike Williams","NYJ",5,0,0,0,2.2,28.4,0.2,0,1.4,1.4,5.1,6.2
"DJ Turner","LV",5,0,0,0,2.2,25,0.3,0,1.3,1.3,5.4,6.5
"Greg Dortch","ARI",4.5,0,0,0,2.8,24.1,0.2,0,1.4,1.4,5,6.4
"Simi Fehoko","LAC",4.3,0,0,0,1.9,24.4,0.2,0,1.2,1.2,4.6,5.5
"Robert Woods","HOU",4.2,0,0,0,1.7,27.6,0.2,0,1.2,1.2,4.8,5.7
"Justin Watson","KC",4.1,0,0,0,1.8,23.1,0.2,0,1.2,1.2,4.4,5.3
"Olamide Zaccheaus","WAS",4,0,0,0,2.2,19.5,0.2,0,1.2,1.2,4.3,5.4
"Jermaine Burton","CIN",3.9,0,0,0,1.6,22.4,0.2,0,1,1,4.2,5
"David Moore","CAR",3.5,0,0,0,1.8,22.1,0.1,0,1.1,1.1,3.7,4.6
"Nelson Agholor","BAL",3.4,0,0,0,1.3,18.3,0.2,0,0.8,0.8,3.7,4.3
"Equanimeous St Brown","NO",3.3,0,0,0,1.5,15,0.2,0,0.8,0.8,3.5,4.2
"Jahan Dotson","PHI",3,0.3,2.6,0,1.9,14.2,0.1,0.2,0.9,1.1,3.2,4.2
"Malik Washington","MIA",2,0,0,0,1.4,9.2,0.1,0,0.6,0.6,2.2,2.9
"Tyquan Thornton","NE",1.9,0,0,0,0.8,10.7,0.1,0,0.6,0.6,2.1,2.5
