"name","team","appFullProjectedPoints","appProjPassAttempts","appProjCompletions","appProjPassingYards","appProjPassTDs","appProjINTs","appProjQBRushAttempts","appProjQBRushYards","appProjQBRushTDs","astroQBProjection","astroSixPtTDQBProjection"
"Lamar Jackson","BAL",23.4,37.6,23.4,268.8,1.8,0.5,7.1,37.7,0.2,21.9,25.5
"Jalen Hurts","PHI",20.8,29.2,18.3,201,1.2,0.8,11.8,48.6,0.7,20.3,22.7
"Baker Mayfield","TB",20,44.3,27.6,276.9,1.5,0.7,5.9,23.1,0.3,19.8,22.8
"Josh Allen","BUF",19.9,33.3,21.5,240,1.6,0.9,6,30.4,0.3,19,22.2
"Joe Burrow","CIN",19.5,38.6,25.8,278.9,1.8,0.6,4.5,12.7,0.1,19,22.6
"Jayden Daniels","WAS",19.2,33.2,20.9,222.8,1.3,0.9,9.4,44.7,0.3,18.6,21.2
"Brock Purdy","SF",18.6,33.6,21.7,244.2,1.6,0.6,4,17,0.2,17.9,21.1
"Kirk Cousins","ATL",17.9,38.8,25.1,298.5,1.7,0.9,0.5,2.4,0.1,17.8,21.2
"Sam Darnold","MIN",17.8,32.4,21.1,245.7,1.6,0.8,5.2,17.3,0.2,17.6,20.8
"Kyler Murray","ARI",17.5,35.1,22.1,200.2,1.3,0.7,6.2,39.6,0.2,17,19.6
"Russell Wilson","PIT",17.2,34.2,20.7,236,1.1,0.9,6.9,29.2,0.4,17.4,19.6
"Patrick Mahomes","KC",16.6,32.7,21.5,220.2,1.5,0.5,3.1,16.8,0.1,16.1,19.1
"Bo Nix","DEN",16.5,34.5,20.6,216.5,0.9,0.9,7.1,36.1,0.5,17.1,18.9
"Aaron Rodgers","NYJ",16.5,36.8,23.9,264.1,1.6,0.8,1.6,6.1,0.1,16.6,19.8
"Justin Herbert","LAC",16.2,31.2,19.5,227.8,1.3,0.6,4.2,15.8,0.2,15.9,18.5
"C.J. Stroud","HOU",15.9,35.9,23.4,230.7,1.5,0.9,2.6,12.2,0.1,15.2,18.2
"Matthew Stafford","LAR",15.8,35.1,23,248.9,1.6,0.7,1.2,2.2,0.1,15.8,19
"Tua Tagovailoa","MIA",15.3,33.9,22.3,239.8,1.4,0.9,3.7,9.2,0.1,14.9,17.7
"Jared Goff","DET",15.2,32.7,21.5,237.4,1.4,0.6,1.3,2.4,0.1,14.7,17.5
"Joe Flacco","IND",14.9,36.4,22.4,246.6,1.4,0.8,2.5,7.9,0.1,15.3,18.1
"Caleb Williams","CHI",14.4,30.7,19.4,191.8,1.2,0.6,5.2,24,0.1,14.3,16.7
"Daniel Jones","NYG",14.3,30.3,19.2,173.1,1,0.8,5.5,26.9,0.2,13.2,15.2
"Drake Maye","NE",14.3,30.5,17.9,176,0.7,0.9,9.8,48.7,0.2,14.1,15.5
"Derek Carr","NO",14.1,37.4,23.5,223.8,1.4,1,1.6,6.2,0.2,14.4,17.2
"Will Levis","TEN",13.3,33.1,20.4,197.9,1,0.9,5.5,22.9,0.3,14.2,16.2
"Cooper Rush","DAL",13.1,37.5,24.3,230.8,1.2,1,0.5,2.4,0.2,13.5,15.9
"Bryce Young","CAR",12.2,30.4,18.8,189.2,0.9,0.7,1.8,9.5,0.2,11.9,13.7
"Mac Jones","JAC",12.2,32.3,20.3,208.2,1.1,0.9,1.8,6.7,0.1,12.2,14.4
"","GB",-0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"","LV",-0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"","SEA",-0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"","CLE",-0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
