"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfRBProjection","astroFullRBProjection"
"Kyren Williams","LAR",20.2,20.7,93.4,1,2.7,16.6,0.4,4.7,0.7,5.4,20.8,22.1
"Saquon Barkley","PHI",19.5,22.1,115.1,0.8,2.3,15.4,0.2,5.8,0.7,6.5,20.2,21.4
"Bijan Robinson","ATL",18.3,14.9,74.1,0.7,4.3,38.8,0.2,3.7,1.8,5.5,18.8,21
"Derrick Henry","BAL",18,21.5,100.9,1.1,1.1,9.2,0.2,5.1,0.5,5.6,19.4,19.9
"Jonathan Taylor","IND",17.5,17.8,79.5,1,2.3,19,0.2,4,0.8,4.8,18.2,19.4
"D'Andre Swift","CHI",17.4,18.8,84.2,0.7,3.2,28.4,0.2,4.2,1.3,5.5,18.3,19.9
"Joe Mixon","HOU",17.2,19.8,86.5,0.8,2.5,20.6,0.2,4.3,0.9,5.2,18,19.2
"Christian McCaffrey","SF",17.2,12.8,65.5,0.7,3.9,28.3,0.4,3.3,1.3,4.6,17.9,19.9
"Tyrone Tracy","NYG",16.8,18.2,78.4,0.8,3.1,20.4,0.2,4,0.9,4.9,17.4,19
"Alvin Kamara","NO",16.8,15.5,68.7,0.5,5.7,43.9,0.2,3.4,2,5.4,18.3,21.2
"De'Von Achane","MIA",16.8,8.6,51.6,0.6,4.9,50.4,0.4,2.6,2.3,4.9,18.7,21.1
"Breece Hall","NYJ",15.6,16.8,69.9,0.5,3.6,37.1,0.2,3.5,1.7,5.2,16.7,18.5
"Aaron Jones","MIN",14.9,14.4,72.5,0.5,3.1,25.4,0.2,3.6,1.2,4.8,15.5,17.1
"JK Dobbins","LAC",14.9,16.5,72.9,0.8,2.3,11.5,0.2,3.7,0.6,4.3,15.6,16.7
