"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfWRProjection","astroFullWRProjection"
"George Kittle","SF",14.7,0,0,0,6.5,75.6,0.7,0,4,4,15,18.3
"Mark Andrews","BAL",10.9,0,0,0,4.8,45.4,0.7,0,2.5,2.5,11.1,13.5
"T.J. Hockenson","MIN",10.6,0,0,0,5,53.9,0.5,0,2.8,2.8,10.9,13.4
"Travis Kelce","KC",10.4,0,0,0,5.9,56,0.4,0,3.1,3.1,10.9,13.9
"Cade Otton","TB",10.4,0,0,0,5.2,53.5,0.5,0,2.9,2.9,11,13.6
"Mike Gesicki","CIN",9.9,0,0,0,4.7,55.8,0.4,0,2.9,2.9,10.3,12.7
"Dallas Goedert","PHI",9.8,0,0,0,5.1,54.2,0.3,0,2.8,2.8,9.8,12.3
"Cole Kmet","CHI",9.6,0,0,0,4.3,47.5,0.5,0,2.4,2.4,9.9,12.1
"Dalton Kincaid","BUF",9.5,0,0,0,4.8,49.9,0.4,0,2.8,2.8,9.8,12.2
"Kyle Pitts","ATL",9.1,0,0,0,3.4,53.6,0.4,0,2.6,2.6,9.5,11.2
"Jonnu Smith","MIA",9.1,0,0,0,4.3,49.6,0.4,0,2.6,2.6,9.5,11.7
"Evan Engram","JAC",8.6,0,0,0,4.8,46.6,0.3,0,2.6,2.6,8.9,11.3
"Trey McBride","ARI",8.3,0,0,0,5.4,51.9,0.2,0,2.9,2.9,9.1,11.8
"Zach Ertz","WAS",7.8,0,0,0,4.2,42.6,0.3,0,2.3,2.3,8.2,10.3
"Pat Freiermuth","PIT",7.8,0,0,0,3.7,37.9,0.4,0,2.1,2.1,8,9.9
"Taysom Hill","NO",7.7,4.1,22,0.3,2.2,19.6,0.2,0.9,1.1,2,8.3,9.4
"Hunter Henry","NE",7.5,0,0,0,3.8,46.3,0.2,0,2.3,2.3,7.7,9.6
"Theo Johnson","NYG",7.3,0,0,0,3.3,40.5,0.3,0,2.1,2.1,7.5,9.1
"Jake Ferguson","DAL",6.9,0,0,0,4.1,37.6,0.3,0,2.1,2.1,7.6,9.7
"Sam LaPorta","DET",6.4,0,0,0,2.7,37.2,0.3,0,1.8,1.8,6.9,8.2
"Tyler Conklin","NYJ",5.9,0,0,0,3.1,29.2,0.3,0,1.6,1.6,6.3,7.8
"Juwan Johnson","NO",5.8,0,0,0,3,33.8,0.2,0,1.8,1.8,6.1,7.6
"Dalton Schultz","HOU",5.6,0,0,0,3.3,30.4,0.2,0,1.7,1.7,5.9,7.5
"Ja'Tavion Sanders","CAR",5.3,0,0,0,2.9,30.3,0.2,0,1.7,1.7,5.7,7.1
"Will Dissly","LAC",5.3,0,0,0,3.2,29.6,0.2,0,1.7,1.7,5.8,7.4
"Colby Parkinson","LAR",4.4,0,0,0,2.3,22.4,0.2,0,1.2,1.2,4.6,5.7
"Chigoziem Okonkwo","TEN",4.4,0,0,0,2.5,23.5,0.2,0,1.3,1.3,4.8,6.1
"Noah Gray","KC",4.3,0,0,0,1.9,24.1,0.2,0,1.2,1.2,4.6,5.5
"Mo Alie-Cox","IND",4.1,0,0,0,1.3,20,0.3,0,1,1,4.5,5.1
"Brenton Strange","JAC",3.8,0,0,0,1.9,19.5,0.2,0,1.1,1.1,4.1,5.1
"Hayden Hurst","LAC",3.5,0,0,0,1.8,17.1,0.2,0,0.9,0.9,3.8,4.7
"Darnell Washington","PIT",3.5,0,0,0,1.6,17.1,0.2,0,0.9,0.9,3.7,4.5
"Tommy Tremble","CAR",3.4,0,0,0,1.9,16.2,0.2,0,1,1,3.8,4.7
"Charlie Kolar","BAL",3.3,0,0,0,1.1,17.1,0.2,0,0.8,0.8,3.5,4
"Austin Hooper","NE",3.2,0,0,0,1.6,15.5,0.2,0,0.8,0.8,3.5,4.3
"Josh Whyle","TEN",3.2,0,0,0,1.8,19.5,0.1,0,1,1,3.5,4.4
"Dawson Knox","BUF",3.1,0,0,0,1,16.6,0.2,0,0.8,0.8,3.4,3.9
"Tanner Hudson","CIN",3.1,0,0,0,1.7,19.9,0.1,0,1.2,1.2,3.4,4.3
"Lucas Krull","DEN",2.7,0,0,0,1.5,15.9,0.1,0,0.9,0.9,2.9,3.7
"Josh Oliver","MIN",2.7,0,0,0,1,12.5,0.1,0,0.5,0.5,2.4,2.9
