"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfWRProjection","astroFullWRProjection"
"JaMarr Chase","CIN",19.4,0,0,0,7.2,107,0.9,0,5,5,19.7,23.3
"Justin Jefferson","MIN",17.4,0.1,0.6,0,6.4,102.4,0.7,0,4.6,4.6,17.7,20.9
"Malik Nabers","NYG",16.1,0,0,0,8.4,84.1,0.6,0,4.6,4.6,16.2,20.4
"Garrett Wilson","NYJ",16.1,0.3,1.1,0,7.3,89.4,0.6,0,4.6,4.6,16.3,19.9
"Cooper Kupp","LAR",13.7,0,0,0,7,73.6,0.5,0,4,4,13.9,17.4
"Amon-Ra St Brown","DET",13.6,0,0,0,6.3,66.3,0.7,0,3.5,3.5,14,17.1
"CeeDee Lamb","DAL",13.4,1.1,7.1,0.1,5.6,68,0.5,0.3,3.5,3.8,13.9,16.7
"Drake London","ATL",13.2,0,0,0,5.5,66.1,0.7,0,3.4,3.4,13.6,16.3
"Zay Flowers","BAL",13.2,0.6,4.3,0,6,75.7,0.4,0.2,3.8,4,13.4,16.4
"AJ Brown","PHI",12.9,0,0,0,4.7,72.5,0.6,0,3.3,3.3,13.2,15.6
"Davante Adams","NYJ",12.6,0,0,0,5.2,72.3,0.5,0,3.5,3.5,12.8,15.4
"Darnell Mooney","ATL",12.4,0,0,0,4.5,70.2,0.6,0,3.2,3.2,12.9,15.1
"Nico Collins","HOU",12.3,0,0,0,5.1,69.7,0.5,0,3.4,3.4,12.5,15.1
"Brian Thomas Jr","JAC",11.9,0.2,1.4,0,4.1,64.9,0.6,0.1,2.9,3,12.3,14.3
"Deebo Samuel","SF",11.9,1.8,8.3,0.2,4.3,55.6,0.4,0.4,2.8,3.2,12.1,14.3
"DeVonta Smith","PHI",11.8,0,0,0,5.4,64,0.5,0,3.3,3.3,12.1,14.8
"Terry McLaurin","WAS",11.6,0,0,0,4.6,62.3,0.5,0,3,3,11.5,13.8
"Puka Nacua","LAR",11.3,0.5,3.4,0,4.9,68.1,0.3,0.1,3.3,3.4,11.4,13.8
"Tank Dell","HOU",11.2,0.7,3.3,0,4.2,52.6,0.6,0.1,2.6,2.7,11.3,13.4
"Josh Downs","IND",11.2,0.2,1.7,0,5.8,59.7,0.4,0.1,3.3,3.4,11.4,14.3
"Khalil Shakir","BUF",11.1,0,0,0,5.5,61.9,0.4,0,3.2,3.2,11.3,14.1
"George Pickens","PIT",10.9,0,0,0,4.2,68.5,0.4,0,3,3,11.3,13.4
"Ladd McConkey","LAC",10.3,0,0,0,4.1,54.2,0.5,0,2.6,2.6,10.5,12.5
"DJ Moore","CHI",10.2,0.6,2.7,0,4.7,48.3,0.5,0.1,2.6,2.7,10.4,12.8
"Jauan Jennings","SF",10.1,0,0,0,4,59.9,0.4,0,2.7,2.7,10.4,12.4
"Courtland Sutton","DEN",9.9,0,0,0,4.1,58.8,0.4,0,2.8,2.8,10.3,12.4
"Jameson Williams","DET",9.8,0.4,3.7,0,3,57.2,0.4,0.1,2.4,2.5,10,11.5
"Jordan Addison","MIN",9.3,0.3,2.1,0.1,3.4,46.2,0.4,0.1,2.2,2.3,9.5,11.2
"WanDale Robinson","NYG",9,0.3,2.7,0,5.6,36.7,0.4,0.1,2.6,2.7,9.1,11.9
"Tyreek Hill","MIA",8.9,1,4.3,0,3.4,48.1,0.4,0.2,2.3,2.5,9.3,11
"DeAndre Hopkins","KC",8.8,0,0,0,4,47.3,0.4,0,2.4,2.4,9.1,11.1
"Marvin Harrison Jr","ARI",8.8,0,0,0,2.9,42.5,0.6,0,2,2,9.3,10.8
"Jaylen Waddle","MIA",8.7,0.3,1.3,0,4.6,55.1,0.3,0.1,2.8,2.9,9.7,12
"Diontae Johnson","BAL",8.5,0,0,0,3,47.7,0.4,0,2.1,2.1,8.7,10.2
"Calvin Ridley","TEN",8.4,0.8,3.9,0,4,55.5,0.2,0.2,2.7,2.9,9.1,11.1
"Xavier Legette","CAR",8.3,0.3,2.7,0,3.5,41.1,0.4,0.1,2.1,2.2,8.5,10.3
"Rome Odunze","CHI",8.3,0.3,1.9,0,3.6,53.5,0.2,0.1,2.5,2.6,8.5,10.3
"Amari Cooper","BUF",8.2,0,0,0,2.6,46.3,0.4,0,2.1,2.1,8.3,9.6
"Keenan Allen","CHI",7.8,0,0,0,3.8,36,0.4,0,2,2,7.9,9.8
"Rashod Bateman","BAL",7.4,0,0,0,2.6,45.4,0.3,0,2,2,7.6,8.9
"Xavier Worthy","KC",7.3,0.6,4.8,0.1,2.1,27.8,0.4,0.2,1.4,1.6,7.3,8.4
"Quentin Johnston","LAC",7.3,0,0,0,2.6,43.9,0.3,0,1.9,1.9,7.5,8.8
"Jalen Coker","CAR",7.2,0,0,0,3.1,41.6,0.3,0,2,2,7.5,9.1
"Noah Brown","WAS",7.2,0,0,0,3.2,41.6,0.3,0,2,2,7.6,9.2
"Jalen Tolbert","DAL",7.2,0,0,0,3.4,38.7,0.3,0,2,2,7.4,9.1
