"name","team","appHalfProjectedPoints"
"Lamar Jackson","BAL",23.4
"Jalen Hurts","PHI",20.8
"Kyren Williams","LAR",20.2
"Baker Mayfield","TB",20
"Josh Allen","BUF",19.9
"Joe Burrow","CIN",19.5
"Saquon Barkley","PHI",19.5
"JaMarr Chase","CIN",19.4
"Jayden Daniels","WAS",19.2
"Brock Purdy","SF",18.6
"Bijan Robinson","ATL",18.3
"Derrick Henry","BAL",18
"Kirk Cousins","ATL",17.9
"Sam Darnold","MIN",17.8
"Kyler Murray","ARI",17.5
"Jonathan Taylor","IND",17.5
"D'Andre Swift","CHI",17.4
"Justin Jefferson","MIN",17.4
"Russell Wilson","PIT",17.2
"Joe Mixon","HOU",17.2
"Christian McCaffrey","SF",17.1
"Alvin Kamara","NO",16.8
"De'Von Achane","MIA",16.8
"Patrick Mahomes","KC",16.6
"Tyrone Tracy","NYG",16.6
"Bo Nix","DEN",16.5
"Aaron Rodgers","NYJ",16.5
"Justin Herbert","LAC",16.2
"Malik Nabers","NYG",16.1
"Garrett Wilson","NYJ",16.1
"C.J. Stroud","HOU",15.8
"Matthew Stafford","LAR",15.8
"Breece Hall","NYJ",15.6
"Tua Tagovailoa","MIA",15.3
"Jared Goff","DET",15.2
"Joe Flacco","IND",14.9
"Aaron Jones","MIN",14.9
"JK Dobbins","LAC",14.9
"George Kittle","SF",14.7
"Caleb Williams","CHI",14.4
"Daniel Jones","NYG",14.3
"Drake Maye","NE",14.3
"Jahmyr Gibbs","DET",14.3
"James Conner","ARI",14.2
"Derek Carr","NO",14.1
"James Cook","BUF",14.1
"Cooper Kupp","LAR",13.7
"Amon-Ra St Brown","DET",13.6
"Chase Brown","CIN",13.5
"CeeDee Lamb","DAL",13.4
"Will Levis","TEN",13.3
"Kareem Hunt","KC",13.3
"Chuba Hubbard","CAR",13.2
"Drake London","ATL",13.2
"Zay Flowers","BAL",13.2
"Cooper Rush","DAL",13.1
"Najee Harris","PIT",13.1
"AJ Brown","PHI",12.9
"David Montgomery","DET",12.8
"Davante Adams","NYJ",12.6
"Tony Pollard","TEN",12.5
"Darnell Mooney","ATL",12.4
"Rhamondre Stevenson","NE",12.3
"Nico Collins","HOU",12.3
"Bryce Young","CAR",12.2
"Brian Thomas Jr","JAC",11.9
"Deebo Samuel","SF",11.9
"DeVonta Smith","PHI",11.8
"Terry McLaurin","WAS",11.6
"Austin Ekeler","WAS",11.5
"Puka Nacua","LAR",11.3
"Tank Dell","HOU",11.2
"Josh Downs","IND",11.2
"Khalil Shakir","BUF",11.1
"Mac Jones","JAC",10.9
"George Pickens","PIT",10.9
"Mark Andrews","BAL",10.9
"Bucky Irving","TB",10.7
"Javonte Williams","DEN",10.6
"T.J. Hockenson","MIN",10.6
"Travis Kelce","KC",10.4
"Cade Otton","TB",10.4
"Ladd McConkey","LAC",10.3
"DJ Moore","CHI",10.2
"Jauan Jennings","SF",10.1
"Courtland Sutton","DEN",9.9
"Mike Gesicki","CIN",9.9
"Rico Dowdle","DAL",9.8
"Jameson Williams","DET",9.8
"Dallas Goedert","PHI",9.8
"Cole Kmet","CHI",9.6
"Dalton Kincaid","BUF",9.5
"Travis Etienne","JAC",9.4
"Jordan Addison","MIN",9.3
"Kyle Pitts","ATL",9.1
"Jonnu Smith","MIA",9.1
"Tyler Allgeier","ATL",9
