"name","team","appFullProjectedPoints"
"Josh Allen","BUF",20.2
"Jalen Hurts","PHI",19.4
"Anthony Richardson","IND",18.7
"Joe Burrow","CIN",17.6
"C.J. Stroud","HOU",17.3
"Caleb Williams","CHI",16.5
"Lamar Jackson","BAL",16.5
"Jordan Love","GB",16.3
"Trevor Lawrence","JAC",16.2
"Patrick Mahomes","KC",16.1
"Kyler Murray","ARI",16.1
"Deshaun Watson","CLE",15.9
"Jared Goff","DET",15.7
"Tua Tagovailoa","MIA",15.6
"Dak Prescott","DAL",15.3
"Geno Smith","SEA",15.2
"Justin Herbert","LAC",15.1
"Russell Wilson","PIT",14.9
"Brock Purdy","SF",14.9
"Matthew Stafford","LAR",14.8
"Jayden Daniels","WAS",14.3
"Daniel Jones","NYG",14.1
"Baker Mayfield","TB",14
"Kirk Cousins","ATL",13.3
"Derek Carr","NO",12.9
"Gardner Minshew","LV",12.3
"Will Levis","TEN",12
"Aaron Rodgers","NYJ",11.7
"Bryce Young","CAR",11.1
"Bo Nix","DEN",10.5
"Drake Maye","NE",9
"Sam Darnold","MIN",8.6
