"name","team","appHalfProjectedPoints"
"Christian McCaffrey","SF",18.9
"Breece Hall","NYJ",16.4
"Rachaad White","TB",15.8
"Bijan Robinson","ATL",15.7
"Kyren Williams","LAR",15.1
"Isiah Pacheco","KC",14.5
"De'Von Achane","MIA",14.2
"Josh Jacobs","GB",13.5
"Travis Etienne","JAC",13.4
"Jahmyr Gibbs","DET",13.4
"Alvin Kamara","NO",13.2
"Joe Mixon","HOU",13.2
"Kenneth Walker","SEA",13.1
"Saquon Barkley","PHI",13
"James Cook","BUF",12.8
"Jonathan Taylor","IND",12.4
"Zack Moss","CIN",12.3
"Derrick Henry","BAL",12.3
"Rhamondre Stevenson","NE",11.9
"James Conner","ARI",11.5
"D'Andre Swift","CHI",11.2
"Raheem Mostert","MIA",11.2
"Javonte Williams","DEN",11.1
"Ezekiel Elliott","DAL",10.9
"Devin Singletary","NYG",10.9
"Aaron Jones","MIN",10.7
"David Montgomery","DET",10.7
"Zamir White","LV",10.4
"Jaylen Warren","PIT",10.4
"Tony Pollard","TEN",10.1
"Jerome Ford","CLE",10
"Austin Ekeler","WAS",9.8
"Brian Robinson","WAS",9.6
"Najee Harris","PIT",9.6
"Tyjae Spears","TEN",9
"Chuba Hubbard","CAR",8.7
"Nick Chubb","CLE",8
"Zach Charbonnet","SEA",7.7
"Tyler Allgeier","ATL",7.5
"Blake Corum","LAR",7.5
"Gus Edwards","LAC",7.4
"Bucky Irving","TB",7.3
"Antonio Gibson","NE",7
"Trey Benson","ARI",6.9
"JK Dobbins","LAC",6.9
"Ty Chandler","MIN",6.5
"Khalil Herbert","CHI",6.4
"Chase Brown","CIN",6.4
"Rico Dowdle","DAL",6.3
"Samaje Perine","DEN",6.2
"Kimani Vidal","LAC",5.7
"MarShawn Lloyd","GB",5
"Justice Hill","BAL",4.8
"Ray Davis","BUF",4.8
"Kenneth Gainwell","PHI",4.8
"Kendre Miller","NO",4.6
"Miles Sanders","CAR",4.5
"Dameon Pierce","HOU",4.4
"Alexander Mattison","LV",4.3
"Clyde Edwards-Helaire","KC",4.3
"Elijah Mitchell","SF",4.1
"Jamaal Williams","NO",4.1
"Israel Abanikanda","NYJ",3.8
"Eric Gray","NYG",3.7
"Roschon Johnson","CHI",3.5
"Ty Johnson","BUF",3.3
"Tyrone Tracy","NYG",3.3
"D'Ernest Johnson","JAC",3.1
"Evan Hull","IND",3
"Chris Rodriguez","WAS",2.9
"D'Onta Foreman","CLE",2.8
"Kenny McIntosh","SEA",2.6
"Jaylen Wright","MIA",2.5
"AJ Dillon","GB",2.5
"Avery Williams","ATL",2.3
"Deuce Vaughn","DAL",2.3
"Kevin Harris","NE",2.2
"Isaiah Davis","NYJ",2.1
"Tyler Goodson","IND",2
"Trayveon Williams","CIN",1.8
"Will Shipley","PHI",1.8
"Hassan Haskins","TEN",1.7
"Ronnie Rivers","LAR",1.6
"Audric Estime","DEN",1.6
"Jordan Mason","SF",1.3
"Michael Carter","ARI",1.3
"Rasheen Ali","BAL",0.9
"La'Mical Perine","PIT",0.8
"Myles Gaskin","MIN",0.7
"Keilan Robinson","JAC",0.3
"Dylan Laube","LV",0.3
"Sione Vaki","DET",0.3
"Sean Tucker","TB",0.2
"Jawhar Jordan","HOU",0.2
"Louis Rees-Zammit","KC",0.1
