"name","team","appHalfProjectedPoints"
"Sam LaPorta","DET",11.3
"Evan Engram","JAC",8.9
"Mark Andrews","BAL",8.6
"Trey McBride","ARI",8.6
"Travis Kelce","KC",8.4
"Kyle Pitts","ATL",8
"George Kittle","SF",7.9
"David Njoku","CLE",7.7
"Dallas Goedert","PHI",7.6
"Dalton Kincaid","BUF",7.5
"Brock Bowers","LV",7.4
"Jake Ferguson","DAL",6.9
"Taysom Hill","NO",6.7
"Dalton Schultz","HOU",6.3
"Cole Kmet","CHI",6.1
"Hunter Henry","NE",5.9
"Juwan Johnson","NO",5.5
"Chigoziem Okonkwo","TEN",5.3
"Luke Musgrave","GB",5
"Tucker Kraft","GB",4.9
"Cade Otton","TB",4.8
"Tanner Hudson","CIN",4.8
"Pat Freiermuth","PIT",4.7
"Jonnu Smith","MIA",4.5
"Isaiah Likely","BAL",4.4
"Tyler Conklin","NYJ",4.3
"Zach Ertz","WAS",4.3
"Daniel Bellinger","NYG",4.2
"Hayden Hurst","LAC",4.1
"Josh Oliver","MIN",4
"Tyler Higbee","LAR",3.9
"Ben Sinnott","WAS",3.9
"Mike Gesicki","CIN",3.9
"Jelani Woods","IND",3.8
"Noah Fant","SEA",3.8
"T.J. Hockenson","MIN",3.7
"Michael Mayer","LV",3.4
"Noah Gray","KC",3.4
"Gerald Everett","CHI",3.2
"Dawson Knox","BUF",2.9
"Greg Dulcich","DEN",2.9
"Brevin Jordan","HOU",2.6
"Tommy Tremble","CAR",2.3
"Mo Alie-Cox","IND",2.3
"Colby Parkinson","LAR",2.3
"Adam Trautman","DEN",2.2
"Theo Johnson","NYG",2.1
"Brock Wright","DET",2
"Jeremy Ruckert","NYJ",2
"Ja'Tavion Sanders","CAR",1.9
"Austin Hooper","NE",1.7
"Luke Farrell","JAC",1.6
"Durham Smythe","MIA",1.6
"Logan Thomas","SF",1.6
"Connor Heyward","PIT",1.6
"Charlie Woerner","ATL",1.5
"Donald Parham","LAC",1.5
"Josh Whyle","TEN",1.4
"Luke Schoonmaker","DAL",1.4
"AJ Barner","SEA",1.3
"Jordan Akins","CLE",1.2
"Grant Calcaterra","PHI",1
"Payne Durham","TB",0.9
"Tip Reiman","ARI",0.9
