"name","team","appHalfProjectedPoints"
"Tyreek Hill","MIA",16.2
"Amon-Ra St Brown","DET",15.2
"CeeDee Lamb","DAL",14.9
"Justin Jefferson","MIN",13.4
"Puka Nacua","LAR",13.2
"AJ Brown","PHI",12.2
"Mike Evans","TB",12.1
"Davante Adams","LV",11.8
"Keenan Allen","CHI",11.8
"DJ Moore","CHI",11.4
"Cooper Kupp","LAR",11.4
"JaMarr Chase","CIN",11.3
"Michael Pittman Jr","IND",11.2
"DeVonta Smith","PHI",11.1
"DK Metcalf","SEA",11
"Nico Collins","HOU",10.9
"Deebo Samuel","SF",10.8
"Brandon Aiyuk","SF",10.8
"Marvin Harrison Jr","ARI",10.6
"Amari Cooper","CLE",10.6
"Chris Olave","NO",10.5
"Garrett Wilson","NYJ",10.3
"Tank Dell","HOU",10.3
"Christian Kirk","JAC",10.1
"Jaylen Waddle","MIA",10.1
"George Pickens","PIT",10
"Chris Godwin","TB",10
"Rashee Rice","KC",10
"Tee Higgins","CIN",9.7
"Hollywood Brown","KC",9.6
"Malik Nabers","NYG",9.6
"Zay Flowers","BAL",9.5
"Courtland Sutton","DEN",9.3
"Jayden Reed","GB",9.3
"Drake London","ATL",9.1
"Calvin Ridley","TEN",9.1
"Christian Watson","GB",9
"DeAndre Hopkins","TEN",9
"Stefon Diggs","HOU",9
"Demarcus Robinson","LAR",8.9
"Diontae Johnson","CAR",8.8
"Terry McLaurin","WAS",8.8
"Curtis Samuel","BUF",8.6
"Mike Williams","NYJ",8.4
"Ladd McConkey","LAC",8.3
"Brian Thomas Jr","JAC",8.3
"Jakobi Meyers","LV",8.3
"Rome Odunze","CHI",8.3
"Jordan Addison","MIN",7.8
"Jaxon Smith-Njigba","SEA",7.7
"Keon Coleman","BUF",7.6
"Tyler Lockett","SEA",7.6
"Odell Beckham","MIA",7.6
"Ricky Pearsall","SF",7.6
"Jameson Williams","DET",7.5
"Gabe Davis","JAC",7.4
"Rashid Shaheed","NO",7.3
"Brandin Cooks","DAL",7.2
"Adam Thielen","CAR",6.8
"Khalil Shakir","BUF",6.7
"Romeo Doubs","GB",6.6
"WanDale Robinson","NYG",6.6
"Jahan Dotson","PHI",6.6
"Jalin Hyatt","NYG",6.5
"Joshua Palmer","LAC",6.4
"Josh Downs","IND",6.3
"Michael Wilson","ARI",6.3
"Jerry Jeudy","CLE",6
"JaLynn Polk","NE",5.8
"Rashod Bateman","BAL",5.8
"Jermaine Burton","CIN",5.8
"Kendrick Bourne","NE",5.7
"Elijah Moore","CLE",5.6
"Kalif Raymond","DET",5.2
"Tyler Boyd","TEN",5.1
"Xavier Worthy","KC",5
"Quentin Johnston","LAC",5
"Demario Douglas","NE",4.7
"Malachi Corley","NYJ",4.6
"Darnell Mooney","ATL",4.5
"Trey Palmer","TB",4.5
"Brandon Powell","MIN",4.5
"Roman Wilson","PIT",4.3
"AT Perry","NO",4.2
"Tre Tucker","LV",3.9
"Nelson Agholor","BAL",3.9
"Greg Dortch","ARI",3.8
"Josh Reynolds","DEN",3.6
"Luke McCaffrey","WAS",3.4
"Adonai Mitchell","IND",3.4
"KaVontae Turpin","DAL",3.4
"Casey Washington","ATL",3.3
"Marvin Mims","DEN",3.2
"Van Jefferson","PIT",2.8
"Xavier Legette","CAR",2.6
"Dyami Brown","WAS",1.9
