"name","team","appFullProjectedPoints"
"Tyreek Hill","MIA",19.6
"Amon-Ra St Brown","DET",18.5
"CeeDee Lamb","DAL",18.2
"Justin Jefferson","MIN",16.3
"Puka Nacua","LAR",16
"AJ Brown","PHI",15
"Davante Adams","LV",14.6
"Keenan Allen","CHI",14.4
"Mike Evans","TB",14.1
"Michael Pittman Jr","IND",14
"Cooper Kupp","LAR",14
"DJ Moore","CHI",13.8
"JaMarr Chase","CIN",13.8
"DeVonta Smith","PHI",13.4
"Nico Collins","HOU",13.1
"Marvin Harrison Jr","ARI",13.1
"DK Metcalf","SEA",13
"Chris Olave","NO",12.9
"Brandon Aiyuk","SF",12.9
"Garrett Wilson","NYJ",12.8
"Malik Nabers","NYG",12.6
"Deebo Samuel","SF",12.6
"Amari Cooper","CLE",12.6
"Jaylen Waddle","MIA",12.4
"Tank Dell","HOU",12.3
"Christian Kirk","JAC",12.2
"Chris Godwin","TB",12.2
"Rashee Rice","KC",12.2
"Zay Flowers","BAL",11.8
"George Pickens","PIT",11.7
"Ladd McConkey","LAC",11.6
"Tee Higgins","CIN",11.6
"Stefon Diggs","HOU",11.3
"Drake London","ATL",11.2
"Courtland Sutton","DEN",11.2
"Jayden Reed","GB",11.2
"Brian Thomas Jr","JAC",11.1
"Calvin Ridley","TEN",11
"DeAndre Hopkins","TEN",10.9
"Terry McLaurin","WAS",10.8
"Diontae Johnson","CAR",10.7
"Rome Odunze","CHI",10.7
"Christian Watson","GB",10.6
"Demarcus Robinson","LAR",10.5
"Hollywood Brown","KC",10.4
"Curtis Samuel","BUF",10.3
"Keon Coleman","BUF",10.3
"Mike Williams","NYJ",10.3
"Jakobi Meyers","LV",9.9
"Jaxon Smith-Njigba","SEA",9.8
"Tyler Lockett","SEA",9.6
"Jordan Addison","MIN",9.4
"Jameson Williams","DET",9
"Rashid Shaheed","NO",8.8
"Joshua Palmer","LAC",8.8
"Gabe Davis","JAC",8.7
"Adam Thielen","CAR",8.6
"Brandin Cooks","DAL",8.6
"WanDale Robinson","NYG",8.5
"Ricky Pearsall","SF",8.4
"Odell Beckham","MIA",8.3
"Jahan Dotson","PHI",8.1
"Khalil Shakir","BUF",8
"JaLynn Polk","NE",7.9
"Josh Downs","IND",7.9
"Jalin Hyatt","NYG",7.9
"Jermaine Burton","CIN",7.9
"Romeo Doubs","GB",7.9
"Michael Wilson","ARI",7.6
"Xavier Worthy","KC",7.5
"Jerry Jeudy","CLE",7.4
"Rashod Bateman","BAL",7.1
"Elijah Moore","CLE",7.1
"Kendrick Bourne","NE",6.4
"Tyler Boyd","TEN",6.4
"Kalif Raymond","DET",6.3
"Quentin Johnston","LAC",6.2
"Demario Douglas","NE",6
"Brandon Powell","MIN",5.7
"Darnell Mooney","ATL",5.6
"Trey Palmer","TB",5.5
"AT Perry","NO",4.8
"Nelson Agholor","BAL",4.8
"Greg Dortch","ARI",4.7
"Luke McCaffrey","WAS",4.6
"Tre Tucker","LV",4.6
"Malachi Corley","NYJ",4.5
"Josh Reynolds","DEN",4.3
"Xavier Legette","CAR",4.2
"KaVontae Turpin","DAL",4
"Adonai Mitchell","IND",3.9
"Marvin Mims","DEN",3.5
"Casey Washington","ATL",3.5
"Van Jefferson","PIT",3.5
"Roman Wilson","PIT",3.4
"Dyami Brown","WAS",2.4
